,Pearson correlation,Gene,Slide,Method
ISG15,0.09769046421345409,ISG15,1142243F,HisToGene
PLA2G2D,0.054763884254392964,PLA2G2D,1142243F,HisToGene
CAMK2N1,0.014543121257855203,CAMK2N1,1142243F,HisToGene
USP48,0.03521444418053599,USP48,1142243F,HisToGene
TCEA3,0.02838966253656076,TCEA3,1142243F,HisToGene
PNRC2,0.051524491000547,PNRC2,1142243F,HisToGene
LDLRAP1,0.034940697423566425,LDLRAP1,1142243F,HisToGene
IFI6,0.12187986386628896,IFI6,1142243F,HisToGene
PSMB2,0.02553271317236613,PSMB2,1142243F,HisToGene
GNL2,0.0409798250384697,GNL2,1142243F,HisToGene
SF3A3,0.05086849431129105,SF3A3,1142243F,HisToGene
UTP11,0.07001225727039292,UTP11,1142243F,HisToGene
AKIRIN1,0.07117232759792617,AKIRIN1,1142243F,HisToGene
MFSD2A,-0.006915010794727438,MFSD2A,1142243F,HisToGene
CAP1,0.00450006577842316,CAP1,1142243F,HisToGene
CTPS1,0.03392494684618883,CTPS1,1142243F,HisToGene
PPCS,0.03565523542636719,PPCS,1142243F,HisToGene
PPIH,0.03275624985584134,PPIH,1142243F,HisToGene
YBX1,0.04748305872636345,YBX1,1142243F,HisToGene
EBNA1BP2,0.057442164056603955,EBNA1BP2,1142243F,HisToGene
CDC20,0.003308037541992718,CDC20,1142243F,HisToGene
PTPRF,0.011344800181440545,PTPRF,1142243F,HisToGene
KDM4A,0.04481744987679917,KDM4A,1142243F,HisToGene
EIF2B3,0.07680300412059018,EIF2B3,1142243F,HisToGene
NASP,0.09837982993957084,NASP,1142243F,HisToGene
GPBP1L1,0.06080501486154499,GPBP1L1,1142243F,HisToGene
TSPAN1,-0.0031087926914853204,TSPAN1,1142243F,HisToGene
RAD54L,0.02344314967704359,RAD54L,1142243F,HisToGene
LRRC41,0.042497792821722,LRRC41,1142243F,HisToGene
CMPK1,0.042955807869657525,CMPK1,1142243F,HisToGene
RNF11,0.04240383006043117,RNF11,1142243F,HisToGene
TTC39A,0.03679725490672293,TTC39A,1142243F,HisToGene
TXNDC12,0.04307243447909493,TXNDC12,1142243F,HisToGene
PRPF38A,0.024039001984929136,PRPF38A,1142243F,HisToGene
SCP2,0.0280847829723194,SCP2,1142243F,HisToGene
NDC1,0.0455295427646928,NDC1,1142243F,HisToGene
HSPB11,0.04792629537778789,HSPB11,1142243F,HisToGene
TMEM59,0.04606098150072867,TMEM59,1142243F,HisToGene
SSBP3,0.04880862806888043,SSBP3,1142243F,HisToGene
TACSTD2,0.061740340244157324,TACSTD2,1142243F,HisToGene
MYSM1,0.03599229249980115,MYSM1,1142243F,HisToGene
TM2D1,0.05268748236122934,TM2D1,1142243F,HisToGene
PATJ,0.05277462317456526,PATJ,1142243F,HisToGene
USP1,0.05839345576471866,USP1,1142243F,HisToGene
JAK1,0.045560220419263026,JAK1,1142243F,HisToGene
LEPROT,0.047676857237541295,LEPROT,1142243F,HisToGene
GNG12,0.06026323261211444,GNG12,1142243F,HisToGene
SRSF11,0.04688019242487394,SRSF11,1142243F,HisToGene
USP33,0.050799323809804696,USP33,1142243F,HisToGene
IFI44L,0.11115111952915949,IFI44L,1142243F,HisToGene
IFI44,0.0007369141720629524,IFI44,1142243F,HisToGene
GNG5,0.037763290124370755,GNG5,1142243F,HisToGene
LMO4,0.10197643452718326,LMO4,1142243F,HisToGene
GTF2B,0.031518081506406455,GTF2B,1142243F,HisToGene
GBP1,0.0668027589284779,GBP1,1142243F,HisToGene
GBP2,0.01254328605615249,GBP2,1142243F,HisToGene
GBP5,0.04743689701317258,GBP5,1142243F,HisToGene
LRRC8B,0.053085177373051066,LRRC8B,1142243F,HisToGene
LRRC8D,0.08121336066686027,LRRC8D,1142243F,HisToGene
CDC7,0.03516445820876736,CDC7,1142243F,HisToGene
GLMN,0.03685875268948978,GLMN,1142243F,HisToGene
MTF2,0.04358303039751882,MTF2,1142243F,HisToGene
TMED5,0.04207388349091447,TMED5,1142243F,HisToGene
CCDC18,0.04790362311757356,CCDC18,1142243F,HisToGene
DR1,0.07203313059273002,DR1,1142243F,HisToGene
FNBP1L,0.0608120836483822,FNBP1L,1142243F,HisToGene
BCAR3,0.0027579079808291093,BCAR3,1142243F,HisToGene
DNTTIP2,0.03752654427377577,DNTTIP2,1142243F,HisToGene
GCLM,0.0311152163725612,GCLM,1142243F,HisToGene
ARHGAP29,0.05000405777644527,ARHGAP29,1142243F,HisToGene
ABCD3,0.047577020221721944,ABCD3,1142243F,HisToGene
CNN3,0.043603850996602495,CNN3,1142243F,HisToGene
ALG14,0.037734769924558945,ALG14,1142243F,HisToGene
SNX7,0.05292833333995865,SNX7,1142243F,HisToGene
