,Pearson correlation,Gene,Slide,Method
ISG15,0.00943013849815773,ISG15,CID4290,HisToGene
PLA2G2D,-0.008147212298770863,PLA2G2D,CID4290,HisToGene
CAMK2N1,0.11489822764257142,CAMK2N1,CID4290,HisToGene
USP48,0.08416523682048545,USP48,CID4290,HisToGene
TCEA3,0.1682781218327312,TCEA3,CID4290,HisToGene
PNRC2,0.16314743767262907,PNRC2,CID4290,HisToGene
LDLRAP1,0.06934570746399395,LDLRAP1,CID4290,HisToGene
IFI6,0.03444952823203598,IFI6,CID4290,HisToGene
PSMB2,0.04976250729193063,PSMB2,CID4290,HisToGene
GNL2,0.09985511350165226,GNL2,CID4290,HisToGene
SF3A3,0.09002900730788191,SF3A3,CID4290,HisToGene
UTP11,0.10808874883933851,UTP11,CID4290,HisToGene
AKIRIN1,0.00850928283344891,AKIRIN1,CID4290,HisToGene
MFSD2A,0.04561710069720114,MFSD2A,CID4290,HisToGene
CAP1,0.097947167103202,CAP1,CID4290,HisToGene
CTPS1,0.05042207626828745,CTPS1,CID4290,HisToGene
PPCS,0.154129319147675,PPCS,CID4290,HisToGene
PPIH,0.138434534265557,PPIH,CID4290,HisToGene
YBX1,0.10685269138996202,YBX1,CID4290,HisToGene
EBNA1BP2,0.10106489880976852,EBNA1BP2,CID4290,HisToGene
CDC20,0.05571007074148117,CDC20,CID4290,HisToGene
PTPRF,0.17568115185764102,PTPRF,CID4290,HisToGene
KDM4A,0.0959946609559649,KDM4A,CID4290,HisToGene
EIF2B3,0.05065166306941962,EIF2B3,CID4290,HisToGene
NASP,0.05681282528007254,NASP,CID4290,HisToGene
GPBP1L1,0.11893747172536373,GPBP1L1,CID4290,HisToGene
TSPAN1,0.18084679530723285,TSPAN1,CID4290,HisToGene
RAD54L,0.038648256388272725,RAD54L,CID4290,HisToGene
LRRC41,0.17523251186680558,LRRC41,CID4290,HisToGene
CMPK1,-0.060793369437669775,CMPK1,CID4290,HisToGene
RNF11,-0.08523532156964037,RNF11,CID4290,HisToGene
TTC39A,0.12448360814131397,TTC39A,CID4290,HisToGene
TXNDC12,-0.006099607724283926,TXNDC12,CID4290,HisToGene
PRPF38A,0.045814881161836594,PRPF38A,CID4290,HisToGene
SCP2,0.17198738860133514,SCP2,CID4290,HisToGene
NDC1,0.06865075323454176,NDC1,CID4290,HisToGene
HSPB11,0.10050076986071443,HSPB11,CID4290,HisToGene
TMEM59,0.1264089015706613,TMEM59,CID4290,HisToGene
SSBP3,0.015995211335856175,SSBP3,CID4290,HisToGene
TACSTD2,0.06780900696005869,TACSTD2,CID4290,HisToGene
MYSM1,0.0899563138240337,MYSM1,CID4290,HisToGene
TM2D1,0.11271393210786372,TM2D1,CID4290,HisToGene
PATJ,-0.06552495609186444,PATJ,CID4290,HisToGene
USP1,0.12000545798963348,USP1,CID4290,HisToGene
JAK1,0.07601610091464302,JAK1,CID4290,HisToGene
LEPROT,-0.01762696741105267,LEPROT,CID4290,HisToGene
GNG12,-0.0005067083107666741,GNG12,CID4290,HisToGene
SRSF11,-0.006661296475714641,SRSF11,CID4290,HisToGene
USP33,0.05331444325107755,USP33,CID4290,HisToGene
IFI44L,0.01176749207139962,IFI44L,CID4290,HisToGene
IFI44,-0.02193483534797795,IFI44,CID4290,HisToGene
GNG5,0.1486301037125626,GNG5,CID4290,HisToGene
LMO4,0.03705714992753276,LMO4,CID4290,HisToGene
GTF2B,0.1329723854948842,GTF2B,CID4290,HisToGene
GBP1,0.034792962986432314,GBP1,CID4290,HisToGene
GBP2,-0.02683344877511542,GBP2,CID4290,HisToGene
GBP5,-0.040976494299553905,GBP5,CID4290,HisToGene
LRRC8B,-0.004173235713264085,LRRC8B,CID4290,HisToGene
LRRC8D,0.07635631793767626,LRRC8D,CID4290,HisToGene
CDC7,0.019250576772620976,CDC7,CID4290,HisToGene
GLMN,-0.019277607494146205,GLMN,CID4290,HisToGene
MTF2,0.0882314847759827,MTF2,CID4290,HisToGene
TMED5,0.1495200420753875,TMED5,CID4290,HisToGene
CCDC18,0.013632649566501794,CCDC18,CID4290,HisToGene
DR1,0.044437632095681995,DR1,CID4290,HisToGene
FNBP1L,0.12300092440321451,FNBP1L,CID4290,HisToGene
BCAR3,0.10427259336270749,BCAR3,CID4290,HisToGene
DNTTIP2,0.12661448763315752,DNTTIP2,CID4290,HisToGene
GCLM,0.07115781997869311,GCLM,CID4290,HisToGene
ARHGAP29,0.0642983744059463,ARHGAP29,CID4290,HisToGene
ABCD3,0.10717179264645726,ABCD3,CID4290,HisToGene
CNN3,-0.05356727138703539,CNN3,CID4290,HisToGene
ALG14,0.06728426323454689,ALG14,CID4290,HisToGene
SNX7,0.07609852917044047,SNX7,CID4290,HisToGene
VCAM1,0.024028404639763398,VCAM1,CID4290,HisToGene
PSMA5,0.04988571109891831,PSMA5,CID4290,HisToGene
GSTM3,0.1966675933208404,GSTM3,CID4290,HisToGene
CD53,-0.03622733010225059,CD53,CID4290,HisToGene
WDR3,0.03623386279482736,WDR3,CID4290,HisToGene
PHGDH,-0.011570034526334485,PHGDH,CID4290,HisToGene
CTSS,-0.06647807384201304,CTSS,CID4290,HisToGene
CTSK,-0.09688307484221935,CTSK,CID4290,HisToGene
SCNM1,0.1112260822621187,SCNM1,CID4290,HisToGene
S100A8,-0.027719184283804342,S100A8,CID4290,HisToGene
S100A14,0.04550079762544923,S100A14,CID4290,HisToGene
S100A1,0.05574510774351538,S100A1,CID4290,HisToGene
CREB3L4,0.1253403434367953,CREB3L4,CID4290,HisToGene
EFNA3,0.181160563188554,EFNA3,CID4290,HisToGene
RIT1,0.03262909752461131,RIT1,CID4290,HisToGene
CRABP2,0.07233780963464403,CRABP2,CID4290,HisToGene
IFI16,-0.0395614145564007,IFI16,CID4290,HisToGene
USF1,-0.012260869486856056,USF1,CID4290,HisToGene
OLFML2B,-0.12128717678476857,OLFML2B,CID4290,HisToGene
MPC2,0.07637754314523194,MPC2,CID4290,HisToGene
ATP1B1,-0.024495016065856624,ATP1B1,CID4290,HisToGene
RABGAP1L,-0.0028189962510646225,RABGAP1L,CID4290,HisToGene
XPR1,0.03765838911629614,XPR1,CID4290,HisToGene
LAMC1,0.02849759955993912,LAMC1,CID4290,HisToGene
C1orf21,0.1305009124099405,C1orf21,CID4290,HisToGene
TPR,0.1291182315983206,TPR,CID4290,HisToGene
PTPRC,0.008850813703028032,PTPRC,CID4290,HisToGene
UBE2T,0.04242450250262096,UBE2T,CID4290,HisToGene
NUCKS1,0.14015553333376846,NUCKS1,CID4290,HisToGene
ATF3,-0.03562778806277418,ATF3,CID4290,HisToGene
CENPF,0.02526857451906333,CENPF,CID4290,HisToGene
KCTD3,0.14810241886807576,KCTD3,CID4290,HisToGene
LYPLAL1,0.029174673231423993,LYPLAL1,CID4290,HisToGene
IARS2,0.14184184541097922,IARS2,CID4290,HisToGene
CNIH4,0.12521446675483885,CNIH4,CID4290,HisToGene
NUP133,0.147353294167313,NUP133,CID4290,HisToGene
ARID4B,0.11787573910797716,ARID4B,CID4290,HisToGene
CHML,0.09327138067179207,CHML,CID4290,HisToGene
SCCPDH,0.18225199661918376,SCCPDH,CID4290,HisToGene
GATA3,0.11800385160350386,GATA3,CID4290,HisToGene
FAM107B,0.06134876536556976,FAM107B,CID4290,HisToGene
HSPA14,0.056016364942565115,HSPA14,CID4290,HisToGene
NEBL,0.07536911566545584,NEBL,CID4290,HisToGene
BAMBI,0.0231006646774452,BAMBI,CID4290,HisToGene
ARHGAP12,0.07681558191404075,ARHGAP12,CID4290,HisToGene
DKK1,-0.004840709403505971,DKK1,CID4290,HisToGene
ZWINT,0.10705366265229099,ZWINT,CID4290,HisToGene
ANK3,0.04376677636005324,ANK3,CID4290,HisToGene
CDK1,0.027014968802000144,CDK1,CID4290,HisToGene
HERC4,-0.0428589933575718,HERC4,CID4290,HisToGene
SRGN,-0.009195301318798014,SRGN,CID4290,HisToGene
H2AFY2,0.06781072655636826,H2AFY2,CID4290,HisToGene
ADK,0.07913522090365786,ADK,CID4290,HisToGene
DLG5,0.08071207971659568,DLG5,CID4290,HisToGene
PLAC9,0.0258392120062173,PLAC9,CID4290,HisToGene
GHITM,0.1504352107036904,GHITM,CID4290,HisToGene
SNCG,-0.055777384710470196,SNCG,CID4290,HisToGene
ADIRF,0.09223885304194877,ADIRF,CID4290,HisToGene
IFIT3,-0.009656746501105117,IFIT3,CID4290,HisToGene
FRA10AC1,0.11369301615679976,FRA10AC1,CID4290,HisToGene
EXOSC1,0.13764498876649825,EXOSC1,CID4290,HisToGene
SCD,0.1312399103130507,SCD,CID4290,HisToGene
ARL3,0.10924172281276583,ARL3,CID4290,HisToGene
ADD3,-0.03607518394908204,ADD3,CID4290,HisToGene
FAM204A,0.12307732421637256,FAM204A,CID4290,HisToGene
