,Pearson correlation,Gene,Slide,Method
ISG15,0.1259064413706972,ISG15,CID44971,HisToGene
PLA2G2D,0.10066009192897812,PLA2G2D,CID44971,HisToGene
CAMK2N1,0.23194582366670694,CAMK2N1,CID44971,HisToGene
USP48,0.1790039467810958,USP48,CID44971,HisToGene
TCEA3,0.22902090163000702,TCEA3,CID44971,HisToGene
PNRC2,0.3055408084926498,PNRC2,CID44971,HisToGene
LDLRAP1,0.1542518931401758,LDLRAP1,CID44971,HisToGene
IFI6,0.0802380537376054,IFI6,CID44971,HisToGene
PSMB2,0.32107247594527477,PSMB2,CID44971,HisToGene
GNL2,0.25832534942115154,GNL2,CID44971,HisToGene
SF3A3,0.3018336584860461,SF3A3,CID44971,HisToGene
UTP11,0.23882282232332575,UTP11,CID44971,HisToGene
AKIRIN1,-0.0635474954127287,AKIRIN1,CID44971,HisToGene
MFSD2A,0.010010005059968161,MFSD2A,CID44971,HisToGene
CAP1,0.3024682406799039,CAP1,CID44971,HisToGene
CTPS1,0.20602575962253247,CTPS1,CID44971,HisToGene
PPCS,0.25076057850581607,PPCS,CID44971,HisToGene
PPIH,0.2979296514373434,PPIH,CID44971,HisToGene
YBX1,0.3734475993069991,YBX1,CID44971,HisToGene
EBNA1BP2,0.291954849070019,EBNA1BP2,CID44971,HisToGene
CDC20,0.22871176468186127,CDC20,CID44971,HisToGene
PTPRF,0.365724648489558,PTPRF,CID44971,HisToGene
KDM4A,0.23567758995082622,KDM4A,CID44971,HisToGene
EIF2B3,0.1959908615844164,EIF2B3,CID44971,HisToGene
NASP,0.34312488339965114,NASP,CID44971,HisToGene
GPBP1L1,0.2766926864298599,GPBP1L1,CID44971,HisToGene
TSPAN1,0.07964043697091315,TSPAN1,CID44971,HisToGene
RAD54L,0.16757782427964196,RAD54L,CID44971,HisToGene
LRRC41,0.3080590281014721,LRRC41,CID44971,HisToGene
CMPK1,-0.2102894341277092,CMPK1,CID44971,HisToGene
RNF11,-0.2006598847132782,RNF11,CID44971,HisToGene
TTC39A,0.21587347490426081,TTC39A,CID44971,HisToGene
TXNDC12,-0.02820217342189372,TXNDC12,CID44971,HisToGene
PRPF38A,0.1277333165157126,PRPF38A,CID44971,HisToGene
SCP2,0.31171855924498565,SCP2,CID44971,HisToGene
NDC1,0.2313280818972811,NDC1,CID44971,HisToGene
HSPB11,0.29515741292076625,HSPB11,CID44971,HisToGene
TMEM59,0.1521230686671242,TMEM59,CID44971,HisToGene
SSBP3,-0.12792369166499673,SSBP3,CID44971,HisToGene
TACSTD2,0.19023540400537844,TACSTD2,CID44971,HisToGene
MYSM1,0.11242306114533945,MYSM1,CID44971,HisToGene
TM2D1,0.19076350443332313,TM2D1,CID44971,HisToGene
PATJ,-0.11177196054376387,PATJ,CID44971,HisToGene
USP1,0.1722809728871106,USP1,CID44971,HisToGene
JAK1,0.1362657106100546,JAK1,CID44971,HisToGene
LEPROT,-0.047223651712451215,LEPROT,CID44971,HisToGene
GNG12,0.00584055095881293,GNG12,CID44971,HisToGene
SRSF11,0.039763311532883115,SRSF11,CID44971,HisToGene
USP33,-0.005877779119497479,USP33,CID44971,HisToGene
IFI44L,-0.07867662782430783,IFI44L,CID44971,HisToGene
IFI44,-0.2026651440357036,IFI44,CID44971,HisToGene
GNG5,0.42679479789571234,GNG5,CID44971,HisToGene
LMO4,0.1362270317923018,LMO4,CID44971,HisToGene
GTF2B,0.16557732761441882,GTF2B,CID44971,HisToGene
GBP1,-0.12459062496975747,GBP1,CID44971,HisToGene
GBP2,-0.07535896387619227,GBP2,CID44971,HisToGene
GBP5,-0.16127764292051858,GBP5,CID44971,HisToGene
LRRC8B,-0.06535397963798371,LRRC8B,CID44971,HisToGene
LRRC8D,0.30020354251585923,LRRC8D,CID44971,HisToGene
CDC7,0.1109628352363048,CDC7,CID44971,HisToGene
GLMN,0.004608712713393028,GLMN,CID44971,HisToGene
MTF2,0.181608375490311,MTF2,CID44971,HisToGene
TMED5,0.23434999156666028,TMED5,CID44971,HisToGene
CCDC18,0.06894911982932599,CCDC18,CID44971,HisToGene
DR1,-0.039330042993045995,DR1,CID44971,HisToGene
FNBP1L,0.25329151765461094,FNBP1L,CID44971,HisToGene
BCAR3,0.0638992488864457,BCAR3,CID44971,HisToGene
DNTTIP2,0.1778197322518939,DNTTIP2,CID44971,HisToGene
GCLM,0.11982243198940513,GCLM,CID44971,HisToGene
ARHGAP29,0.12763881431581547,ARHGAP29,CID44971,HisToGene
ABCD3,0.20866868129280738,ABCD3,CID44971,HisToGene
CNN3,-0.14773327007683396,CNN3,CID44971,HisToGene
ALG14,0.14154419371272356,ALG14,CID44971,HisToGene
SNX7,0.1636373729241353,SNX7,CID44971,HisToGene
VCAM1,0.087065463567945,VCAM1,CID44971,HisToGene
PSMA5,0.25391728899136745,PSMA5,CID44971,HisToGene
GSTM3,0.1485241245845689,GSTM3,CID44971,HisToGene
CD53,-0.29361121540026053,CD53,CID44971,HisToGene
WDR3,0.11089614699552666,WDR3,CID44971,HisToGene
PHGDH,0.07866466278799682,PHGDH,CID44971,HisToGene
CTSS,-0.2636098756983853,CTSS,CID44971,HisToGene
CTSK,-0.10997497801505378,CTSK,CID44971,HisToGene
SCNM1,0.2832506268093599,SCNM1,CID44971,HisToGene
S100A8,-0.2497583439583349,S100A8,CID44971,HisToGene
S100A14,0.3115174761517078,S100A14,CID44971,HisToGene
S100A1,-0.10178908315536796,S100A1,CID44971,HisToGene
CREB3L4,0.15301552976460994,CREB3L4,CID44971,HisToGene
EFNA3,0.2662970196145907,EFNA3,CID44971,HisToGene
RIT1,-0.009679094830059026,RIT1,CID44971,HisToGene
CRABP2,0.36445856572282465,CRABP2,CID44971,HisToGene
IFI16,-0.2714452439893111,IFI16,CID44971,HisToGene
USF1,-0.12618837922341627,USF1,CID44971,HisToGene
OLFML2B,-0.13445585914595143,OLFML2B,CID44971,HisToGene
MPC2,0.3684346846015642,MPC2,CID44971,HisToGene
ATP1B1,-0.14013991488163313,ATP1B1,CID44971,HisToGene
RABGAP1L,0.19310179080665474,RABGAP1L,CID44971,HisToGene
XPR1,-0.06438771056203844,XPR1,CID44971,HisToGene
LAMC1,0.15491222027443546,LAMC1,CID44971,HisToGene
C1orf21,-0.0749230737104159,C1orf21,CID44971,HisToGene
TPR,0.2676281912231587,TPR,CID44971,HisToGene
PTPRC,-0.3305180821635788,PTPRC,CID44971,HisToGene
UBE2T,0.31624701154548046,UBE2T,CID44971,HisToGene
NUCKS1,0.4357552867657447,NUCKS1,CID44971,HisToGene
ATF3,-0.15405762354709418,ATF3,CID44971,HisToGene
CENPF,0.23212867008790833,CENPF,CID44971,HisToGene
KCTD3,0.182366242877711,KCTD3,CID44971,HisToGene
LYPLAL1,0.2693347779650464,LYPLAL1,CID44971,HisToGene
IARS2,0.31770861301615116,IARS2,CID44971,HisToGene
CNIH4,0.3412013035365835,CNIH4,CID44971,HisToGene
NUP133,0.29245371425331523,NUP133,CID44971,HisToGene
ARID4B,0.1455310721381756,ARID4B,CID44971,HisToGene
CHML,0.17728522067949937,CHML,CID44971,HisToGene
SCCPDH,0.10798145846713332,SCCPDH,CID44971,HisToGene
GATA3,0.24367432295680985,GATA3,CID44971,HisToGene
FAM107B,0.3253009285728829,FAM107B,CID44971,HisToGene
HSPA14,0.13016161362751588,HSPA14,CID44971,HisToGene
NEBL,0.10062290247019583,NEBL,CID44971,HisToGene
BAMBI,0.22320218234917205,BAMBI,CID44971,HisToGene
ARHGAP12,0.058228423208413364,ARHGAP12,CID44971,HisToGene
DKK1,-0.15003950910922584,DKK1,CID44971,HisToGene
ZWINT,0.23403758257119986,ZWINT,CID44971,HisToGene
ANK3,-0.005822551900409125,ANK3,CID44971,HisToGene
CDK1,0.22254298525233104,CDK1,CID44971,HisToGene
HERC4,0.05726929416083384,HERC4,CID44971,HisToGene
