,Pearson correlation,Gene,Slide,Method
ISG15,0.20893533406669895,ISG15,FFPE,HisToGene
PLA2G2D,0.09210334086604502,PLA2G2D,FFPE,HisToGene
CAMK2N1,0.33900213897779985,CAMK2N1,FFPE,HisToGene
USP48,0.1475729923965763,USP48,FFPE,HisToGene
TCEA3,0.3095592260531783,TCEA3,FFPE,HisToGene
PNRC2,0.2574650845370081,PNRC2,FFPE,HisToGene
LDLRAP1,0.21941765045699707,LDLRAP1,FFPE,HisToGene
IFI6,0.1804166328685337,IFI6,FFPE,HisToGene
PSMB2,0.2708152432530768,PSMB2,FFPE,HisToGene
GNL2,0.22605917029256897,GNL2,FFPE,HisToGene
SF3A3,0.1398651240652399,SF3A3,FFPE,HisToGene
UTP11,0.10152907529200403,UTP11,FFPE,HisToGene
AKIRIN1,0.14355893147671211,AKIRIN1,FFPE,HisToGene
MFSD2A,0.10782729689344665,MFSD2A,FFPE,HisToGene
CAP1,0.23304264035765263,CAP1,FFPE,HisToGene
CTPS1,0.09882980625064318,CTPS1,FFPE,HisToGene
PPCS,0.16724799194417042,PPCS,FFPE,HisToGene
PPIH,0.13510854525965765,PPIH,FFPE,HisToGene
YBX1,0.04477794231364674,YBX1,FFPE,HisToGene
EBNA1BP2,0.2462472514335531,EBNA1BP2,FFPE,HisToGene
CDC20,0.22587936105396303,CDC20,FFPE,HisToGene
PTPRF,0.32463528377159084,PTPRF,FFPE,HisToGene
KDM4A,0.06482040324136175,KDM4A,FFPE,HisToGene
EIF2B3,0.15486273816065152,EIF2B3,FFPE,HisToGene
NASP,0.12756236022229311,NASP,FFPE,HisToGene
GPBP1L1,0.2618199981819052,GPBP1L1,FFPE,HisToGene
TSPAN1,0.1367892067388539,TSPAN1,FFPE,HisToGene
RAD54L,0.14546600608247112,RAD54L,FFPE,HisToGene
LRRC41,0.23729785697120562,LRRC41,FFPE,HisToGene
CMPK1,-0.026152463463032977,CMPK1,FFPE,HisToGene
RNF11,-0.193581406149969,RNF11,FFPE,HisToGene
TTC39A,0.32091441691360456,TTC39A,FFPE,HisToGene
TXNDC12,0.11577770210739735,TXNDC12,FFPE,HisToGene
PRPF38A,0.16095719039448275,PRPF38A,FFPE,HisToGene
SCP2,0.3259063780502962,SCP2,FFPE,HisToGene
NDC1,0.11785709672286893,NDC1,FFPE,HisToGene
HSPB11,0.1991925793476374,HSPB11,FFPE,HisToGene
TMEM59,0.13683383922727674,TMEM59,FFPE,HisToGene
SSBP3,-0.05437756707444,SSBP3,FFPE,HisToGene
TACSTD2,0.27048119906317175,TACSTD2,FFPE,HisToGene
MYSM1,0.020751130878102056,MYSM1,FFPE,HisToGene
TM2D1,0.23834760020729517,TM2D1,FFPE,HisToGene
PATJ,-0.13645968676394635,PATJ,FFPE,HisToGene
USP1,0.20698925868389187,USP1,FFPE,HisToGene
JAK1,0.12613529684816774,JAK1,FFPE,HisToGene
LEPROT,-0.02090643175854104,LEPROT,FFPE,HisToGene
GNG12,-0.062085590612505064,GNG12,FFPE,HisToGene
SRSF11,0.03118089572067535,SRSF11,FFPE,HisToGene
USP33,0.10356803694907823,USP33,FFPE,HisToGene
IFI44L,0.1045054450616802,IFI44L,FFPE,HisToGene
IFI44,0.14953145542083854,IFI44,FFPE,HisToGene
GNG5,0.061565426115912744,GNG5,FFPE,HisToGene
LMO4,0.16453924863848224,LMO4,FFPE,HisToGene
GTF2B,0.19981047105374797,GTF2B,FFPE,HisToGene
GBP1,0.07275646209693923,GBP1,FFPE,HisToGene
GBP2,-0.07346175985923274,GBP2,FFPE,HisToGene
GBP5,0.027318549705606113,GBP5,FFPE,HisToGene
LRRC8B,0.058222245584060556,LRRC8B,FFPE,HisToGene
LRRC8D,0.0817844099002095,LRRC8D,FFPE,HisToGene
CDC7,0.12263411842326276,CDC7,FFPE,HisToGene
GLMN,0.08680889532018286,GLMN,FFPE,HisToGene
MTF2,0.17893340822005724,MTF2,FFPE,HisToGene
TMED5,0.17991248920367583,TMED5,FFPE,HisToGene
CCDC18,0.07816224028201206,CCDC18,FFPE,HisToGene
DR1,0.0342971875322614,DR1,FFPE,HisToGene
FNBP1L,0.25555603828306195,FNBP1L,FFPE,HisToGene
BCAR3,0.07396750772913625,BCAR3,FFPE,HisToGene
DNTTIP2,0.2105642492000032,DNTTIP2,FFPE,HisToGene
GCLM,0.138664806760598,GCLM,FFPE,HisToGene
ARHGAP29,0.20188897681634368,ARHGAP29,FFPE,HisToGene
ABCD3,0.32053906556120076,ABCD3,FFPE,HisToGene
CNN3,-0.16607005289171858,CNN3,FFPE,HisToGene
ALG14,0.1320349862789796,ALG14,FFPE,HisToGene
SNX7,0.12532263480292205,SNX7,FFPE,HisToGene
VCAM1,0.005679238704339791,VCAM1,FFPE,HisToGene
PSMA5,0.26537127801977095,PSMA5,FFPE,HisToGene
GSTM3,0.30437421113790264,GSTM3,FFPE,HisToGene
CD53,0.10144286824644048,CD53,FFPE,HisToGene
WDR3,0.24117351481968471,WDR3,FFPE,HisToGene
PHGDH,0.23409271262066822,PHGDH,FFPE,HisToGene
CTSS,0.1833352495948899,CTSS,FFPE,HisToGene
CTSK,0.15848346534554594,CTSK,FFPE,HisToGene
SCNM1,0.1856334703094687,SCNM1,FFPE,HisToGene
S100A8,-0.10696344399997447,S100A8,FFPE,HisToGene
