,index,Pearson correlation,Gene,Slide,Method
0,ISG15,0.097690464213454,ISG15,1142243F,HisToGene
1,PLA2G2D,0.0547638842543929,PLA2G2D,1142243F,HisToGene
2,CAMK2N1,0.0145431212578552,CAMK2N1,1142243F,HisToGene
3,USP48,0.0352144441805359,USP48,1142243F,HisToGene
4,TCEA3,0.0283896625365607,TCEA3,1142243F,HisToGene
5,PNRC2,0.051524491000547,PNRC2,1142243F,HisToGene
6,LDLRAP1,0.0349406974235664,LDLRAP1,1142243F,HisToGene
7,IFI6,0.1218798638662889,IFI6,1142243F,HisToGene
8,PSMB2,0.0255327131723661,PSMB2,1142243F,HisToGene
9,GNL2,0.0409798250384697,GNL2,1142243F,HisToGene
10,SF3A3,0.050868494311291,SF3A3,1142243F,HisToGene
11,UTP11,0.0700122572703929,UTP11,1142243F,HisToGene
12,AKIRIN1,0.0711723275979261,AKIRIN1,1142243F,HisToGene
13,MFSD2A,-0.0069150107947274,MFSD2A,1142243F,HisToGene
14,CAP1,0.0045000657784231,CAP1,1142243F,HisToGene
15,CTPS1,0.0339249468461888,CTPS1,1142243F,HisToGene
16,PPCS,0.0356552354263671,PPCS,1142243F,HisToGene
17,PPIH,0.0327562498558413,PPIH,1142243F,HisToGene
18,YBX1,0.0474830587263634,YBX1,1142243F,HisToGene
19,EBNA1BP2,0.0574421640566039,EBNA1BP2,1142243F,HisToGene
20,CDC20,0.0033080375419927,CDC20,1142243F,HisToGene
21,PTPRF,0.0113448001814405,PTPRF,1142243F,HisToGene
22,KDM4A,0.0448174498767991,KDM4A,1142243F,HisToGene
23,EIF2B3,0.0768030041205901,EIF2B3,1142243F,HisToGene
24,NASP,0.0983798299395708,NASP,1142243F,HisToGene
25,GPBP1L1,0.0608050148615449,GPBP1L1,1142243F,HisToGene
26,TSPAN1,-0.0031087926914853,TSPAN1,1142243F,HisToGene
27,RAD54L,0.0234431496770435,RAD54L,1142243F,HisToGene
28,LRRC41,0.042497792821722,LRRC41,1142243F,HisToGene
29,CMPK1,0.0429558078696575,CMPK1,1142243F,HisToGene
30,RNF11,0.0424038300604311,RNF11,1142243F,HisToGene
31,TTC39A,0.0367972549067229,TTC39A,1142243F,HisToGene
32,TXNDC12,0.0430724344790949,TXNDC12,1142243F,HisToGene
33,PRPF38A,0.0240390019849291,PRPF38A,1142243F,HisToGene
34,SCP2,0.0280847829723194,SCP2,1142243F,HisToGene
35,NDC1,0.0455295427646928,NDC1,1142243F,HisToGene
