,Pearson correlation,Gene,Slide,Method
ISG15,0.15212486251043617,ISG15,block2,HisToGene
PLA2G2D,0.06370554243628959,PLA2G2D,block2,HisToGene
CAMK2N1,0.23782806084939706,CAMK2N1,block2,HisToGene
USP48,0.14310725910355224,USP48,block2,HisToGene
TCEA3,0.28452891700759386,TCEA3,block2,HisToGene
PNRC2,0.24544476075504537,PNRC2,block2,HisToGene
LDLRAP1,0.15942773120038636,LDLRAP1,block2,HisToGene
IFI6,0.006108320760765817,IFI6,block2,HisToGene
PSMB2,0.19203070376631168,PSMB2,block2,HisToGene
GNL2,0.1998515080536552,GNL2,block2,HisToGene
SF3A3,0.20662419801082768,SF3A3,block2,HisToGene
UTP11,0.16373675273055235,UTP11,block2,HisToGene
AKIRIN1,0.010527411897126996,AKIRIN1,block2,HisToGene
MFSD2A,0.051693787008492614,MFSD2A,block2,HisToGene
CAP1,0.10462913656369292,CAP1,block2,HisToGene
CTPS1,0.18505224917515076,CTPS1,block2,HisToGene
PPCS,0.26520084136943767,PPCS,block2,HisToGene
PPIH,0.17694889953873452,PPIH,block2,HisToGene
YBX1,0.16935573412689814,YBX1,block2,HisToGene
EBNA1BP2,0.2653442776088853,EBNA1BP2,block2,HisToGene
CDC20,0.18413263020638698,CDC20,block2,HisToGene
PTPRF,0.25957046547874946,PTPRF,block2,HisToGene
KDM4A,0.11465117978299853,KDM4A,block2,HisToGene
EIF2B3,0.145684463219004,EIF2B3,block2,HisToGene
NASP,0.1972680690335331,NASP,block2,HisToGene
GPBP1L1,0.22332620322680313,GPBP1L1,block2,HisToGene
TSPAN1,0.13604231166971137,TSPAN1,block2,HisToGene
RAD54L,0.13232335513046686,RAD54L,block2,HisToGene
LRRC41,0.1716670992242124,LRRC41,block2,HisToGene
CMPK1,-0.08097949074693055,CMPK1,block2,HisToGene
RNF11,-0.10148942944385657,RNF11,block2,HisToGene
TTC39A,0.2517048754738304,TTC39A,block2,HisToGene
TXNDC12,-0.029378321558607482,TXNDC12,block2,HisToGene
PRPF38A,0.16700436152265635,PRPF38A,block2,HisToGene
SCP2,0.2123831235613547,SCP2,block2,HisToGene
NDC1,0.14416773699764052,NDC1,block2,HisToGene
