,Pearson correlation,Gene,Slide,Method
ISG15,0.7055954302673044,ISG15,CID4535,Hist2ST
PLA2G2D,0.18736139901742688,PLA2G2D,CID4535,Hist2ST
CAMK2N1,0.5262888697743253,CAMK2N1,CID4535,Hist2ST
USP48,0.23962453043127768,USP48,CID4535,Hist2ST
TCEA3,0.41585895156195046,TCEA3,CID4535,Hist2ST
PNRC2,0.5916481484436862,PNRC2,CID4535,Hist2ST
LDLRAP1,0.2015403081541592,LDLRAP1,CID4535,Hist2ST
IFI6,0.7635565937843345,IFI6,CID4535,Hist2ST
PSMB2,0.43393192152513893,PSMB2,CID4535,Hist2ST
GNL2,0.26759991941713135,GNL2,CID4535,Hist2ST
SF3A3,0.31639212471216765,SF3A3,CID4535,Hist2ST
UTP11,0.23794831023695895,UTP11,CID4535,Hist2ST
AKIRIN1,0.2512887655955857,AKIRIN1,CID4535,Hist2ST
MFSD2A,0.04734028712889868,MFSD2A,CID4535,Hist2ST
CAP1,0.6059866183684841,CAP1,CID4535,Hist2ST
CTPS1,0.17317073478309877,CTPS1,CID4535,Hist2ST
PPCS,0.4280039069752117,PPCS,CID4535,Hist2ST
PPIH,0.2780822096984776,PPIH,CID4535,Hist2ST
YBX1,0.45740674598111386,YBX1,CID4535,Hist2ST
EBNA1BP2,0.32387696376961367,EBNA1BP2,CID4535,Hist2ST
CDC20,0.12560799420024069,CDC20,CID4535,Hist2ST
PTPRF,0.6237750028843828,PTPRF,CID4535,Hist2ST
KDM4A,0.3025559152067657,KDM4A,CID4535,Hist2ST
EIF2B3,0.2508714951525084,EIF2B3,CID4535,Hist2ST
NASP,0.4543162167002205,NASP,CID4535,Hist2ST
GPBP1L1,0.4961005716962134,GPBP1L1,CID4535,Hist2ST
TSPAN1,0.19574540428907208,TSPAN1,CID4535,Hist2ST
RAD54L,0.13425279467021572,RAD54L,CID4535,Hist2ST
LRRC41,0.4629747078005235,LRRC41,CID4535,Hist2ST
CMPK1,0.4489331490117708,CMPK1,CID4535,Hist2ST
RNF11,0.527823028615593,RNF11,CID4535,Hist2ST
TTC39A,0.49673597721625756,TTC39A,CID4535,Hist2ST
TXNDC12,0.38679392916561034,TXNDC12,CID4535,Hist2ST
PRPF38A,0.3664371094514406,PRPF38A,CID4535,Hist2ST
SCP2,0.6303815367400643,SCP2,CID4535,Hist2ST
NDC1,0.2543534358481504,NDC1,CID4535,Hist2ST
HSPB11,0.3872829063775924,HSPB11,CID4535,Hist2ST
TMEM59,0.7686186820661335,TMEM59,CID4535,Hist2ST
SSBP3,0.3806107479378952,SSBP3,CID4535,Hist2ST
TACSTD2,0.2440815502059016,TACSTD2,CID4535,Hist2ST
MYSM1,0.3122731225098536,MYSM1,CID4535,Hist2ST
TM2D1,0.3922892308630895,TM2D1,CID4535,Hist2ST
PATJ,0.2857034957296814,PATJ,CID4535,Hist2ST
USP1,0.3011840103553482,USP1,CID4535,Hist2ST
JAK1,0.5476324065282968,JAK1,CID4535,Hist2ST
LEPROT,0.4762005501967966,LEPROT,CID4535,Hist2ST
GNG12,0.2977250425103035,GNG12,CID4535,Hist2ST
SRSF11,0.5982503071356703,SRSF11,CID4535,Hist2ST
USP33,0.38135326399883746,USP33,CID4535,Hist2ST
IFI44L,0.2379916395862531,IFI44L,CID4535,Hist2ST
IFI44,0.35320028516521434,IFI44,CID4535,Hist2ST
GNG5,0.570925016002363,GNG5,CID4535,Hist2ST
LMO4,0.22823833204994098,LMO4,CID4535,Hist2ST
GTF2B,0.23329178593643468,GTF2B,CID4535,Hist2ST
GBP1,0.3692900129711053,GBP1,CID4535,Hist2ST
GBP2,0.4463802127461658,GBP2,CID4535,Hist2ST
GBP5,0.26472490007423993,GBP5,CID4535,Hist2ST
LRRC8B,0.24391040851155724,LRRC8B,CID4535,Hist2ST
LRRC8D,0.22859892086520278,LRRC8D,CID4535,Hist2ST
CDC7,0.17017765901661808,CDC7,CID4535,Hist2ST
GLMN,0.13227821704464396,GLMN,CID4535,Hist2ST
MTF2,0.22412330154337856,MTF2,CID4535,Hist2ST
TMED5,0.3986100156612095,TMED5,CID4535,Hist2ST
CCDC18,0.08674376736620101,CCDC18,CID4535,Hist2ST
DR1,0.41069930042857555,DR1,CID4535,Hist2ST
FNBP1L,0.41097833353479246,FNBP1L,CID4535,Hist2ST
BCAR3,0.459946792226847,BCAR3,CID4535,Hist2ST
DNTTIP2,0.33626757603566226,DNTTIP2,CID4535,Hist2ST
GCLM,0.29743200694687233,GCLM,CID4535,Hist2ST
ARHGAP29,0.16448828335083976,ARHGAP29,CID4535,Hist2ST
ABCD3,0.5330807400889227,ABCD3,CID4535,Hist2ST
CNN3,0.5252139411475747,CNN3,CID4535,Hist2ST
ALG14,0.25227483015300983,ALG14,CID4535,Hist2ST
SNX7,0.1427195506864101,SNX7,CID4535,Hist2ST
VCAM1,0.3379472245891268,VCAM1,CID4535,Hist2ST
PSMA5,0.479404460424353,PSMA5,CID4535,Hist2ST
GSTM3,0.7168295160944483,GSTM3,CID4535,Hist2ST
CD53,0.349740520251405,CD53,CID4535,Hist2ST
WDR3,0.292191975484832,WDR3,CID4535,Hist2ST
PHGDH,0.04268346665863676,PHGDH,CID4535,Hist2ST
CTSS,0.49008807214646927,CTSS,CID4535,Hist2ST
CTSK,0.4161542927765649,CTSK,CID4535,Hist2ST
SCNM1,0.37646508560328645,SCNM1,CID4535,Hist2ST
S100A8,0.17359455632230986,S100A8,CID4535,Hist2ST
S100A14,0.2358638207246426,S100A14,CID4535,Hist2ST
S100A1,0.0008255952761165527,S100A1,CID4535,Hist2ST
CREB3L4,0.491308640575767,CREB3L4,CID4535,Hist2ST
EFNA3,0.08474287088822949,EFNA3,CID4535,Hist2ST
RIT1,0.2620101692163293,RIT1,CID4535,Hist2ST
CRABP2,0.8210976083930258,CRABP2,CID4535,Hist2ST
IFI16,0.37408402189155204,IFI16,CID4535,Hist2ST
USF1,0.12862030488434373,USF1,CID4535,Hist2ST
OLFML2B,0.3488740955952245,OLFML2B,CID4535,Hist2ST
MPC2,0.5176481580658625,MPC2,CID4535,Hist2ST
ATP1B1,0.49650206249777,ATP1B1,CID4535,Hist2ST
RABGAP1L,0.34302522827585724,RABGAP1L,CID4535,Hist2ST
XPR1,0.23704358930879008,XPR1,CID4535,Hist2ST
LAMC1,0.3198106504548297,LAMC1,CID4535,Hist2ST
C1orf21,0.40025236584808704,C1orf21,CID4535,Hist2ST
TPR,0.46503410730104644,TPR,CID4535,Hist2ST
PTPRC,0.43800858529652387,PTPRC,CID4535,Hist2ST
UBE2T,0.27734751870730506,UBE2T,CID4535,Hist2ST
