,Pearson correlation,Gene,Slide,Method
ISG15,0.26168693236726315,ISG15,FFPE,Hist2ST
PLA2G2D,0.14913448734462847,PLA2G2D,FFPE,Hist2ST
CAMK2N1,0.20104835987707145,CAMK2N1,FFPE,Hist2ST
USP48,0.05368562068036606,USP48,FFPE,Hist2ST
TCEA3,0.18679755692059563,TCEA3,FFPE,Hist2ST
PNRC2,0.11297566101377175,PNRC2,FFPE,Hist2ST
LDLRAP1,0.12393938441989256,LDLRAP1,FFPE,Hist2ST
IFI6,0.26901502301778,IFI6,FFPE,Hist2ST
PSMB2,0.15604727686113487,PSMB2,FFPE,Hist2ST
GNL2,0.08648745786870918,GNL2,FFPE,Hist2ST
SF3A3,0.08476365622479032,SF3A3,FFPE,Hist2ST
UTP11,0.020877055172285407,UTP11,FFPE,Hist2ST
AKIRIN1,0.1128435891877923,AKIRIN1,FFPE,Hist2ST
MFSD2A,0.04751727221211358,MFSD2A,FFPE,Hist2ST
CAP1,0.13452394423393182,CAP1,FFPE,Hist2ST
CTPS1,0.05415227143066011,CTPS1,FFPE,Hist2ST
PPCS,0.09562860135086985,PPCS,FFPE,Hist2ST
PPIH,0.011001746116145567,PPIH,FFPE,Hist2ST
YBX1,0.027670160154184144,YBX1,FFPE,Hist2ST
EBNA1BP2,0.13009872837838657,EBNA1BP2,FFPE,Hist2ST
CDC20,0.1234561876397295,CDC20,FFPE,Hist2ST
PTPRF,0.17198596873108185,PTPRF,FFPE,Hist2ST
KDM4A,0.031302667622128286,KDM4A,FFPE,Hist2ST
EIF2B3,0.06249924567010251,EIF2B3,FFPE,Hist2ST
NASP,0.046750823642334995,NASP,FFPE,Hist2ST
GPBP1L1,0.13492102055427793,GPBP1L1,FFPE,Hist2ST
TSPAN1,0.04766086681735999,TSPAN1,FFPE,Hist2ST
RAD54L,0.06570829755592311,RAD54L,FFPE,Hist2ST
LRRC41,0.11741120314697572,LRRC41,FFPE,Hist2ST
CMPK1,0.10413231687864831,CMPK1,FFPE,Hist2ST
RNF11,0.12650013022661155,RNF11,FFPE,Hist2ST
TTC39A,0.20777644290176273,TTC39A,FFPE,Hist2ST
TXNDC12,0.09835925024011981,TXNDC12,FFPE,Hist2ST
PRPF38A,0.12235198337530713,PRPF38A,FFPE,Hist2ST
SCP2,0.15534079447518573,SCP2,FFPE,Hist2ST
NDC1,0.04249915839367926,NDC1,FFPE,Hist2ST
HSPB11,0.09465035297432549,HSPB11,FFPE,Hist2ST
TMEM59,0.11679132003829491,TMEM59,FFPE,Hist2ST
SSBP3,0.09437696636462363,SSBP3,FFPE,Hist2ST
TACSTD2,0.17858515108877948,TACSTD2,FFPE,Hist2ST
MYSM1,0.009420975541094348,MYSM1,FFPE,Hist2ST
TM2D1,0.11896833433433135,TM2D1,FFPE,Hist2ST
PATJ,0.16581765761673456,PATJ,FFPE,Hist2ST
USP1,0.09428773395255101,USP1,FFPE,Hist2ST
JAK1,0.0656502795388986,JAK1,FFPE,Hist2ST
LEPROT,0.12745922342822957,LEPROT,FFPE,Hist2ST
GNG12,0.02552610517536865,GNG12,FFPE,Hist2ST
SRSF11,0.13411082944636832,SRSF11,FFPE,Hist2ST
USP33,0.10902854086520215,USP33,FFPE,Hist2ST
IFI44L,0.20167133330957399,IFI44L,FFPE,Hist2ST
IFI44,0.16786292882398465,IFI44,FFPE,Hist2ST
