,index,Pearson correlation,Gene,Slide,Method
0,ISG15,0.070337763373331,ISG15,block1,Hist2ST
1,PLA2G2D,0.1280433977966087,PLA2G2D,block1,Hist2ST
2,CAMK2N1,0.1794570298820463,CAMK2N1,block1,Hist2ST
3,USP48,0.0928230138586183,USP48,block1,Hist2ST
4,TCEA3,0.2145520696973612,TCEA3,block1,Hist2ST
5,PNRC2,0.1964527356315435,PNRC2,block1,Hist2ST
6,LDLRAP1,0.1180889810250972,LDLRAP1,block1,Hist2ST
7,IFI6,-0.0514591811099525,IFI6,block1,Hist2ST
8,PSMB2,0.1940844865569658,PSMB2,block1,Hist2ST
9,GNL2,0.1618500220860239,GNL2,block1,Hist2ST
10,SF3A3,0.2008223120918536,SF3A3,block1,Hist2ST
11,UTP11,0.1365481841977405,UTP11,block1,Hist2ST
12,AKIRIN1,0.086723979121943,AKIRIN1,block1,Hist2ST
13,MFSD2A,0.0324778654249182,MFSD2A,block1,Hist2ST
14,CAP1,0.1049316928261654,CAP1,block1,Hist2ST
15,CTPS1,0.1229314066808115,CTPS1,block1,Hist2ST
16,PPCS,0.1888599173964378,PPCS,block1,Hist2ST
17,PPIH,0.1366735480931152,PPIH,block1,Hist2ST
18,YBX1,0.1016199708982401,YBX1,block1,Hist2ST
19,EBNA1BP2,0.1907048989313731,EBNA1BP2,block1,Hist2ST
20,CDC20,0.1314251430381219,CDC20,block1,Hist2ST
21,PTPRF,0.2172171716722512,PTPRF,block1,Hist2ST
22,KDM4A,0.0974855788308923,KDM4A,block1,Hist2ST
23,EIF2B3,0.1540273176842074,EIF2B3,block1,Hist2ST
24,NASP,0.1547945231937895,NASP,block1,Hist2ST
25,GPBP1L1,0.2038532708558194,GPBP1L1,block1,Hist2ST
26,TSPAN1,0.1558810559656046,TSPAN1,block1,Hist2ST
27,RAD54L,0.1352211583029253,RAD54L,block1,Hist2ST
28,LRRC41,0.1645136099934107,LRRC41,block1,Hist2ST
29,CMPK1,0.1471550227408084,CMPK1,block1,Hist2ST
30,RNF11,0.1370516097603487,RNF11,block1,Hist2ST
31,TTC39A,0.2104245687751945,TTC39A,block1,Hist2ST
32,TXNDC12,0.1585567970459815,TXNDC12,block1,Hist2ST
33,PRPF38A,0.1806150602972351,PRPF38A,block1,Hist2ST
34,SCP2,0.1691197776129631,SCP2,block1,Hist2ST
35,NDC1,0.1251729672363521,NDC1,block1,Hist2ST
36,HSPB11,0.1751786079090261,HSPB11,block1,Hist2ST
37,TMEM59,0.172222763524876,TMEM59,block1,Hist2ST
38,SSBP3,0.1047325532724104,SSBP3,block1,Hist2ST
39,TACSTD2,0.1641840964644789,TACSTD2,block1,Hist2ST
40,MYSM1,0.0873940915130637,MYSM1,block1,Hist2ST
41,TM2D1,0.1236670253304758,TM2D1,block1,Hist2ST
42,PATJ,0.1728401321127441,PATJ,block1,Hist2ST
43,USP1,0.1306465575013036,USP1,block1,Hist2ST
44,JAK1,0.1274140247723396,JAK1,block1,Hist2ST
45,LEPROT,0.1113453327029871,LEPROT,block1,Hist2ST
46,GNG12,0.0397652665844645,GNG12,block1,Hist2ST
47,SRSF11,0.1053706328374011,SRSF11,block1,Hist2ST
48,USP33,0.131886291415164,USP33,block1,Hist2ST
49,IFI44L,0.0437297881254866,IFI44L,block1,Hist2ST
50,IFI44,0.0788640009258255,IFI44,block1,Hist2ST
51,GNG5,0.1445749238376757,GNG5,block1,Hist2ST
52,LMO4,0.0536136827503372,LMO4,block1,Hist2ST
53,GTF2B,0.1328731532220377,GTF2B,block1,Hist2ST
54,GBP1,0.1227052655032677,GBP1,block1,Hist2ST
55,GBP2,0.1357291701494933,GBP2,block1,Hist2ST
56,GBP5,0.1292612543398498,GBP5,block1,Hist2ST
57,LRRC8B,0.0937095854627119,LRRC8B,block1,Hist2ST
58,LRRC8D,0.0574844270474134,LRRC8D,block1,Hist2ST
59,CDC7,0.0718501615724219,CDC7,block1,Hist2ST
60,GLMN,0.050995749084101,GLMN,block1,Hist2ST
61,MTF2,0.095024436400547,MTF2,block1,Hist2ST
62,TMED5,0.1818671981169569,TMED5,block1,Hist2ST
63,CCDC18,0.0123069556918485,CCDC18,block1,Hist2ST
64,DR1,0.1621186348021161,DR1,block1,Hist2ST
65,FNBP1L,0.1802653613542418,FNBP1L,block1,Hist2ST
66,BCAR3,0.0854889864166869,BCAR3,block1,Hist2ST
67,DNTTIP2,0.125278954921794,DNTTIP2,block1,Hist2ST
68,GCLM,0.1165703565699966,GCLM,block1,Hist2ST
69,ARHGAP29,0.0342091491337844,ARHGAP29,block1,Hist2ST
70,ABCD3,0.1798524383540773,ABCD3,block1,Hist2ST
71,CNN3,0.0964872737988377,CNN3,block1,Hist2ST
72,ALG14,0.1287815976505215,ALG14,block1,Hist2ST
73,SNX7,0.0754245907786882,SNX7,block1,Hist2ST
74,VCAM1,0.1149665319416513,VCAM1,block1,Hist2ST
75,PSMA5,0.1647597060054027,PSMA5,block1,Hist2ST
76,GSTM3,0.1198077763163224,GSTM3,block1,Hist2ST
77,CD53,0.1528552081375879,CD53,block1,Hist2ST
78,WDR3,0.1523555636735872,WDR3,block1,Hist2ST
79,PHGDH,0.0129539449640715,PHGDH,block1,Hist2ST
80,CTSS,0.1469906986802947,CTSS,block1,Hist2ST
81,CTSK,0.0836532298525706,CTSK,block1,Hist2ST
82,SCNM1,0.1723678551218216,SCNM1,block1,Hist2ST
83,S100A8,0.0758068793675934,S100A8,block1,Hist2ST
84,S100A14,0.0789206273057903,S100A14,block1,Hist2ST
85,S100A1,0.1353957153882343,S100A1,block1,Hist2ST
86,CREB3L4,0.2205689574672583,CREB3L4,block1,Hist2ST
87,EFNA3,0.1131554842599995,EFNA3,block1,Hist2ST
88,RIT1,0.1539677241885054,RIT1,block1,Hist2ST
89,CRABP2,0.0762412997220604,CRABP2,block1,Hist2ST
90,IFI16,0.0919765711841175,IFI16,block1,Hist2ST
91,USF1,-0.0027541027024056,USF1,block1,Hist2ST
92,OLFML2B,0.1148651421535823,OLFML2B,block1,Hist2ST
93,MPC2,0.1672051929370351,MPC2,block1,Hist2ST
94,ATP1B1,0.0937288909424523,ATP1B1,block1,Hist2ST
95,RABGAP1L,0.108897643621127,RABGAP1L,block1,Hist2ST
96,XPR1,0.0745538879001764,XPR1,block1,Hist2ST
97,LAMC1,0.0930797362562107,LAMC1,block1,Hist2ST
98,C1orf21,0.1035489374395796,C1orf21,block1,Hist2ST
99,TPR,0.1311537730322825,TPR,block1,Hist2ST
100,PTPRC,0.1920608740015938,PTPRC,block1,Hist2ST
101,UBE2T,0.2056079871745527,UBE2T,block1,Hist2ST
102,NUCKS1,0.0700475189795165,NUCKS1,block1,Hist2ST
103,ATF3,0.0666143482991403,ATF3,block1,Hist2ST
104,CENPF,0.180100970805508,CENPF,block1,Hist2ST
105,KCTD3,0.2267110126435614,KCTD3,block1,Hist2ST
106,LYPLAL1,0.197088989694192,LYPLAL1,block1,Hist2ST
107,IARS2,0.2015666093044129,IARS2,block1,Hist2ST
108,CNIH4,0.1851346740577123,CNIH4,block1,Hist2ST
109,NUP133,0.1680920287624942,NUP133,block1,Hist2ST
110,ARID4B,0.1476761516955475,ARID4B,block1,Hist2ST
111,CHML,0.1273412226048035,CHML,block1,Hist2ST
112,SCCPDH,0.2209406695208057,SCCPDH,block1,Hist2ST
113,GATA3,0.1805830853921701,GATA3,block1,Hist2ST
114,FAM107B,0.1674963044141036,FAM107B,block1,Hist2ST
115,HSPA14,0.16165084560536,HSPA14,block1,Hist2ST
116,NEBL,0.2125335149555021,NEBL,block1,Hist2ST
117,BAMBI,0.035064658301326,BAMBI,block1,Hist2ST
118,ARHGAP12,0.1813289614622159,ARHGAP12,block1,Hist2ST
119,DKK1,0.0224454077093257,DKK1,block1,Hist2ST
120,ZWINT,0.1851519649770412,ZWINT,block1,Hist2ST
121,ANK3,0.1002525770487895,ANK3,block1,Hist2ST
122,CDK1,0.2291184942754442,CDK1,block1,Hist2ST
123,HERC4,0.1429805911570624,HERC4,block1,Hist2ST
124,SRGN,0.0950487215585144,SRGN,block1,Hist2ST
125,H2AFY2,0.1324819240737969,H2AFY2,block1,Hist2ST
126,ADK,0.1425583687019627,ADK,block1,Hist2ST
127,DLG5,0.1794439288971728,DLG5,block1,Hist2ST
128,PLAC9,0.1384312824788117,PLAC9,block1,Hist2ST
129,GHITM,0.1791349446051583,GHITM,block1,Hist2ST
130,SNCG,0.1829547613317565,SNCG,block1,Hist2ST
131,ADIRF,0.1698576281655189,ADIRF,block1,Hist2ST
132,IFIT3,0.0878009322683409,IFIT3,block1,Hist2ST
133,FRA10AC1,0.1164061022550211,FRA10AC1,block1,Hist2ST
134,EXOSC1,0.1909467430809083,EXOSC1,block1,Hist2ST
135,SCD,0.1634101011152549,SCD,block1,Hist2ST
136,ARL3,0.1747226688293442,ARL3,block1,Hist2ST
137,ADD3,0.1036014873594619,ADD3,block1,Hist2ST
138,FAM204A,0.1431020696074358,FAM204A,block1,Hist2ST
139,NSMCE4A,0.1428231037679819,NSMCE4A,block1,Hist2ST
140,OAT,0.0470571842285878,OAT,block1,Hist2ST
141,GLRX3,0.1249471748088401,GLRX3,block1,Hist2ST
142,IFITM2,-0.0004717996713895,IFITM2,block1,Hist2ST
143,TRIM22,0.1018498284887702,TRIM22,block1,Hist2ST
144,DKK3,0.090967609950724,DKK3,block1,Hist2ST
145,SAA1,0.0235532450343966,SAA1,block1,Hist2ST
146,TSG101,0.1943160857581321,TSG101,block1,Hist2ST
147,SVIP,0.1301675677941781,SVIP,block1,Hist2ST
148,CAPRIN1,0.1831356703363959,CAPRIN1,block1,Hist2ST
149,API5,0.1944657121314733,API5,block1,Hist2ST
150,MTCH2,0.1833261109858475,MTCH2,block1,Hist2ST
151,UBE2L6,0.1284969089534137,UBE2L6,block1,Hist2ST
152,MPEG1,0.1633610966308714,MPEG1,block1,Hist2ST
153,MS4A7,0.0997827067139276,MS4A7,block1,Hist2ST
154,TMEM258,0.187530564029984,TMEM258,block1,Hist2ST
155,CST6,-0.0213030915630321,CST6,block1,Hist2ST
156,ALDH3B2,0.1997405738300617,ALDH3B2,block1,Hist2ST
157,TESMIN,0.1794693140570805,TESMIN,block1,Hist2ST
158,CCND1,0.1117524946017252,CCND1,block1,Hist2ST
159,ANO1,0.2466793135783401,ANO1,block1,Hist2ST
160,FADD,0.2339663526233929,FADD,block1,Hist2ST
161,CTTN,0.1613077574540055,CTTN,block1,Hist2ST
162,PRSS23,0.1052527058711218,PRSS23,block1,Hist2ST
163,BIRC3,0.09965554179042,BIRC3,block1,Hist2ST
164,MMP1,0.0394260136411093,MMP1,block1,Hist2ST
165,CASP4,0.0862300019084914,CASP4,block1,Hist2ST
166,CD3D,0.1389588818490587,CD3D,block1,Hist2ST
167,THYN1,0.0720509876193291,THYN1,block1,Hist2ST
168,SCNN1A,0.0932471020925448,SCNN1A,block1,Hist2ST
169,MAGOHB,0.1735548585778231,MAGOHB,block1,Hist2ST
170,GPRC5A,0.1291571626092295,GPRC5A,block1,Hist2ST
171,MGP,0.169774493476579,MGP,block1,Hist2ST
172,C12orf60,0.0934144849238438,C12orf60,block1,Hist2ST
173,ITPR2,0.0710293616092526,ITPR2,block1,Hist2ST
174,ZCRB1,0.1455694831009893,ZCRB1,block1,Hist2ST
175,FAIM2,0.1062811565880484,FAIM2,block1,Hist2ST
176,NR4A1,0.0865351713595573,NR4A1,block1,Hist2ST
177,KRT81,-0.021052650998077,KRT81,block1,Hist2ST
178,PPP1R1A,0.0065313611290404,PPP1R1A,block1,Hist2ST
179,MUCL1,-0.0071223693748024,MUCL1,block1,Hist2ST
180,NUP107,0.2077582736597768,NUP107,block1,Hist2ST
181,LYZ,0.1874354833046965,LYZ,block1,Hist2ST
182,DUSP6,0.0625415486213272,DUSP6,block1,Hist2ST
183,ATP2B1,0.0768918638438102,ATP2B1,block1,Hist2ST
184,LUM,0.2431359288616343,LUM,block1,Hist2ST
185,DCN,0.3092405510374864,DCN,block1,Hist2ST
186,EEA1,0.0859373441230372,EEA1,block1,Hist2ST
187,NTN4,0.0714725270850705,NTN4,block1,Hist2ST
188,TMPO,0.1983395039723264,TMPO,block1,Hist2ST
189,ARL1,0.2121528402304889,ARL1,block1,Hist2ST
190,CHPT1,0.0923164570001118,CHPT1,block1,Hist2ST
191,SYCP3,0.0276156775235103,SYCP3,block1,Hist2ST
192,PWP1,0.1573928815113095,PWP1,block1,Hist2ST
193,TCTN1,0.1607480175706878,TCTN1,block1,Hist2ST
194,MAPKAPK5,0.176366840559577,MAPKAPK5,block1,Hist2ST
195,OAS1,0.1482531589420787,OAS1,block1,Hist2ST
196,OAS2,0.0670489852435546,OAS2,block1,Hist2ST
