,Pearson correlation,Gene,Slide,Method
ISG15,0.07430043203252922,ISG15,block2,Hist2ST
PLA2G2D,0.10559357274026532,PLA2G2D,block2,Hist2ST
CAMK2N1,0.1633905001430215,CAMK2N1,block2,Hist2ST
USP48,0.14310111753338364,USP48,block2,Hist2ST
TCEA3,0.27628561008009705,TCEA3,block2,Hist2ST
PNRC2,0.23676158900426816,PNRC2,block2,Hist2ST
LDLRAP1,0.1759057211395648,LDLRAP1,block2,Hist2ST
IFI6,-0.03985937790277733,IFI6,block2,Hist2ST
PSMB2,0.2994824674155347,PSMB2,block2,Hist2ST
GNL2,0.23449736758640127,GNL2,block2,Hist2ST
SF3A3,0.21983031767888642,SF3A3,block2,Hist2ST
UTP11,0.17403353037206157,UTP11,block2,Hist2ST
AKIRIN1,0.15462781606265474,AKIRIN1,block2,Hist2ST
MFSD2A,0.025278738767606338,MFSD2A,block2,Hist2ST
CAP1,0.178834726961036,CAP1,block2,Hist2ST
CTPS1,0.14864039948460755,CTPS1,block2,Hist2ST
PPCS,0.19678678829512958,PPCS,block2,Hist2ST
PPIH,0.17415598555108122,PPIH,block2,Hist2ST
YBX1,0.09715368884539186,YBX1,block2,Hist2ST
EBNA1BP2,0.25541322215725787,EBNA1BP2,block2,Hist2ST
CDC20,0.1243667798542063,CDC20,block2,Hist2ST
PTPRF,0.2273173653913476,PTPRF,block2,Hist2ST
KDM4A,0.09646007859493475,KDM4A,block2,Hist2ST
EIF2B3,0.14097870933284687,EIF2B3,block2,Hist2ST
NASP,0.1872663569814478,NASP,block2,Hist2ST
GPBP1L1,0.22404715380741,GPBP1L1,block2,Hist2ST
TSPAN1,0.13238646102789833,TSPAN1,block2,Hist2ST
RAD54L,0.09261458536388555,RAD54L,block2,Hist2ST
LRRC41,0.17613558561019318,LRRC41,block2,Hist2ST
CMPK1,0.1821585631943964,CMPK1,block2,Hist2ST
RNF11,0.1590343292518485,RNF11,block2,Hist2ST
TTC39A,0.21901158469354373,TTC39A,block2,Hist2ST
TXNDC12,0.1298337990367288,TXNDC12,block2,Hist2ST
PRPF38A,0.18020709473548915,PRPF38A,block2,Hist2ST
SCP2,0.18147748515876824,SCP2,block2,Hist2ST
NDC1,0.13143805740555356,NDC1,block2,Hist2ST
HSPB11,0.2440444254431151,HSPB11,block2,Hist2ST
TMEM59,0.20555889862151094,TMEM59,block2,Hist2ST
SSBP3,0.17053160473301826,SSBP3,block2,Hist2ST
TACSTD2,0.2568632034584576,TACSTD2,block2,Hist2ST
MYSM1,0.11184139822919578,MYSM1,block2,Hist2ST
TM2D1,0.16275439572341982,TM2D1,block2,Hist2ST
PATJ,0.2185744161788152,PATJ,block2,Hist2ST
USP1,0.1600832316831841,USP1,block2,Hist2ST
JAK1,0.08700747028872978,JAK1,block2,Hist2ST
LEPROT,0.15865490120138986,LEPROT,block2,Hist2ST
GNG12,0.05036322762557555,GNG12,block2,Hist2ST
SRSF11,0.13277628488645637,SRSF11,block2,Hist2ST
USP33,0.16831068406050523,USP33,block2,Hist2ST
IFI44L,0.05273835685611038,IFI44L,block2,Hist2ST
IFI44,0.17779116009069287,IFI44,block2,Hist2ST
GNG5,0.26054827294245875,GNG5,block2,Hist2ST
LMO4,0.08639131369525631,LMO4,block2,Hist2ST
GTF2B,0.15442105508634968,GTF2B,block2,Hist2ST
GBP1,0.17264595604515076,GBP1,block2,Hist2ST
GBP2,0.11461780075479326,GBP2,block2,Hist2ST
GBP5,0.13789873960314508,GBP5,block2,Hist2ST
LRRC8B,0.08491353143367347,LRRC8B,block2,Hist2ST
LRRC8D,0.13899936707043545,LRRC8D,block2,Hist2ST
CDC7,0.0503838384748512,CDC7,block2,Hist2ST
GLMN,0.08546416871988931,GLMN,block2,Hist2ST
MTF2,0.12728985031673928,MTF2,block2,Hist2ST
TMED5,0.1599432344018809,TMED5,block2,Hist2ST
CCDC18,0.014694776915108607,CCDC18,block2,Hist2ST
DR1,0.22425863674406052,DR1,block2,Hist2ST
FNBP1L,0.22397657726542203,FNBP1L,block2,Hist2ST
BCAR3,0.06357928761825904,BCAR3,block2,Hist2ST
DNTTIP2,0.16107693931564418,DNTTIP2,block2,Hist2ST
GCLM,0.1209158703793159,GCLM,block2,Hist2ST
ARHGAP29,0.0592189908167677,ARHGAP29,block2,Hist2ST
ABCD3,0.14622628795716108,ABCD3,block2,Hist2ST
CNN3,0.08597366301661566,CNN3,block2,Hist2ST
ALG14,0.08121017114879453,ALG14,block2,Hist2ST
SNX7,0.06959680389997061,SNX7,block2,Hist2ST
VCAM1,0.08429847721626978,VCAM1,block2,Hist2ST
PSMA5,0.2521515930939821,PSMA5,block2,Hist2ST
GSTM3,0.1689432956358505,GSTM3,block2,Hist2ST
CD53,0.13167615431394342,CD53,block2,Hist2ST
WDR3,0.13826127114516862,WDR3,block2,Hist2ST
PHGDH,0.005184997605705627,PHGDH,block2,Hist2ST
CTSS,0.1225560177959597,CTSS,block2,Hist2ST
CTSK,0.02264638332244586,CTSK,block2,Hist2ST
SCNM1,0.23850425714528556,SCNM1,block2,Hist2ST
S100A8,0.04468340179196734,S100A8,block2,Hist2ST
S100A14,0.20232813285360227,S100A14,block2,Hist2ST
S100A1,0.12402605159208671,S100A1,block2,Hist2ST
CREB3L4,0.24425830241462884,CREB3L4,block2,Hist2ST
EFNA3,0.10686370745890009,EFNA3,block2,Hist2ST
RIT1,0.15488799579851678,RIT1,block2,Hist2ST
CRABP2,0.03478904870494266,CRABP2,block2,Hist2ST
IFI16,0.11040933675063318,IFI16,block2,Hist2ST
USF1,0.012031574429352019,USF1,block2,Hist2ST
OLFML2B,0.10972520556988137,OLFML2B,block2,Hist2ST
MPC2,0.19325731316582412,MPC2,block2,Hist2ST
ATP1B1,0.09526064456436938,ATP1B1,block2,Hist2ST
RABGAP1L,0.2067907826425489,RABGAP1L,block2,Hist2ST
XPR1,0.07900855539054633,XPR1,block2,Hist2ST
LAMC1,0.10191529595978703,LAMC1,block2,Hist2ST
C1orf21,0.066286477309447,C1orf21,block2,Hist2ST
TPR,0.14266720257630477,TPR,block2,Hist2ST
PTPRC,0.17690374817522098,PTPRC,block2,Hist2ST
UBE2T,0.23761031134692745,UBE2T,block2,Hist2ST
NUCKS1,0.21511976739434702,NUCKS1,block2,Hist2ST
ATF3,0.02252721754048922,ATF3,block2,Hist2ST
CENPF,0.2369171235186677,CENPF,block2,Hist2ST
