,Gene,Pearson correlation,Slide,Method
0,COX6C,-0.1618330654067337,1160920F,BLEEP
1,TTLL12,-0.05386471415636286,1160920F,BLEEP
2,HSP90AB1,-0.14516699816683815,1160920F,BLEEP
3,TFF3,0.036435438687386495,1160920F,BLEEP
4,ATP1A1,-0.07311077498856126,1160920F,BLEEP
5,B2M,-0.007627997585322596,1160920F,BLEEP
6,FASN,-0.09544974742689832,1160920F,BLEEP
7,SPARC,0.047503167558314754,1160920F,BLEEP
8,CD74,0.06318645959154659,1160920F,BLEEP
9,CD63,-0.07439371706416076,1160920F,BLEEP
10,CD24,-0.149873421704501,1160920F,BLEEP
11,CD81,-0.10367587007548199,1160920F,BLEEP
