,Gene,Pearson correlation,Slide,Method
0,COX6C,-0.0767631258743753,CID4465,BLEEP
1,TTLL12,0.0345756985650082,CID4465,BLEEP
2,HSP90AB1,-0.06268890282782194,CID4465,BLEEP
3,TFF3,0.0015245104995153063,CID4465,BLEEP
4,ATP1A1,-0.032150167371440455,CID4465,BLEEP
5,B2M,0.10301363786915614,CID4465,BLEEP
6,FASN,-0.04391794066434536,CID4465,BLEEP
7,SPARC,0.014738595605370247,CID4465,BLEEP
8,CD74,0.06385290364200295,CID4465,BLEEP
9,CD63,0.009014265783680434,CID4465,BLEEP
10,CD24,-0.052589309099488134,CID4465,BLEEP
11,CD81,0.03413213684551591,CID4465,BLEEP
