,Gene,Pearson correlation,Slide,Method
0,COX6C,-0.031177931032735987,FFPE,BLEEP
1,TTLL12,0.0011817888721475836,FFPE,BLEEP
2,HSP90AB1,-0.06401822748990024,FFPE,BLEEP
3,TFF3,-0.0323615505338893,FFPE,BLEEP
4,ATP1A1,0.029048769437457957,FFPE,BLEEP
5,B2M,-0.07092188517837429,FFPE,BLEEP
6,FASN,-0.07668305114072574,FFPE,BLEEP
7,SPARC,0.07020743995292003,FFPE,BLEEP
8,CD74,-0.10235742562729673,FFPE,BLEEP
9,CD63,-0.06586331996935366,FFPE,BLEEP
10,CD24,-0.11766074990365682,FFPE,BLEEP
11,CD81,-0.07982189888575349,FFPE,BLEEP
