,Gene,Pearson correlation,Slide,Method
0,COX6C,-0.12449490417095932,block2,BLEEP
1,TTLL12,-0.04690902837640204,block2,BLEEP
2,HSP90AB1,-0.1466292968164309,block2,BLEEP
3,TFF3,-0.08406674259001592,block2,BLEEP
4,ATP1A1,-0.026177968338518966,block2,BLEEP
5,B2M,-0.06886446886938448,block2,BLEEP
6,FASN,-0.0889968634739659,block2,BLEEP
7,SPARC,0.0004261183076059837,block2,BLEEP
8,CD74,-0.011944939383081358,block2,BLEEP
9,CD63,-0.05642472823854255,block2,BLEEP
10,CD24,-0.07761794553314806,block2,BLEEP
11,CD81,-0.05134081709114463,block2,BLEEP
