,Gene,Spearman correlation,Pearson correlation,Slide,Method
0,ATP1A1,0.4317758515202305,0.4606707582663315,CID4290,Hist2ST
1,FASN,-0.00478643524229619,0.06126981820250507,CID4290,Hist2ST
2,COX6C,-0.11421553651759356,-0.12305526052379596,CID4290,Hist2ST
3,CD63,0.1688443389564332,0.3474709579466836,CID4290,Hist2ST
4,TTLL12,-0.16595446285555027,-0.1488010393633095,CID4290,Hist2ST
5,CD81,0.3523422076917122,0.3818622476996354,CID4290,Hist2ST
6,TFF3,-0.37138634060284287,-0.4432002814053833,CID4290,Hist2ST
7,SPARC,0.3481142637086563,0.5610835431090487,CID4290,Hist2ST
8,CD24,0.30372662594143196,0.4246183235574653,CID4290,Hist2ST
9,CD74,0.23874496425662364,0.4111341499656517,CID4290,Hist2ST
10,HSP90AB1,0.06965236329689851,0.218985854093118,CID4290,Hist2ST
11,B2M,0.10489447804492143,0.37280715768897776,CID4290,Hist2ST
