,Gene,Spearman correlation,Pearson correlation,Slide,Method
0,B2M,-0.1396964875418701,-0.12481369754178118,block1,Hist2ST
1,SPARC,-0.054543897669318095,-0.006117818435613759,block1,Hist2ST
2,CD74,-0.08648622813349234,-0.04898967233516406,block1,Hist2ST
3,ATP1A1,0.20051089916948214,0.23853239057409575,block1,Hist2ST
4,TTLL12,0.16334677105871465,0.19733190950478507,block1,Hist2ST
5,FASN,0.1207501746366068,0.04635379834996549,block1,Hist2ST
6,HSP90AB1,0.26300831116782425,0.22794671842702385,block1,Hist2ST
7,CD81,0.033086834712519,0.10844227004532948,block1,Hist2ST
8,TFF3,-0.10228866039736055,-0.02776374838947105,block1,Hist2ST
9,CD24,0.2210810801125427,0.21616336752860404,block1,Hist2ST
10,CD63,0.007337318753604886,0.0698867170101187,block1,Hist2ST
11,COX6C,-0.18136904239589266,-0.1245393075814491,block1,Hist2ST
