,Gene,Spearman correlation,Pearson correlation,Slide,Method
0,HSP90AB1,0.23206376869861559,0.33912888883443704,CID44971,HisToGene
1,COX6C,-0.11459890049205361,-0.12112246282312841,CID44971,HisToGene
2,ATP1A1,0.3206175172649041,0.4127431232217962,CID44971,HisToGene
3,CD81,0.29748225226351677,0.42575588425900557,CID44971,HisToGene
4,TFF3,-0.3015365236913678,-0.34198283582681954,CID44971,HisToGene
5,CD24,0.15685802466926935,0.2947983976289977,CID44971,HisToGene
6,CD63,0.19219813951723927,0.35909948229362754,CID44971,HisToGene
7,TTLL12,-0.24227983195611164,-0.1841005839329043,CID44971,HisToGene
8,FASN,-0.3399018549615753,-0.36228963139417547,CID44971,HisToGene
9,CD74,-0.00572310723287465,-0.22175034669968888,CID44971,HisToGene
10,SPARC,0.156194325175201,0.21430557525892352,CID44971,HisToGene
11,B2M,0.06850134197353461,-0.10906098420255506,CID44971,HisToGene
