,Gene,Pearson correlation,Slide,Method
0,COX6C,-0.009958667602340841,1142243F,BLEEP
1,TTLL12,0.0003405456647415155,1142243F,BLEEP
2,HSP90AB1,0.04926832864353614,1142243F,BLEEP
3,TFF3,-0.0013235845610302841,1142243F,BLEEP
4,ATP1A1,0.16253215904837331,1142243F,BLEEP
5,B2M,-0.11589281036934242,1142243F,BLEEP
6,FASN,-0.004957682385313003,1142243F,BLEEP
7,SPARC,-0.028000580386474887,1142243F,BLEEP
8,CD74,-0.014405639081023786,1142243F,BLEEP
9,CD63,-0.025224963866158162,1142243F,BLEEP
10,CD24,0.17259123596333645,1142243F,BLEEP
11,CD81,-0.017094843929947628,1142243F,BLEEP
