,Gene,Pearson correlation,Slide,Method
0,COX6C,0.06211862617247087,CID4535,BLEEP
1,TTLL12,0.10345921399252168,CID4535,BLEEP
2,HSP90AB1,0.21650043942026792,CID4535,BLEEP
3,TFF3,-0.04028453637393601,CID4535,BLEEP
4,ATP1A1,0.13064817451514682,CID4535,BLEEP
5,B2M,-0.34505100778625375,CID4535,BLEEP
6,FASN,0.03934677977466521,CID4535,BLEEP
7,SPARC,-0.1985506871422964,CID4535,BLEEP
8,CD74,-0.3253315732540014,CID4535,BLEEP
9,CD63,-0.035417112604708444,CID4535,BLEEP
10,CD24,0.012242014643518854,CID4535,BLEEP
11,CD81,-0.03938143234384173,CID4535,BLEEP
