,Gene,Pearson correlation,Slide,Method
0,COX6C,0.6475990295003909,FFPE,BLEEP
1,TTLL12,0.18513265508720905,FFPE,BLEEP
2,HSP90AB1,0.6355457883930851,FFPE,BLEEP
3,TFF3,0.21657309400003405,FFPE,BLEEP
4,ATP1A1,0.497683916156621,FFPE,BLEEP
5,B2M,0.5305473853767773,FFPE,BLEEP
6,FASN,0.48200428428664593,FFPE,BLEEP
7,SPARC,-0.14621542269990243,FFPE,BLEEP
8,CD74,0.024635943312831098,FFPE,BLEEP
9,CD63,0.45516943671871263,FFPE,BLEEP
10,CD24,0.6580820584166432,FFPE,BLEEP
11,CD81,0.4441842862195435,FFPE,BLEEP
