,Gene,Pearson correlation,Slide,Method
0,COX6C,0.33891087632894507,block2,BLEEP
1,TTLL12,0.3378628056368582,block2,BLEEP
2,HSP90AB1,0.38691827119736405,block2,BLEEP
3,TFF3,0.1785727395194141,block2,BLEEP
4,ATP1A1,0.24267517450921408,block2,BLEEP
5,B2M,0.2955903147677086,block2,BLEEP
6,FASN,0.2780658392551876,block2,BLEEP
7,SPARC,0.06143460293097244,block2,BLEEP
8,CD74,0.18791341706105777,block2,BLEEP
9,CD63,0.259924617957611,block2,BLEEP
10,CD24,0.4656116378832459,block2,BLEEP
11,CD81,0.2530667494337524,block2,BLEEP
