,Gene,Spearman correlation,Pearson correlation,Slide,Method
0,TFF3,0.22763745669054852,0.28099618443056573,CID4535,Hist2ST
1,TTLL12,0.203565074714601,0.23941888290450264,CID4535,Hist2ST
2,B2M,0.1005476144570338,0.5131303894671082,CID4535,Hist2ST
3,CD63,0.3587900299788932,0.5853534492195891,CID4535,Hist2ST
4,FASN,0.26168938547495213,0.37467038745922887,CID4535,Hist2ST
5,ATP1A1,0.30057729561527613,0.4565055093982594,CID4535,Hist2ST
6,CD24,0.32819967344123585,0.44579867864471584,CID4535,Hist2ST
7,COX6C,0.279093729511096,0.5993695698392649,CID4535,Hist2ST
8,SPARC,0.44464719449315265,0.5577823022649417,CID4535,Hist2ST
9,CD81,0.2781720713726691,0.5305169701773751,CID4535,Hist2ST
10,CD74,0.09955580061755591,0.5351996461055686,CID4535,Hist2ST
11,HSP90AB1,0.4026161800829131,0.5970927223213229,CID4535,Hist2ST
