,Gene,Pearson correlation,Slide,Method
0,ISG15,0.10509801159453933,A5,BLEEP
1,PLA2G2D,0.18061225286725044,A5,BLEEP
2,CAMK2N1,0.27095891452441706,A5,BLEEP
3,USP48,-0.03336534893633514,A5,BLEEP
4,TCEA3,0.03995265190868208,A5,BLEEP
5,PNRC2,0.11828059373219266,A5,BLEEP
6,LDLRAP1,0.2518871848404864,A5,BLEEP
7,IFI6,0.01666320975420522,A5,BLEEP
8,ZBTB8OS,0.03728085421829658,A5,BLEEP
9,RBBP4,0.012255377918922662,A5,BLEEP
10,PSMB2,0.0431862645696126,A5,BLEEP
11,GNL2,0.15444012895817072,A5,BLEEP
12,SF3A3,0.09758359028754034,A5,BLEEP
13,UTP11,0.09562070810234735,A5,BLEEP
14,AKIRIN1,0.06673574403931488,A5,BLEEP
15,MFSD2A,0.06534564423841904,A5,BLEEP
16,CAP1,0.10168784411282349,A5,BLEEP
17,CTPS1,0.12150370885697989,A5,BLEEP
18,PPCS,0.36787885030102924,A5,BLEEP
19,PPIH,0.24944685055750043,A5,BLEEP
20,YBX1,0.14776818558774973,A5,BLEEP
21,EBNA1BP2,0.2849161242429721,A5,BLEEP
22,CDC20,0.1348613602991504,A5,BLEEP
23,PTPRF,0.5035010603583105,A5,BLEEP
24,KDM4A,0.1892338421051839,A5,BLEEP
25,EIF2B3,-0.01602640584330219,A5,BLEEP
26,NASP,0.18434721187181402,A5,BLEEP
27,GPBP1L1,0.22154137063255178,A5,BLEEP
28,TSPAN1,0.29457437110862256,A5,BLEEP
29,RAD54L,0.014680547088154507,A5,BLEEP
30,LRRC41,0.1398673460491719,A5,BLEEP
31,UQCRH,0.0627763669692503,A5,BLEEP
32,CMPK1,0.07510588642642156,A5,BLEEP
33,RNF11,0.030482983455288087,A5,BLEEP
34,TTC39A,0.080813089867835,A5,BLEEP
35,TXNDC12,0.03250191638064451,A5,BLEEP
36,PRPF38A,0.026870924140734765,A5,BLEEP
37,SCP2,0.2186444975648729,A5,BLEEP
38,C1orf123,-0.07421078717699396,A5,BLEEP
39,MAGOH,0.17341063362334577,A5,BLEEP
40,NDC1,0.0856578533611016,A5,BLEEP
41,HSPB11,0.06228605450484509,A5,BLEEP
42,TMEM59,0.14165519146466277,A5,BLEEP
43,SSBP3,-0.0017192244135751569,A5,BLEEP
44,TACSTD2,0.32877089381957963,A5,BLEEP
45,MYSM1,0.058402855186283735,A5,BLEEP
46,TM2D1,0.03345832914128793,A5,BLEEP
47,PATJ,0.06882024943977132,A5,BLEEP
48,USP1,0.05440058092702013,A5,BLEEP
49,JAK1,-0.021681249520572255,A5,BLEEP
50,LEPROT,-0.0154975507861526,A5,BLEEP
