,Gene,Pearson correlation,Slide,Method
0,ISG15,0.37583814489484324,B1,BLEEP
1,PLA2G2D,0.6006286405576835,B1,BLEEP
2,CAMK2N1,0.10439616279177678,B1,BLEEP
3,USP48,0.3267934929631685,B1,BLEEP
4,TCEA3,0.6098418163045494,B1,BLEEP
5,PNRC2,0.5336008278397553,B1,BLEEP
6,LDLRAP1,0.5795246436753917,B1,BLEEP
7,IFI6,0.6483879292753837,B1,BLEEP
8,ZBTB8OS,0.35844729055331,B1,BLEEP
9,RBBP4,0.559590108628718,B1,BLEEP
10,PSMB2,0.5830815650202649,B1,BLEEP
11,GNL2,0.44689519474152456,B1,BLEEP
12,SF3A3,0.35077928411231707,B1,BLEEP
13,UTP11,0.167763922564552,B1,BLEEP
14,AKIRIN1,0.14652802512098737,B1,BLEEP
15,MFSD2A,0.08482938503389563,B1,BLEEP
16,CAP1,0.3360807802339748,B1,BLEEP
17,CTPS1,0.19562385770587443,B1,BLEEP
18,PPCS,0.5050619113798701,B1,BLEEP
19,PPIH,0.30328318877856525,B1,BLEEP
20,YBX1,0.36367717283958895,B1,BLEEP
21,EBNA1BP2,0.546068677907894,B1,BLEEP
22,CDC20,0.5153505435675262,B1,BLEEP
23,PTPRF,0.6460892416220815,B1,BLEEP
24,KDM4A,0.22425630280034248,B1,BLEEP
25,EIF2B3,0.3656293044765281,B1,BLEEP
26,NASP,0.24191583927761182,B1,BLEEP
27,GPBP1L1,0.4535523803381185,B1,BLEEP
28,TSPAN1,0.4015511203691534,B1,BLEEP
29,RAD54L,0.3718296292425038,B1,BLEEP
30,LRRC41,0.3702745412423398,B1,BLEEP
31,UQCRH,0.4675197858655553,B1,BLEEP
32,CMPK1,0.4723549682212773,B1,BLEEP
33,RNF11,0.40448347120322814,B1,BLEEP
34,TTC39A,0.6650219125211414,B1,BLEEP
35,TXNDC12,0.4058577004779553,B1,BLEEP
36,PRPF38A,0.22777644765604446,B1,BLEEP
37,SCP2,0.4266756846393674,B1,BLEEP
38,C1orf123,0.25025670420321783,B1,BLEEP
39,MAGOH,0.28116745839017393,B1,BLEEP
40,NDC1,0.42284608213211994,B1,BLEEP
41,HSPB11,0.3724738730580655,B1,BLEEP
42,TMEM59,0.5124790727816901,B1,BLEEP
43,SSBP3,0.25445428065227754,B1,BLEEP
44,TACSTD2,0.3315329792095033,B1,BLEEP
45,MYSM1,0.16283553672527987,B1,BLEEP
46,TM2D1,0.29447881435101825,B1,BLEEP
47,PATJ,0.1771468490029506,B1,BLEEP
48,USP1,0.32231351355457627,B1,BLEEP
49,JAK1,0.2407449476369716,B1,BLEEP
50,LEPROT,0.22175060930817442,B1,BLEEP
51,GNG12,0.36790765924173624,B1,BLEEP
52,SRSF11,0.3745897809254428,B1,BLEEP
53,USP33,0.21965645816272814,B1,BLEEP
54,IFI44L,0.21668923566065315,B1,BLEEP
