,Gene,Pearson correlation,Slide,Method
0,ISG15,0.15456010244858315,C1,BLEEP
1,PLA2G2D,0.09641869139114091,C1,BLEEP
2,CAMK2N1,0.43952746093038797,C1,BLEEP
3,USP48,0.20816433031790993,C1,BLEEP
4,TCEA3,0.3440820480914408,C1,BLEEP
5,PNRC2,0.3978749073047249,C1,BLEEP
6,LDLRAP1,0.24723608420111848,C1,BLEEP
7,IFI6,0.4304619397180391,C1,BLEEP
8,ZBTB8OS,0.18294886605203137,C1,BLEEP
9,RBBP4,0.29058729941111133,C1,BLEEP
10,PSMB2,0.42843986872991224,C1,BLEEP
11,GNL2,0.22764621751332384,C1,BLEEP
12,SF3A3,0.4282943939374976,C1,BLEEP
13,UTP11,0.23745342260057264,C1,BLEEP
14,AKIRIN1,0.3830019005592387,C1,BLEEP
15,MFSD2A,0.5224336787479009,C1,BLEEP
16,CAP1,0.5509918720309892,C1,BLEEP
17,CTPS1,0.42872640051370525,C1,BLEEP
18,PPCS,0.47816852937217985,C1,BLEEP
19,PPIH,0.26521028450946965,C1,BLEEP
20,YBX1,0.5203808171450406,C1,BLEEP
21,EBNA1BP2,0.5256178461084827,C1,BLEEP
22,CDC20,0.47730565952929976,C1,BLEEP
23,PTPRF,0.6371839136535736,C1,BLEEP
24,KDM4A,0.535468619537724,C1,BLEEP
25,EIF2B3,0.18523799210256658,C1,BLEEP
26,NASP,0.6488740974049891,C1,BLEEP
27,GPBP1L1,0.5075361236769712,C1,BLEEP
28,TSPAN1,0.5370728798272482,C1,BLEEP
29,RAD54L,0.37789964079472654,C1,BLEEP
30,LRRC41,0.45659508531164456,C1,BLEEP
31,UQCRH,0.4922025070703117,C1,BLEEP
32,CMPK1,0.549870968642331,C1,BLEEP
33,RNF11,0.5421132304737504,C1,BLEEP
34,TTC39A,0.2924731989233568,C1,BLEEP
35,TXNDC12,0.555596563226655,C1,BLEEP
36,PRPF38A,0.20277435378565656,C1,BLEEP
37,SCP2,0.5349174196935148,C1,BLEEP
38,C1orf123,0.44005631119117805,C1,BLEEP
39,MAGOH,0.4764704326760737,C1,BLEEP
40,NDC1,0.4893208374255794,C1,BLEEP
41,HSPB11,0.33259255008675054,C1,BLEEP
42,TMEM59,0.5500952997327083,C1,BLEEP
43,SSBP3,0.4906957396848398,C1,BLEEP
44,TACSTD2,0.5646487888373022,C1,BLEEP
45,MYSM1,0.4364166685361344,C1,BLEEP
46,TM2D1,0.22345528879669727,C1,BLEEP
47,PATJ,0.18127400251164363,C1,BLEEP
48,USP1,0.3787920649079226,C1,BLEEP
49,JAK1,0.27520566613335784,C1,BLEEP
50,LEPROT,0.37133021404954814,C1,BLEEP
51,GNG12,0.4781965828760303,C1,BLEEP
52,SRSF11,0.46564824402738114,C1,BLEEP
53,USP33,0.27989966154630236,C1,BLEEP
54,IFI44L,0.12016463510998482,C1,BLEEP
55,IFI44,0.3849094940151206,C1,BLEEP
56,GNG5,0.38884917014737197,C1,BLEEP
57,SEP15,0.5756309844669754,C1,BLEEP
58,LMO4,0.5017198935648587,C1,BLEEP
59,GTF2B,0.39250444823010866,C1,BLEEP
60,GBP3,0.13019352052408384,C1,BLEEP
61,GBP1,0.16009511804345566,C1,BLEEP
62,GBP2,0.2875536277515259,C1,BLEEP
63,GBP5,0.16511220719227135,C1,BLEEP
64,LRRC8B,0.3712692687601595,C1,BLEEP
65,LRRC8D,0.22439913480399554,C1,BLEEP
66,CDC7,0.2887659576348014,C1,BLEEP
67,GLMN,0.015603181759109408,C1,BLEEP
68,MTF2,0.21940974328245438,C1,BLEEP
69,TMED5,0.17127713802410455,C1,BLEEP
70,CCDC18,0.1227657592479024,C1,BLEEP
71,DR1,0.320661436484493,C1,BLEEP
72,FNBP1L,0.4280362028613044,C1,BLEEP
73,BCAR3,0.041514454536860194,C1,BLEEP
74,DNTTIP2,0.3097368229351996,C1,BLEEP
75,GCLM,0.12321166967018937,C1,BLEEP
76,ARHGAP29,0.11294703425990325,C1,BLEEP
77,ABCD3,0.15224811186443205,C1,BLEEP
78,CNN3,0.46817098186710343,C1,BLEEP
79,ALG14,0.2962949723859723,C1,BLEEP
80,TMEM56,0.19827031954733013,C1,BLEEP
81,SNX7,0.21896542557046228,C1,BLEEP
82,VCAM1,0.2025363173872062,C1,BLEEP
83,PSMA5,0.465014385215317,C1,BLEEP
84,GSTM3,0.2337787463533568,C1,BLEEP
85,CD53,0.29893050288545997,C1,BLEEP
86,ATP5F1,0.34092686161840835,C1,BLEEP
87,WDR3,0.2767656774391363,C1,BLEEP
88,PHGDH,0.47456919551415283,C1,BLEEP
89,CTSS,0.4119750265970884,C1,BLEEP
90,CTSK,0.3140584197993551,C1,BLEEP
91,SCNM1,0.1558591867064901,C1,BLEEP
92,S100A8,0.00025954927341918685,C1,BLEEP
93,S100A14,0.11225415355861064,C1,BLEEP
94,S100A1,0.3955087309814128,C1,BLEEP
95,CREB3L4,0.5628979360671719,C1,BLEEP
96,CKS1B,0.14077185282244645,C1,BLEEP
97,EFNA3,0.023730355057869836,C1,BLEEP
98,RIT1,0.22487273543728453,C1,BLEEP
99,CRABP2,0.19195360546197124,C1,BLEEP
100,IFI16,0.22063838229687174,C1,BLEEP
101,USF1,-0.04726028338252952,C1,BLEEP
102,OLFML2B,0.12723037057188913,C1,BLEEP
103,MPC2,0.3214316081590276,C1,BLEEP
104,ATP1B1,0.471077127313137,C1,BLEEP
105,RABGAP1L,0.33967132349905177,C1,BLEEP
106,CACYBP,0.36450907918098313,C1,BLEEP
107,XPR1,0.3759715881124634,C1,BLEEP
108,LAMC1,0.30623459297347094,C1,BLEEP
109,C1orf21,0.2169597023673639,C1,BLEEP
110,TPR,0.4923894660162427,C1,BLEEP
111,PTPRC,0.34139625330220424,C1,BLEEP
112,UBE2T,0.4531852425455097,C1,BLEEP
113,NUCKS1,0.5364304077326083,C1,BLEEP
114,ATF3,0.0520082217444693,C1,BLEEP
115,CENPF,0.23029116426915233,C1,BLEEP
116,KCTD3,0.3619424509540166,C1,BLEEP
117,LYPLAL1,0.17644413170842632,C1,BLEEP
118,IARS2,0.40837382950250106,C1,BLEEP
119,CNIH4,0.37996782198494644,C1,BLEEP
120,NUP133,0.4454289077628777,C1,BLEEP
121,ARID4B,0.16820858067044006,C1,BLEEP
122,CHML,0.3827469443795431,C1,BLEEP
123,SCCPDH,0.09148715288003825,C1,BLEEP
124,ATP5C1,0.37785711857255744,C1,BLEEP
125,GATA3,0.3832417141168072,C1,BLEEP
126,FAM107B,0.4121017383282662,C1,BLEEP
127,HSPA14,0.2423955208759961,C1,BLEEP
128,NEBL,0.23206738593188772,C1,BLEEP
129,BAMBI,0.23769084021675535,C1,BLEEP
130,ARHGAP12,0.45165746023245074,C1,BLEEP
131,DKK1,0.5565177185112934,C1,BLEEP
132,ZWINT,0.3352209625964127,C1,BLEEP
133,ANK3,0.3318209165440091,C1,BLEEP
134,CDK1,0.34797462938497964,C1,BLEEP
135,HERC4,0.36970321567146536,C1,BLEEP
136,SRGN,0.18409602550296786,C1,BLEEP
137,H2AFY2,0.41975692046388513,C1,BLEEP
138,ADK,0.049646791007184395,C1,BLEEP
139,DLG5,0.367674697526165,C1,BLEEP
140,PLAC9,0.040432181814064924,C1,BLEEP
141,GHITM,0.4292379709313967,C1,BLEEP
142,SNCG,-0.0947227287665634,C1,BLEEP
143,ADIRF,0.11295846635311331,C1,BLEEP
144,IFIT3,0.3008630171627857,C1,BLEEP
145,FRA10AC1,0.16133810300985896,C1,BLEEP
146,EXOSC1,0.39252259741682305,C1,BLEEP
147,SCD,0.5700977585163324,C1,BLEEP
148,ARL3,0.31592619181264275,C1,BLEEP
149,ADD3,0.2551177821702355,C1,BLEEP
150,DUSP5,0.3743022949194941,C1,BLEEP
151,FAM204A,0.12682828702987806,C1,BLEEP
152,RGS10,0.26962178712779505,C1,BLEEP
153,NSMCE4A,0.34947833482193646,C1,BLEEP
154,OAT,0.3807654415480167,C1,BLEEP
155,GLRX3,0.41495963884942016,C1,BLEEP
156,IFITM2,0.39885516251626163,C1,BLEEP
157,TRIM22,0.16475228177510848,C1,BLEEP
158,DKK3,0.060174623346218946,C1,BLEEP
159,SAA1,0.05715296013933887,C1,BLEEP
160,TSG101,0.20924409828592191,C1,BLEEP
161,SVIP,0.267922913299271,C1,BLEEP
162,CAPRIN1,0.4539874924422602,C1,BLEEP
163,API5,0.30538342652961165,C1,BLEEP
164,MTCH2,0.39489293458828967,C1,BLEEP
165,UBE2L6,0.07723502429761185,C1,BLEEP
166,MPEG1,0.30666393915638956,C1,BLEEP
167,MS4A7,0.13912048348176506,C1,BLEEP
168,TMEM258,0.36787998330664096,C1,BLEEP
169,FEN1,0.4056365405803655,C1,BLEEP
170,PLA2G16,-0.030014034643615118,C1,BLEEP
171,CST6,0.12195003202852508,C1,BLEEP
172,ALDH3B2,0.5149570569967347,C1,BLEEP
173,TESMIN,0.327963905711052,C1,BLEEP
174,MRPL21,0.2653320716256259,C1,BLEEP
175,CCND1,0.4043351467204229,C1,BLEEP
176,ORAOV1,0.5559587405865295,C1,BLEEP
177,ANO1,0.23811765646915722,C1,BLEEP
178,FADD,0.33532350596279725,C1,BLEEP
179,CTTN,0.49823376664314345,C1,BLEEP
180,PRSS23,0.13555754950875837,C1,BLEEP
181,BIRC3,0.4061367728116572,C1,BLEEP
182,MMP1,0.2664680645791533,C1,BLEEP
183,CASP4,0.10815542458540754,C1,BLEEP
184,CD3D,0.45228178152717696,C1,BLEEP
