,Gene,Pearson correlation,Slide,Method
0,ISG15,0.28651773258487045,D6,BLEEP
1,PLA2G2D,0.164677936172363,D6,BLEEP
2,CAMK2N1,0.059435302083099294,D6,BLEEP
3,USP48,0.1527134804917105,D6,BLEEP
4,TCEA3,0.13880203341648925,D6,BLEEP
5,PNRC2,0.06183020929742582,D6,BLEEP
6,LDLRAP1,0.1113721443005719,D6,BLEEP
7,IFI6,0.2560600449857705,D6,BLEEP
8,ZBTB8OS,0.14581165568522353,D6,BLEEP
9,RBBP4,0.05967351216537467,D6,BLEEP
10,PSMB2,0.1430569946246134,D6,BLEEP
11,GNL2,0.2497132499721902,D6,BLEEP
12,SF3A3,0.07563274893387718,D6,BLEEP
13,UTP11,-0.00168896990695736,D6,BLEEP
14,AKIRIN1,0.04399930227626586,D6,BLEEP
15,MFSD2A,0.24224645441807258,D6,BLEEP
16,CAP1,0.22308965852592108,D6,BLEEP
17,CTPS1,0.19052251483581836,D6,BLEEP
18,PPCS,0.2803803602467137,D6,BLEEP
19,PPIH,0.03285407840786384,D6,BLEEP
20,YBX1,0.18837174512202937,D6,BLEEP
21,EBNA1BP2,0.2451775386803993,D6,BLEEP
22,CDC20,0.24215890097252796,D6,BLEEP
23,PTPRF,0.38816478162385126,D6,BLEEP
24,KDM4A,0.018622108448333775,D6,BLEEP
25,EIF2B3,0.09972938908067336,D6,BLEEP
26,NASP,0.14560546362761118,D6,BLEEP
27,GPBP1L1,0.11321134253615939,D6,BLEEP
28,TSPAN1,0.06281628196961847,D6,BLEEP
29,RAD54L,0.14789793298396556,D6,BLEEP
30,LRRC41,0.0928901837510861,D6,BLEEP
31,UQCRH,0.32671611969035036,D6,BLEEP
32,CMPK1,0.12243112904786622,D6,BLEEP
33,RNF11,0.1597335524439676,D6,BLEEP
34,TTC39A,0.23003227656991712,D6,BLEEP
35,TXNDC12,0.0350864956523682,D6,BLEEP
36,PRPF38A,0.09175775074851099,D6,BLEEP
37,SCP2,0.10349795641797667,D6,BLEEP
38,C1orf123,0.010559540673501289,D6,BLEEP
39,MAGOH,0.05225095102063061,D6,BLEEP
40,NDC1,0.08076349397632243,D6,BLEEP
41,HSPB11,0.06008087202981175,D6,BLEEP
