,Gene,Pearson correlation,Slide,Method
0,ISG15,0.03499480378610336,E3,BLEEP
1,PLA2G2D,0.020190250698429568,E3,BLEEP
2,CAMK2N1,0.06887004686350304,E3,BLEEP
3,USP48,0.05560443069552522,E3,BLEEP
4,TCEA3,0.08593177432788639,E3,BLEEP
5,PNRC2,0.08716813859996045,E3,BLEEP
6,LDLRAP1,0.11464147956853679,E3,BLEEP
7,IFI6,0.317003410822095,E3,BLEEP
8,ZBTB8OS,0.04998740015396556,E3,BLEEP
9,RBBP4,0.08453958936781823,E3,BLEEP
10,PSMB2,0.07088192909019277,E3,BLEEP
11,GNL2,0.1323706312325323,E3,BLEEP
12,SF3A3,0.11301638686941319,E3,BLEEP
13,UTP11,0.03611915771043457,E3,BLEEP
14,AKIRIN1,-0.040468346250606885,E3,BLEEP
15,MFSD2A,0.02130317801939686,E3,BLEEP
16,CAP1,0.061627706027229855,E3,BLEEP
17,CTPS1,0.08516965685637326,E3,BLEEP
18,PPCS,0.06412152971350693,E3,BLEEP
19,PPIH,0.01933507770070788,E3,BLEEP
20,YBX1,0.09536803716910258,E3,BLEEP
21,EBNA1BP2,0.18118262404007915,E3,BLEEP
22,CDC20,0.1193859122138593,E3,BLEEP
23,PTPRF,0.19835934712317504,E3,BLEEP
24,KDM4A,0.011002545496049267,E3,BLEEP
25,EIF2B3,-0.03145797762290574,E3,BLEEP
26,NASP,0.11552661419751116,E3,BLEEP
27,GPBP1L1,0.0701814461393888,E3,BLEEP
28,TSPAN1,-0.036378667841572926,E3,BLEEP
29,RAD54L,0.10886696071502162,E3,BLEEP
30,LRRC41,0.038285143723034536,E3,BLEEP
31,UQCRH,0.058965582855113066,E3,BLEEP
32,CMPK1,0.17416270209761173,E3,BLEEP
33,RNF11,0.10867644832994865,E3,BLEEP
34,TTC39A,0.03378563177063352,E3,BLEEP
35,TXNDC12,0.00800529744821123,E3,BLEEP
36,PRPF38A,0.05872785619915614,E3,BLEEP
37,SCP2,0.18509780737051257,E3,BLEEP
38,C1orf123,0.009643420899114666,E3,BLEEP
39,MAGOH,0.10826396971304134,E3,BLEEP
40,NDC1,0.10893238853900959,E3,BLEEP
41,HSPB11,0.0655745553037354,E3,BLEEP
42,TMEM59,0.10180994897713527,E3,BLEEP
43,SSBP3,0.02347627651530995,E3,BLEEP
44,TACSTD2,0.47563868928051606,E3,BLEEP
45,MYSM1,0.052260389124487466,E3,BLEEP
46,TM2D1,0.07465577644845409,E3,BLEEP
47,PATJ,0.018185138126861292,E3,BLEEP
48,USP1,0.04833604512945165,E3,BLEEP
49,JAK1,0.025232866315034568,E3,BLEEP
50,LEPROT,0.03508722294406237,E3,BLEEP
51,GNG12,-0.030847823117343225,E3,BLEEP
52,SRSF11,0.09208232669672381,E3,BLEEP
53,USP33,0.08794725556849076,E3,BLEEP
54,IFI44L,0.03329646371884249,E3,BLEEP
55,IFI44,0.08749437216077954,E3,BLEEP
56,GNG5,0.02099750142872686,E3,BLEEP
57,SEP15,0.06157129875365589,E3,BLEEP
58,LMO4,-0.04718010196009137,E3,BLEEP
59,GTF2B,-0.010882703359659388,E3,BLEEP
60,GBP3,0.09149120322677799,E3,BLEEP
61,GBP1,0.046142785778564864,E3,BLEEP
62,GBP2,-0.04618156433640386,E3,BLEEP
63,GBP5,0.07181591153303693,E3,BLEEP
64,LRRC8B,0.03635921664219825,E3,BLEEP
65,LRRC8D,-0.06908498478095104,E3,BLEEP
66,CDC7,-0.012138462645595073,E3,BLEEP
67,GLMN,0.038144401882929675,E3,BLEEP
68,MTF2,0.05229055790435454,E3,BLEEP
69,TMED5,0.16516157421155322,E3,BLEEP
70,CCDC18,0.11181664823858453,E3,BLEEP
71,DR1,0.07909800288121065,E3,BLEEP
72,FNBP1L,0.03790784410237928,E3,BLEEP
73,BCAR3,-0.032931305877871075,E3,BLEEP
74,DNTTIP2,0.019453537919739694,E3,BLEEP
75,GCLM,0.048522196094220794,E3,BLEEP
76,ARHGAP29,0.01306534862788008,E3,BLEEP
77,ABCD3,0.08260923496008307,E3,BLEEP
78,CNN3,0.12421067661158303,E3,BLEEP
79,ALG14,0.02043629029130098,E3,BLEEP
80,TMEM56,0.07096855234670282,E3,BLEEP
81,SNX7,0.04796864598060617,E3,BLEEP
82,VCAM1,-0.04478061708057947,E3,BLEEP
83,PSMA5,0.017068903932647345,E3,BLEEP
84,GSTM3,-0.006656560086908187,E3,BLEEP
85,CD53,0.08380362795965073,E3,BLEEP
86,ATP5F1,0.037275016602885444,E3,BLEEP
87,WDR3,-0.021113157338000964,E3,BLEEP
88,PHGDH,-0.003588305318404682,E3,BLEEP
89,CTSS,0.015033965833504435,E3,BLEEP
90,CTSK,-0.013619925119863837,E3,BLEEP
91,SCNM1,-0.05347712640779324,E3,BLEEP
92,S100A8,0.16150421859379474,E3,BLEEP
93,S100A14,0.10185380836897069,E3,BLEEP
94,S100A1,-0.008572190736499383,E3,BLEEP
95,CREB3L4,0.01504612649588771,E3,BLEEP
96,CKS1B,-0.0023056699351585307,E3,BLEEP
97,EFNA3,-0.017442773029665844,E3,BLEEP
98,RIT1,0.0252620144439513,E3,BLEEP
99,CRABP2,0.016024293952033492,E3,BLEEP
100,IFI16,0.02022845699214425,E3,BLEEP
101,USF1,-0.00536724460757834,E3,BLEEP
102,OLFML2B,0.03411560139761313,E3,BLEEP
103,MPC2,0.05774258958512467,E3,BLEEP
104,ATP1B1,0.22661161896788248,E3,BLEEP
105,RABGAP1L,0.028228585109281053,E3,BLEEP
106,CACYBP,-0.0007470998423922022,E3,BLEEP
107,XPR1,0.04425794778137425,E3,BLEEP
108,LAMC1,0.06752698452138013,E3,BLEEP
109,C1orf21,0.16217690502130713,E3,BLEEP
110,TPR,0.0660111251961991,E3,BLEEP
111,PTPRC,0.010150004946275772,E3,BLEEP
112,UBE2T,0.0603116339127178,E3,BLEEP
113,NUCKS1,0.08198532144497767,E3,BLEEP
114,ATF3,0.049748276146508126,E3,BLEEP
115,CENPF,0.013540900783385401,E3,BLEEP
116,KCTD3,0.2692309896922884,E3,BLEEP
117,LYPLAL1,0.023148245766326243,E3,BLEEP
118,IARS2,0.16471927795780955,E3,BLEEP
119,CNIH4,0.00905166915921118,E3,BLEEP
120,NUP133,0.0920386849422855,E3,BLEEP
121,ARID4B,0.12450739902143196,E3,BLEEP
122,CHML,0.18147805132400344,E3,BLEEP
123,SCCPDH,0.09656764237781097,E3,BLEEP
124,ATP5C1,0.20632987911036652,E3,BLEEP
125,GATA3,0.06470219604549866,E3,BLEEP
126,FAM107B,0.16064924852976833,E3,BLEEP
127,HSPA14,0.10451858768712467,E3,BLEEP
128,NEBL,0.051040916521991456,E3,BLEEP
129,BAMBI,0.12259075317802551,E3,BLEEP
130,ARHGAP12,0.20823203060728127,E3,BLEEP
131,DKK1,0.13178208068318525,E3,BLEEP
132,ZWINT,-0.008438278052409038,E3,BLEEP
133,ANK3,0.1637217439690615,E3,BLEEP
134,CDK1,0.16563119198911389,E3,BLEEP
135,HERC4,0.14498748069166195,E3,BLEEP
136,SRGN,-0.028711473664053525,E3,BLEEP
137,H2AFY2,0.005090630103463933,E3,BLEEP
138,ADK,-0.054197894628633024,E3,BLEEP
139,DLG5,0.1265066302684743,E3,BLEEP
140,PLAC9,0.10431293707703722,E3,BLEEP
141,GHITM,0.06714516822216911,E3,BLEEP
142,SNCG,0.04224826074156866,E3,BLEEP
143,ADIRF,0.051281714976081194,E3,BLEEP
144,IFIT3,0.018474902540568817,E3,BLEEP
145,FRA10AC1,0.02162732678595231,E3,BLEEP
146,EXOSC1,-0.02611025051240929,E3,BLEEP
147,SCD,0.24281585605526132,E3,BLEEP
148,ARL3,-0.019461634387148298,E3,BLEEP
149,ADD3,0.001172904031021262,E3,BLEEP
150,DUSP5,0.029780068898920715,E3,BLEEP
151,FAM204A,-0.0366129263538772,E3,BLEEP
152,RGS10,0.017016493666648275,E3,BLEEP
153,NSMCE4A,0.04443395330011825,E3,BLEEP
154,OAT,0.03670435269266688,E3,BLEEP
155,GLRX3,-0.03573180879219723,E3,BLEEP
156,IFITM2,0.03363243314752278,E3,BLEEP
157,TRIM22,-0.024303407923686147,E3,BLEEP
158,DKK3,-0.0009599126524346992,E3,BLEEP
159,SAA1,-0.0064992683071625834,E3,BLEEP
160,TSG101,-0.042213067986306675,E3,BLEEP
161,SVIP,-0.002605300268420329,E3,BLEEP
162,CAPRIN1,0.017613391605584713,E3,BLEEP
163,API5,-0.0037878277933570638,E3,BLEEP
164,MTCH2,0.1475119177437968,E3,BLEEP
165,UBE2L6,0.19443877136558807,E3,BLEEP
166,MPEG1,0.07277684914702495,E3,BLEEP
167,MS4A7,0.022864324374870845,E3,BLEEP
168,TMEM258,0.04380452175591033,E3,BLEEP
169,FEN1,0.0969220130688451,E3,BLEEP
170,PLA2G16,0.07395644901492361,E3,BLEEP
171,CST6,0.0661473304671839,E3,BLEEP
172,ALDH3B2,0.11673128139383676,E3,BLEEP
173,TESMIN,0.006313954770566447,E3,BLEEP
174,MRPL21,0.10907872845999093,E3,BLEEP
175,CCND1,0.18884743012350558,E3,BLEEP
176,ORAOV1,-0.005500669990930589,E3,BLEEP
177,ANO1,-0.012790726159142517,E3,BLEEP
178,FADD,0.06463169417318192,E3,BLEEP
179,CTTN,0.11179974647606901,E3,BLEEP
180,PRSS23,0.002714362262916019,E3,BLEEP
181,BIRC3,0.00010706099843108627,E3,BLEEP
182,MMP1,0.033517807480728544,E3,BLEEP
183,CASP4,0.02739914226219139,E3,BLEEP
184,CD3D,0.12078772910462961,E3,BLEEP
185,THYN1,0.056969720929503816,E3,BLEEP
186,SCNN1A,0.1464188284076902,E3,BLEEP
187,RIMKLB,0.0234974447156406,E3,BLEEP
188,MAGOHB,0.01416161336849526,E3,BLEEP
189,GPRC5A,0.06104125789800586,E3,BLEEP
190,MGP,0.00858600373361434,E3,BLEEP
191,C12orf60,-0.031267515557959834,E3,BLEEP
192,LDHB,0.04673000440058408,E3,BLEEP
193,ITPR2,0.007115973556031049,E3,BLEEP
194,ZCRB1,0.021739548960468195,E3,BLEEP
195,FAIM2,0.10621049942657712,E3,BLEEP
196,METTL7A,0.038921329099993095,E3,BLEEP
197,NR4A1,0.06163481595024694,E3,BLEEP
198,KRT81,0.020383150897051013,E3,BLEEP
199,KRT86,0.01776318269096636,E3,BLEEP
200,PPP1R1A,0.10681063055861921,E3,BLEEP
201,MUCL1,0.6533942980734955,E3,BLEEP
202,NUP107,-0.05352222867824851,E3,BLEEP
203,LYZ,0.08039991294056938,E3,BLEEP
204,DUSP6,0.25132082727745336,E3,BLEEP
205,ATP2B1,0.047622476155764405,E3,BLEEP
206,LUM,0.042303214882168025,E3,BLEEP
207,DCN,0.2132940840833154,E3,BLEEP
208,EEA1,-0.029604775289426958,E3,BLEEP
209,NTN4,0.07955229574242803,E3,BLEEP
210,TMPO,0.09327089460130142,E3,BLEEP
211,ARL1,0.03179770829244362,E3,BLEEP
212,CHPT1,-0.011918536149792214,E3,BLEEP
213,SYCP3,-0.035071082443058954,E3,BLEEP
214,CCDC53,0.04221821746706965,E3,BLEEP
215,PWP1,0.004038813031613779,E3,BLEEP
216,TCTN1,0.005959378595011461,E3,BLEEP
217,MAPKAPK5,0.01863883114192902,E3,BLEEP
218,OAS1,0.11854669360411099,E3,BLEEP
219,OAS2,0.13571533659966306,E3,BLEEP
220,TBX3,0.005550492844854092,E3,BLEEP
221,OASL,0.0352870962963578,E3,BLEEP
222,ZNF664,0.11560781634855442,E3,BLEEP
223,ZNF84,0.06126156514347249,E3,BLEEP
224,PSPC1,-0.019931046887487466,E3,BLEEP
225,HMGB1,-0.0051417666163498,E3,BLEEP
226,DCLK1,-0.009941806620439829,E3,BLEEP
227,MRPS31,0.09721722299270535,E3,BLEEP
228,DNAJC15,0.12776240577959022,E3,BLEEP
229,RNASEH2B,0.015778808241778696,E3,BLEEP
230,COMMD6,0.03225497174061062,E3,BLEEP
