,Gene,Pearson correlation,Slide,Method
0,ISG15,0.04828360276780662,F3,BLEEP
1,PLA2G2D,0.1704788957723713,F3,BLEEP
2,CAMK2N1,0.02474006507536459,F3,BLEEP
3,USP48,0.04912577567803945,F3,BLEEP
4,TCEA3,-0.028701765470644874,F3,BLEEP
5,PNRC2,0.0054833180548900665,F3,BLEEP
6,LDLRAP1,0.057085160827098615,F3,BLEEP
7,IFI6,0.026467604357333207,F3,BLEEP
8,ZBTB8OS,-0.07689314893945066,F3,BLEEP
9,RBBP4,-0.046124282955646266,F3,BLEEP
10,PSMB2,-0.06409106842991055,F3,BLEEP
11,GNL2,0.055097137787949564,F3,BLEEP
12,SF3A3,-0.059465538660529706,F3,BLEEP
13,UTP11,-0.024154300687941287,F3,BLEEP
14,AKIRIN1,-0.052198136243294786,F3,BLEEP
15,MFSD2A,-0.02438008952268767,F3,BLEEP
16,CAP1,-0.013284401035948815,F3,BLEEP
17,CTPS1,-0.03452159301440586,F3,BLEEP
18,PPCS,-0.011866093899014331,F3,BLEEP
19,PPIH,0.08381701894452913,F3,BLEEP
20,YBX1,-0.03656103739874904,F3,BLEEP
21,EBNA1BP2,-0.047102538185049614,F3,BLEEP
22,CDC20,-0.04918889220199379,F3,BLEEP
23,PTPRF,-0.04919327711360202,F3,BLEEP
24,KDM4A,-0.04963232223691811,F3,BLEEP
25,EIF2B3,0.004836857534840207,F3,BLEEP
26,NASP,0.000717214389516851,F3,BLEEP
27,GPBP1L1,0.04874391229071157,F3,BLEEP
28,TSPAN1,-0.027621164854109842,F3,BLEEP
29,RAD54L,0.05200903344346001,F3,BLEEP
30,LRRC41,0.00644771294968389,F3,BLEEP
31,UQCRH,-0.0618834767453688,F3,BLEEP
32,CMPK1,-0.06271335449559758,F3,BLEEP
33,RNF11,0.0471127641766618,F3,BLEEP
34,TTC39A,-0.012155069347383156,F3,BLEEP
35,TXNDC12,-0.0012081794563587028,F3,BLEEP
36,PRPF38A,-0.05631626838849891,F3,BLEEP
37,SCP2,0.08817838394711605,F3,BLEEP
38,C1orf123,-0.013644815802403207,F3,BLEEP
39,MAGOH,0.03465364323836696,F3,BLEEP
40,NDC1,-0.040635042661901245,F3,BLEEP
41,HSPB11,-0.034592331244185426,F3,BLEEP
42,TMEM59,-0.004506749259703498,F3,BLEEP
43,SSBP3,-0.003735148738225963,F3,BLEEP
44,TACSTD2,0.15548778762263735,F3,BLEEP
45,MYSM1,0.05590141593610496,F3,BLEEP
46,TM2D1,-0.03844378249039311,F3,BLEEP
47,PATJ,-0.06502097903310523,F3,BLEEP
48,USP1,-0.027055100928226408,F3,BLEEP
49,JAK1,0.03507093600364856,F3,BLEEP
50,LEPROT,0.004888869761155544,F3,BLEEP
51,GNG12,-0.05240179883707647,F3,BLEEP
52,SRSF11,-0.021794340359901514,F3,BLEEP
53,USP33,0.005367383791564045,F3,BLEEP
54,IFI44L,0.003122767134757092,F3,BLEEP
55,IFI44,-0.014829383789323613,F3,BLEEP
56,GNG5,-0.08445036408919379,F3,BLEEP
57,SEP15,-0.035620329822142846,F3,BLEEP
58,LMO4,-0.037915753064401994,F3,BLEEP
59,GTF2B,0.018348699260272192,F3,BLEEP
60,GBP3,-0.08310244333447128,F3,BLEEP
61,GBP1,0.01936137089972182,F3,BLEEP
62,GBP2,0.003558112904234678,F3,BLEEP
63,GBP5,0.09590567385145321,F3,BLEEP
64,LRRC8B,-0.022140634716959446,F3,BLEEP
65,LRRC8D,-0.03767182215806969,F3,BLEEP
66,CDC7,0.029325979957989034,F3,BLEEP
67,GLMN,-0.013237429162332528,F3,BLEEP
68,MTF2,-0.005738969621219186,F3,BLEEP
69,TMED5,-0.008463279069377992,F3,BLEEP
70,CCDC18,0.005740695005310317,F3,BLEEP
71,DR1,0.00046562709662173186,F3,BLEEP
72,FNBP1L,-0.025890904709511792,F3,BLEEP
73,BCAR3,0.0058806544573387545,F3,BLEEP
74,DNTTIP2,-0.010454256688898787,F3,BLEEP
75,GCLM,0.004093416288408054,F3,BLEEP
76,ARHGAP29,0.017627043691145622,F3,BLEEP
77,ABCD3,0.021441350411794385,F3,BLEEP
78,CNN3,0.04760437895872871,F3,BLEEP
79,ALG14,-0.019638031744946712,F3,BLEEP
80,TMEM56,0.14346364723775165,F3,BLEEP
