,Gene,Pearson correlation,Slide,Method
0,ISG15,0.4550533236565115,G1,BLEEP
1,PLA2G2D,0.07957735717771577,G1,BLEEP
2,CAMK2N1,0.25831181188951186,G1,BLEEP
3,USP48,0.14634354808990582,G1,BLEEP
4,TCEA3,0.2547080757526447,G1,BLEEP
5,PNRC2,0.17807979999798063,G1,BLEEP
6,LDLRAP1,0.3377374842868404,G1,BLEEP
7,IFI6,0.6489957941914031,G1,BLEEP
8,ZBTB8OS,0.13846303248187733,G1,BLEEP
9,RBBP4,0.3639610638473891,G1,BLEEP
10,PSMB2,0.4322537076202592,G1,BLEEP
11,GNL2,0.39822817759435675,G1,BLEEP
12,SF3A3,0.24119844137543586,G1,BLEEP
13,UTP11,0.1493139414798761,G1,BLEEP
14,AKIRIN1,0.24184470535531785,G1,BLEEP
15,MFSD2A,0.34937439209902077,G1,BLEEP
16,CAP1,0.38014661493238655,G1,BLEEP
17,CTPS1,0.12916265896373394,G1,BLEEP
18,PPCS,0.3037678255417636,G1,BLEEP
19,PPIH,0.11869572541771527,G1,BLEEP
20,YBX1,0.16404379307243674,G1,BLEEP
21,EBNA1BP2,0.30943591396100767,G1,BLEEP
22,CDC20,0.19683680422064181,G1,BLEEP
23,PTPRF,0.6829224527627601,G1,BLEEP
24,KDM4A,0.26201031148820864,G1,BLEEP
25,EIF2B3,0.09339310914853831,G1,BLEEP
26,NASP,0.3556582508662741,G1,BLEEP
27,GPBP1L1,0.27908835925459397,G1,BLEEP
28,TSPAN1,0.13451172420223406,G1,BLEEP
29,RAD54L,0.04904992229536508,G1,BLEEP
30,LRRC41,0.29961115031712293,G1,BLEEP
31,UQCRH,0.4171472603378477,G1,BLEEP
32,CMPK1,0.36915808025344815,G1,BLEEP
33,RNF11,0.3554206146433114,G1,BLEEP
34,TTC39A,0.33021676655128346,G1,BLEEP
35,TXNDC12,0.31824383007267515,G1,BLEEP
36,PRPF38A,0.1989314187892383,G1,BLEEP
37,SCP2,0.4224145539094181,G1,BLEEP
38,C1orf123,0.12742680934545075,G1,BLEEP
39,MAGOH,0.4125013452845969,G1,BLEEP
40,NDC1,0.27531000709034215,G1,BLEEP
41,HSPB11,0.3052775667044991,G1,BLEEP
42,TMEM59,0.506427137587857,G1,BLEEP
43,SSBP3,0.3254674558292097,G1,BLEEP
44,TACSTD2,0.7818711070695515,G1,BLEEP
45,MYSM1,0.22769958591930545,G1,BLEEP
46,TM2D1,0.41393011081907877,G1,BLEEP
47,PATJ,0.3099779378129088,G1,BLEEP
48,USP1,0.050122683038593296,G1,BLEEP
