,Gene,Pearson correlation,Slide,Method
0,ISG15,0.0060899490585647,H2,BLEEP
1,PLA2G2D,0.15256789622710443,H2,BLEEP
2,CAMK2N1,0.06243600738664869,H2,BLEEP
3,USP48,0.15800040480650684,H2,BLEEP
4,TCEA3,0.06454894056899863,H2,BLEEP
5,PNRC2,0.047087677731705406,H2,BLEEP
6,LDLRAP1,0.2421836736096432,H2,BLEEP
7,IFI6,0.13114691512112583,H2,BLEEP
8,ZBTB8OS,0.04634837307471654,H2,BLEEP
9,RBBP4,0.09138885473448437,H2,BLEEP
10,PSMB2,0.13904557772665543,H2,BLEEP
11,GNL2,0.24545133870042915,H2,BLEEP
12,SF3A3,0.18384908197860853,H2,BLEEP
13,UTP11,0.04229850092787097,H2,BLEEP
14,AKIRIN1,0.15198312428604874,H2,BLEEP
15,MFSD2A,0.2205041615410332,H2,BLEEP
16,CAP1,0.18526764310095908,H2,BLEEP
17,CTPS1,0.11924504250471538,H2,BLEEP
18,PPCS,0.11107988234987885,H2,BLEEP
19,PPIH,0.1734581615484572,H2,BLEEP
20,YBX1,0.07233693671306524,H2,BLEEP
21,EBNA1BP2,0.30689982319482023,H2,BLEEP
22,CDC20,0.16643330116532523,H2,BLEEP
23,PTPRF,0.44424957369513657,H2,BLEEP
24,KDM4A,0.1928816436959006,H2,BLEEP
25,EIF2B3,0.048983779799569784,H2,BLEEP
26,NASP,0.437737513275769,H2,BLEEP
27,GPBP1L1,0.19602117402158098,H2,BLEEP
28,TSPAN1,0.13241359909033787,H2,BLEEP
29,RAD54L,0.08690489208397405,H2,BLEEP
30,LRRC41,0.20758985893979404,H2,BLEEP
31,UQCRH,0.1108942324871644,H2,BLEEP
32,CMPK1,0.14052221268637002,H2,BLEEP
33,RNF11,0.07460092091090591,H2,BLEEP
34,TTC39A,0.004220045222527353,H2,BLEEP
35,TXNDC12,0.06934809147141695,H2,BLEEP
36,PRPF38A,0.2390298084209149,H2,BLEEP
37,SCP2,0.05389656615599633,H2,BLEEP
38,C1orf123,0.08366977133204459,H2,BLEEP
39,MAGOH,0.32040312343673644,H2,BLEEP
40,NDC1,0.12488022863821663,H2,BLEEP
41,HSPB11,0.026478395932392217,H2,BLEEP
42,TMEM59,0.06719143706260888,H2,BLEEP
43,SSBP3,0.17800280657330741,H2,BLEEP
44,TACSTD2,0.36171081570545227,H2,BLEEP
45,MYSM1,0.06096619203693661,H2,BLEEP
46,TM2D1,0.04693921045562241,H2,BLEEP
47,PATJ,0.12113770931640065,H2,BLEEP
48,USP1,0.12606949788452176,H2,BLEEP
49,JAK1,0.0617343794782889,H2,BLEEP
50,LEPROT,0.0027373299135909188,H2,BLEEP
51,GNG12,0.008674067175757486,H2,BLEEP
52,SRSF11,0.0815110431152374,H2,BLEEP
53,USP33,0.09383701387708852,H2,BLEEP
54,IFI44L,0.11972261691292573,H2,BLEEP
55,IFI44,0.015847632499844406,H2,BLEEP
56,GNG5,0.022731614707276547,H2,BLEEP
57,SEP15,0.05527462995156646,H2,BLEEP
58,LMO4,0.062332937419066536,H2,BLEEP
59,GTF2B,0.061144791213623734,H2,BLEEP
60,GBP3,0.09595719723412037,H2,BLEEP
61,GBP1,0.06610268511855172,H2,BLEEP
62,GBP2,0.09940995395856513,H2,BLEEP
63,GBP5,0.1824816395725748,H2,BLEEP
64,LRRC8B,0.059151942863151695,H2,BLEEP
65,LRRC8D,0.03841582283240543,H2,BLEEP
66,CDC7,0.016054288407310758,H2,BLEEP
67,GLMN,-0.008950361613451764,H2,BLEEP
68,MTF2,-0.005451907272626598,H2,BLEEP
69,TMED5,0.09859147743849238,H2,BLEEP
70,CCDC18,0.01962531885779059,H2,BLEEP
71,DR1,0.06638478294340096,H2,BLEEP
72,FNBP1L,0.10204182522647079,H2,BLEEP
73,BCAR3,0.11114557664168521,H2,BLEEP
74,DNTTIP2,0.026138944311389536,H2,BLEEP
75,GCLM,0.06573781157397823,H2,BLEEP
76,ARHGAP29,0.41518760556849127,H2,BLEEP
77,ABCD3,0.11269702388296068,H2,BLEEP
78,CNN3,0.0537924910274065,H2,BLEEP
79,ALG14,0.08131171883768504,H2,BLEEP
80,TMEM56,0.2292178066911484,H2,BLEEP
81,SNX7,0.11656339171513874,H2,BLEEP
82,VCAM1,0.15376011873396056,H2,BLEEP
83,PSMA5,0.07829680346147053,H2,BLEEP
84,GSTM3,-0.01088707021396164,H2,BLEEP
85,CD53,0.32116118307876573,H2,BLEEP
86,ATP5F1,0.10836940308937103,H2,BLEEP
87,WDR3,0.03966573629245881,H2,BLEEP
88,PHGDH,0.11513947832259663,H2,BLEEP
89,CTSS,0.24424899747561174,H2,BLEEP
90,CTSK,0.0999470858093976,H2,BLEEP
91,SCNM1,0.07493716270574562,H2,BLEEP
92,S100A8,0.35232626632443204,H2,BLEEP
93,S100A14,0.10634050823568995,H2,BLEEP
94,S100A1,0.1703861549403062,H2,BLEEP
95,CREB3L4,0.117717896346391,H2,BLEEP
96,CKS1B,0.15974720001454581,H2,BLEEP
