,Gene,Pearson correlation,Slide,Method
0,ISG15,0.1220473165011482,A5,Hist2ST
1,PLA2G2D,0.15566414685484387,A5,Hist2ST
2,CAMK2N1,0.17033257981678304,A5,Hist2ST
3,USP48,-0.03781226210780615,A5,Hist2ST
4,TCEA3,0.09620006266255895,A5,Hist2ST
5,PNRC2,0.05535113941187162,A5,Hist2ST
6,LDLRAP1,0.2794721860132756,A5,Hist2ST
7,IFI6,0.05438247873884081,A5,Hist2ST
8,ZBTB8OS,-0.0016668415357376995,A5,Hist2ST
9,RBBP4,-0.022232626676607928,A5,Hist2ST
10,PSMB2,0.0017688075909240587,A5,Hist2ST
11,GNL2,0.07722157490116556,A5,Hist2ST
12,SF3A3,0.2139195141184966,A5,Hist2ST
13,UTP11,0.05551712903221993,A5,Hist2ST
14,AKIRIN1,0.002356626106915609,A5,Hist2ST
15,MFSD2A,-0.006575879912766737,A5,Hist2ST
16,CAP1,0.13036939315359222,A5,Hist2ST
17,CTPS1,0.0695468750729382,A5,Hist2ST
18,PPCS,0.2741615807699145,A5,Hist2ST
19,PPIH,0.2333764075558858,A5,Hist2ST
20,YBX1,0.36597987866848525,A5,Hist2ST
21,EBNA1BP2,0.36669901076718475,A5,Hist2ST
22,CDC20,0.278708214201766,A5,Hist2ST
23,PTPRF,0.15726514056676497,A5,Hist2ST
24,KDM4A,0.24176231343649585,A5,Hist2ST
25,EIF2B3,0.04314995114323537,A5,Hist2ST
26,NASP,0.06555203849972384,A5,Hist2ST
27,GPBP1L1,0.03185405272169127,A5,Hist2ST
28,TSPAN1,0.20929320601817897,A5,Hist2ST
29,RAD54L,0.05839235380770861,A5,Hist2ST
30,LRRC41,0.022192241846998046,A5,Hist2ST
31,UQCRH,0.05904128667055424,A5,Hist2ST
32,CMPK1,0.05470097210123846,A5,Hist2ST
33,RNF11,0.1233009160055577,A5,Hist2ST
34,TTC39A,0.07969024213970381,A5,Hist2ST
35,TXNDC12,0.028340086809385122,A5,Hist2ST
36,PRPF38A,-0.04351413014807855,A5,Hist2ST
37,SCP2,0.12398464248271206,A5,Hist2ST
38,C1orf123,0.08572838862343989,A5,Hist2ST
39,MAGOH,0.01592914662610647,A5,Hist2ST
40,NDC1,0.090351933511634,A5,Hist2ST
41,HSPB11,0.05796693623567308,A5,Hist2ST
42,TMEM59,0.1536863127996276,A5,Hist2ST
43,SSBP3,0.10858693882660046,A5,Hist2ST
44,TACSTD2,0.19465038415272262,A5,Hist2ST
45,MYSM1,0.06880894175103736,A5,Hist2ST
46,TM2D1,0.04799977224865805,A5,Hist2ST
47,PATJ,0.08274986968347081,A5,Hist2ST
48,USP1,0.08620463977389833,A5,Hist2ST
49,JAK1,0.04313358708077254,A5,Hist2ST
50,LEPROT,0.024798047586069603,A5,Hist2ST
51,GNG12,0.05891766499348245,A5,Hist2ST
52,SRSF11,-0.016135818246966097,A5,Hist2ST
53,USP33,0.08735307022967878,A5,Hist2ST
54,IFI44L,0.04428195208223336,A5,Hist2ST
55,IFI44,0.039457743045846726,A5,Hist2ST
56,GNG5,0.04695007941094355,A5,Hist2ST
57,SEP15,0.10370711303878913,A5,Hist2ST
58,LMO4,-0.009465593442544247,A5,Hist2ST
59,GTF2B,0.24374451028371663,A5,Hist2ST
60,GBP3,0.17036410485079323,A5,Hist2ST
61,GBP1,0.01565024654873584,A5,Hist2ST
62,GBP2,0.06692592663916005,A5,Hist2ST
63,GBP5,0.09056658804711405,A5,Hist2ST
64,LRRC8B,0.3311958086541493,A5,Hist2ST
65,LRRC8D,0.15462965077764698,A5,Hist2ST
66,CDC7,0.2250699138036852,A5,Hist2ST
67,GLMN,0.1991516842058349,A5,Hist2ST
68,MTF2,0.3523753225684176,A5,Hist2ST
69,TMED5,0.3531124813038027,A5,Hist2ST
70,CCDC18,0.23079687577310726,A5,Hist2ST
71,DR1,0.4054062147759008,A5,Hist2ST
72,FNBP1L,0.3888918736616097,A5,Hist2ST
73,BCAR3,0.11920187323299827,A5,Hist2ST
74,DNTTIP2,0.5410062710583246,A5,Hist2ST
75,GCLM,0.3325685617250922,A5,Hist2ST
76,ARHGAP29,0.17081231404786693,A5,Hist2ST
77,ABCD3,0.4396520709422429,A5,Hist2ST
78,CNN3,0.2849029799270397,A5,Hist2ST
