,Gene,Pearson correlation,Slide,Method
0,ISG15,0.3458855547258023,B1,Hist2ST
1,PLA2G2D,0.33398117989928233,B1,Hist2ST
2,CAMK2N1,0.1179686414825492,B1,Hist2ST
3,USP48,0.2832364723682302,B1,Hist2ST
4,TCEA3,0.4434509138167886,B1,Hist2ST
5,PNRC2,0.38479795480190193,B1,Hist2ST
6,LDLRAP1,0.5060343397520956,B1,Hist2ST
7,IFI6,0.4838867074277704,B1,Hist2ST
8,ZBTB8OS,0.31690546842922596,B1,Hist2ST
9,RBBP4,0.4350705626528139,B1,Hist2ST
10,PSMB2,0.5519611641675587,B1,Hist2ST
11,GNL2,0.4419320956920283,B1,Hist2ST
12,SF3A3,0.4349531570158073,B1,Hist2ST
13,UTP11,0.1994367330898424,B1,Hist2ST
14,AKIRIN1,0.15373769281135796,B1,Hist2ST
15,MFSD2A,0.20073082381323115,B1,Hist2ST
16,CAP1,0.18480614603508988,B1,Hist2ST
17,CTPS1,0.23148688825098573,B1,Hist2ST
18,PPCS,0.49187551745260866,B1,Hist2ST
19,PPIH,0.38213070922184117,B1,Hist2ST
20,YBX1,0.4154414089893955,B1,Hist2ST
21,EBNA1BP2,0.5340432948457876,B1,Hist2ST
22,CDC20,0.38942774872313457,B1,Hist2ST
23,PTPRF,0.41369594240750585,B1,Hist2ST
24,KDM4A,0.3386964661108766,B1,Hist2ST
25,EIF2B3,0.28097467578110064,B1,Hist2ST
26,NASP,0.4504884284969859,B1,Hist2ST
27,GPBP1L1,0.39118558029961803,B1,Hist2ST
28,TSPAN1,0.3495164673852003,B1,Hist2ST
29,RAD54L,0.3508675382034195,B1,Hist2ST
30,LRRC41,0.4110958742015219,B1,Hist2ST
31,UQCRH,0.5840118045440561,B1,Hist2ST
32,CMPK1,0.4630296452867304,B1,Hist2ST
33,RNF11,0.4484135078700942,B1,Hist2ST
34,TTC39A,0.43194565333077495,B1,Hist2ST
35,TXNDC12,0.4452174256255056,B1,Hist2ST
36,PRPF38A,0.15583684014351626,B1,Hist2ST
37,SCP2,0.49396444869635087,B1,Hist2ST
38,C1orf123,0.3447331035100612,B1,Hist2ST
39,MAGOH,0.41077641650437224,B1,Hist2ST
40,NDC1,0.37209524832472907,B1,Hist2ST
41,HSPB11,0.314025184680385,B1,Hist2ST
42,TMEM59,0.5612852121115309,B1,Hist2ST
43,SSBP3,0.2772525171366804,B1,Hist2ST
44,TACSTD2,0.4573736857332865,B1,Hist2ST
45,MYSM1,0.19384764047711292,B1,Hist2ST
46,TM2D1,0.23738099342171887,B1,Hist2ST
47,PATJ,0.08951049216655863,B1,Hist2ST
48,USP1,0.1926039653233125,B1,Hist2ST
49,JAK1,0.19748074559821482,B1,Hist2ST
50,LEPROT,0.15504047465771162,B1,Hist2ST
51,GNG12,0.4691933252353454,B1,Hist2ST
52,SRSF11,0.31567812478052887,B1,Hist2ST
53,USP33,0.11594468960356116,B1,Hist2ST
54,IFI44L,0.10379462995302953,B1,Hist2ST
55,IFI44,0.39779674911742047,B1,Hist2ST
56,GNG5,0.4432946289436839,B1,Hist2ST
57,SEP15,0.41069824523841547,B1,Hist2ST
58,LMO4,0.16008308476041233,B1,Hist2ST
59,GTF2B,0.3396182932901917,B1,Hist2ST
60,GBP3,0.49372743199564395,B1,Hist2ST
61,GBP1,0.45721658675131643,B1,Hist2ST
62,GBP2,0.3520411371567397,B1,Hist2ST
63,GBP5,0.47143117403686313,B1,Hist2ST
64,LRRC8B,0.16894796703293177,B1,Hist2ST
65,LRRC8D,0.2470283627508432,B1,Hist2ST
66,CDC7,0.22660085138288036,B1,Hist2ST
67,GLMN,0.2961387742543762,B1,Hist2ST
68,MTF2,0.07126849402683592,B1,Hist2ST
69,TMED5,0.5005704190286725,B1,Hist2ST
70,CCDC18,0.1618324035914268,B1,Hist2ST
71,DR1,0.3723544395042423,B1,Hist2ST
72,FNBP1L,0.35088758149354987,B1,Hist2ST
73,BCAR3,0.38821067430722306,B1,Hist2ST
74,DNTTIP2,0.1562163589683846,B1,Hist2ST
75,GCLM,0.27073783488779474,B1,Hist2ST
76,ARHGAP29,0.015653958006085617,B1,Hist2ST
77,ABCD3,0.368481559481754,B1,Hist2ST
78,CNN3,0.4373687864844204,B1,Hist2ST
79,ALG14,0.23997473464544544,B1,Hist2ST
80,TMEM56,0.17217449019712194,B1,Hist2ST
81,SNX7,0.2104761364338071,B1,Hist2ST
82,VCAM1,0.31174223270193185,B1,Hist2ST
83,PSMA5,0.33951768645368396,B1,Hist2ST
84,GSTM3,0.3405386839394693,B1,Hist2ST
85,CD53,0.4901951665021519,B1,Hist2ST
86,ATP5F1,0.5143181022284189,B1,Hist2ST
87,WDR3,0.3438322499969554,B1,Hist2ST
88,PHGDH,0.24102178166366506,B1,Hist2ST
89,CTSS,0.49874056023139013,B1,Hist2ST
90,CTSK,0.2852317529706851,B1,Hist2ST
91,SCNM1,0.21029499143991393,B1,Hist2ST
92,S100A8,0.24483497945499325,B1,Hist2ST
93,S100A14,0.27939653863497693,B1,Hist2ST
94,S100A1,0.3801923604722256,B1,Hist2ST
95,CREB3L4,0.5528329984889833,B1,Hist2ST
96,CKS1B,0.5049348933376775,B1,Hist2ST
97,EFNA3,0.1759607002283859,B1,Hist2ST
98,RIT1,0.25552389023546207,B1,Hist2ST
99,CRABP2,0.39788580189847944,B1,Hist2ST
100,IFI16,0.32065438618900144,B1,Hist2ST
101,USF1,0.03318688532950204,B1,Hist2ST
102,OLFML2B,0.19273896081516,B1,Hist2ST
103,MPC2,0.5681927058662429,B1,Hist2ST
104,ATP1B1,0.4987643371215108,B1,Hist2ST
105,RABGAP1L,0.3628439929408163,B1,Hist2ST
106,CACYBP,0.4647706015086029,B1,Hist2ST
107,XPR1,0.17856874202060768,B1,Hist2ST
108,LAMC1,0.2002514469927457,B1,Hist2ST
109,C1orf21,0.5126966303145184,B1,Hist2ST
110,TPR,0.4272234422418256,B1,Hist2ST
111,PTPRC,0.3368784959324904,B1,Hist2ST
112,UBE2T,0.43367625751975264,B1,Hist2ST
113,NUCKS1,0.2909920697746101,B1,Hist2ST
114,ATF3,0.46128997939284044,B1,Hist2ST
115,CENPF,0.3310008708338957,B1,Hist2ST
116,KCTD3,0.3094114516227367,B1,Hist2ST
117,LYPLAL1,0.27730007103538623,B1,Hist2ST
118,IARS2,0.6793094254352163,B1,Hist2ST
119,CNIH4,0.5071112124183538,B1,Hist2ST
120,NUP133,0.2656792604848938,B1,Hist2ST
121,ARID4B,0.17844871560975803,B1,Hist2ST
122,CHML,0.32886285197490817,B1,Hist2ST
123,SCCPDH,0.4044968079162934,B1,Hist2ST
124,ATP5C1,0.6509523551475894,B1,Hist2ST
125,GATA3,0.3965081297750463,B1,Hist2ST
126,FAM107B,0.4202682404839104,B1,Hist2ST
127,HSPA14,0.13175377220274725,B1,Hist2ST
128,NEBL,0.3614449655762173,B1,Hist2ST
129,BAMBI,0.5537673074596474,B1,Hist2ST
130,ARHGAP12,0.15441094375777176,B1,Hist2ST
131,DKK1,0.021733829840292,B1,Hist2ST
132,ZWINT,0.41978641597292776,B1,Hist2ST
133,ANK3,0.20639775753504508,B1,Hist2ST
134,CDK1,0.49829676091309794,B1,Hist2ST
135,HERC4,0.33095015798365157,B1,Hist2ST
136,SRGN,0.550970753668228,B1,Hist2ST
137,H2AFY2,0.13613477621829265,B1,Hist2ST
138,ADK,0.370721736059642,B1,Hist2ST
139,DLG5,0.43541210169856864,B1,Hist2ST
140,PLAC9,0.0045614798375265865,B1,Hist2ST
141,GHITM,0.5580077618737409,B1,Hist2ST
142,SNCG,-0.04391254485963894,B1,Hist2ST
143,ADIRF,0.40123145467796084,B1,Hist2ST
144,IFIT3,0.027391614357274288,B1,Hist2ST
145,FRA10AC1,0.24231548268746164,B1,Hist2ST
146,EXOSC1,0.2959569064705622,B1,Hist2ST
147,SCD,0.5739700200585622,B1,Hist2ST
148,ARL3,0.3924798780421416,B1,Hist2ST
149,ADD3,0.22164398635133986,B1,Hist2ST
150,DUSP5,0.36388622981762,B1,Hist2ST
151,FAM204A,0.29866818564271275,B1,Hist2ST
152,RGS10,0.3019940246605324,B1,Hist2ST
153,NSMCE4A,0.3725323611452447,B1,Hist2ST
154,OAT,0.5533901786527017,B1,Hist2ST
155,GLRX3,0.4652642158185165,B1,Hist2ST
156,IFITM2,0.5121072025957375,B1,Hist2ST
157,TRIM22,0.34936323611540543,B1,Hist2ST
158,DKK3,0.17093351207848828,B1,Hist2ST
159,SAA1,-0.011702171205254724,B1,Hist2ST
160,TSG101,0.1851552457793032,B1,Hist2ST
161,SVIP,0.11617127554774276,B1,Hist2ST
162,CAPRIN1,0.47717971755704713,B1,Hist2ST
163,API5,0.5560230855545071,B1,Hist2ST
164,MTCH2,0.42342044942656276,B1,Hist2ST
165,UBE2L6,0.4653743313189187,B1,Hist2ST
166,MPEG1,0.35537667080115554,B1,Hist2ST
167,MS4A7,0.4581067176133268,B1,Hist2ST
168,TMEM258,0.49906243337007583,B1,Hist2ST
169,FEN1,0.6344754660431258,B1,Hist2ST
170,PLA2G16,0.2699607998978433,B1,Hist2ST
171,CST6,0.21151864859140304,B1,Hist2ST
172,ALDH3B2,0.40828004277619867,B1,Hist2ST
173,TESMIN,0.44675085317629576,B1,Hist2ST
174,MRPL21,0.4879844337739527,B1,Hist2ST
175,CCND1,0.2519123320359242,B1,Hist2ST
176,ORAOV1,0.38496578675445803,B1,Hist2ST
177,ANO1,0.4671406766633647,B1,Hist2ST
178,FADD,0.45535953983385624,B1,Hist2ST
179,CTTN,0.48627805576420663,B1,Hist2ST
180,PRSS23,0.6145583826677745,B1,Hist2ST
181,BIRC3,0.3261546016492389,B1,Hist2ST
182,MMP1,0.010587615733680519,B1,Hist2ST
183,CASP4,0.3924978669773515,B1,Hist2ST
184,CD3D,0.2921060856741078,B1,Hist2ST
185,THYN1,0.22758198287133133,B1,Hist2ST
186,SCNN1A,0.348028557305586,B1,Hist2ST
187,RIMKLB,0.3522797023942229,B1,Hist2ST
188,MAGOHB,0.35178443068383347,B1,Hist2ST
189,GPRC5A,0.49315020607354115,B1,Hist2ST
190,MGP,0.3891484276171788,B1,Hist2ST
191,C12orf60,0.10598505881902777,B1,Hist2ST
192,LDHB,0.4804723891603104,B1,Hist2ST
193,ITPR2,0.11347575053067199,B1,Hist2ST
194,ZCRB1,0.17736410547504428,B1,Hist2ST
195,FAIM2,0.19013818990865447,B1,Hist2ST
196,METTL7A,0.31414179001573916,B1,Hist2ST
197,NR4A1,0.4264858326519035,B1,Hist2ST
198,KRT81,-0.02186207227768588,B1,Hist2ST
199,KRT86,0.17140934931933863,B1,Hist2ST
200,PPP1R1A,0.06438507909650101,B1,Hist2ST
201,MUCL1,0.22514545156190197,B1,Hist2ST
202,NUP107,0.2914259183420732,B1,Hist2ST
203,LYZ,0.5705487524133631,B1,Hist2ST
204,DUSP6,0.20712802375736952,B1,Hist2ST
205,ATP2B1,0.20191876174346687,B1,Hist2ST
206,LUM,0.44463579864261144,B1,Hist2ST
207,DCN,0.28054143180434454,B1,Hist2ST
208,EEA1,0.05805523616136996,B1,Hist2ST
209,NTN4,0.3294681764156836,B1,Hist2ST
210,TMPO,0.5846409990737494,B1,Hist2ST
211,ARL1,0.4483128737272169,B1,Hist2ST
212,CHPT1,0.231791001430252,B1,Hist2ST
213,SYCP3,0.18074030181924425,B1,Hist2ST
214,CCDC53,0.3635520346772737,B1,Hist2ST
215,PWP1,0.35415777883776833,B1,Hist2ST
216,TCTN1,0.3888996896674248,B1,Hist2ST
217,MAPKAPK5,0.3439783304087305,B1,Hist2ST
218,OAS1,0.47404804021345537,B1,Hist2ST
219,OAS2,0.4663284139762004,B1,Hist2ST
220,TBX3,0.5359835798769391,B1,Hist2ST
221,OASL,0.3990429558661045,B1,Hist2ST
222,ZNF664,0.40681925498298455,B1,Hist2ST
223,ZNF84,0.3109222476441978,B1,Hist2ST
224,PSPC1,0.46429523548698826,B1,Hist2ST
225,HMGB1,0.36559801263678127,B1,Hist2ST
226,DCLK1,0.15628581116448492,B1,Hist2ST
227,MRPS31,0.20354944054494017,B1,Hist2ST
228,DNAJC15,0.4251285409915522,B1,Hist2ST
229,RNASEH2B,0.2380165268996245,B1,Hist2ST
230,COMMD6,0.6125295838801159,B1,Hist2ST
231,FARP1,0.3947575804268487,B1,Hist2ST
232,STK24,0.3433560457979722,B1,Hist2ST
233,MCF2L,0.5276316316668672,B1,Hist2ST
234,NGDN,0.2742581205100191,B1,Hist2ST
235,RABGGTA,0.23647517466713666,B1,Hist2ST
236,SCFD1,0.5358627655737858,B1,Hist2ST
237,BAZ1A,0.18714200482317062,B1,Hist2ST
238,KLHDC2,0.4907395260157452,B1,Hist2ST
239,PSMC6,0.45757421244544705,B1,Hist2ST
240,PSMA3,0.4661613350810542,B1,Hist2ST
241,PCNX4,0.3029413554912125,B1,Hist2ST
242,DHRS7,0.4685205298166259,B1,Hist2ST
243,MTHFD1,0.4054157922654172,B1,Hist2ST
244,FUT8,0.40138357343027065,B1,Hist2ST
245,COQ6,0.25561003422064965,B1,Hist2ST
246,AC005480.1,0.2140535955540265,B1,Hist2ST
247,FOS,0.39401330730390305,B1,Hist2ST
248,ZC3H14,0.3049808276986565,B1,Hist2ST
249,UBR7,0.33006629481231425,B1,Hist2ST
250,IFI27L2,0.203492558029005,B1,Hist2ST
251,IGHG4,-0.1831726566484394,B1,Hist2ST
252,APBA2,0.17685950171456247,B1,Hist2ST
253,EMC4,0.4353460486667424,B1,Hist2ST
254,NUSAP1,0.4187381233634795,B1,Hist2ST
255,TUBGCP4,0.15375030041837195,B1,Hist2ST
256,TP53BP1,0.2102726315341628,B1,Hist2ST
257,SPG11,0.2968507897616861,B1,Hist2ST
258,MYEF2,0.18184017233039484,B1,Hist2ST
259,TMOD3,0.21114562869657147,B1,Hist2ST
260,LEO1,0.2495297692620637,B1,Hist2ST
261,MYO5C,0.20827595124756912,B1,Hist2ST
262,ARPP19,0.3324916148156115,B1,Hist2ST
263,ADAM10,0.36907950182365545,B1,Hist2ST
264,CCNB2,0.2765091706210208,B1,Hist2ST
265,GTF2A2,0.3026717513131758,B1,Hist2ST
266,VPS13C,0.14975193512143473,B1,Hist2ST
267,C2CD4A,0.20989292178048746,B1,Hist2ST
268,TPM1,0.38286657777523886,B1,Hist2ST
269,FAM96A,0.3958511634961216,B1,Hist2ST
270,KIAA0101,0.24689466575029675,B1,Hist2ST
271,CILP,0.2045475361209695,B1,Hist2ST
272,ITGA11,0.17480271307886078,B1,Hist2ST
273,UACA,0.13604114065368447,B1,Hist2ST
274,RCN2,0.4172354136189016,B1,Hist2ST
275,PSTPIP1,0.3242424106227491,B1,Hist2ST
276,LINGO1,0.06553375342744258,B1,Hist2ST
277,MESDC1,0.4563887724633647,B1,Hist2ST
278,ISG20,0.4053378754843221,B1,Hist2ST
279,PRC1,0.4030163570809778,B1,Hist2ST
280,SNRPA1,0.429830537354923,B1,Hist2ST
281,SBK1,0.2711768886525607,B1,Hist2ST
282,MT1G,0.05658913807686473,B1,Hist2ST
