,Gene,Pearson correlation,Slide,Method
0,ISG15,0.020317564707768705,C5,Hist2ST
1,PLA2G2D,0.07076484972323138,C5,Hist2ST
2,CAMK2N1,0.1398567940923322,C5,Hist2ST
3,USP48,0.06195630241002141,C5,Hist2ST
4,TCEA3,0.19611055191940197,C5,Hist2ST
5,PNRC2,0.19300366140332478,C5,Hist2ST
6,LDLRAP1,0.1717286330706162,C5,Hist2ST
7,IFI6,0.27820497378691006,C5,Hist2ST
8,ZBTB8OS,0.10517999923944593,C5,Hist2ST
9,RBBP4,0.21529854316753289,C5,Hist2ST
10,PSMB2,0.2316754562295305,C5,Hist2ST
11,GNL2,0.22516133705031302,C5,Hist2ST
12,SF3A3,0.26979964605365453,C5,Hist2ST
13,UTP11,0.22933420946866245,C5,Hist2ST
14,AKIRIN1,0.2778429280259227,C5,Hist2ST
15,MFSD2A,0.18859420063945845,C5,Hist2ST
16,CAP1,0.21001133895966065,C5,Hist2ST
17,CTPS1,0.24492139349974695,C5,Hist2ST
18,PPCS,0.13778098074176667,C5,Hist2ST
19,PPIH,0.15553078221556474,C5,Hist2ST
20,YBX1,0.2928969147251917,C5,Hist2ST
21,EBNA1BP2,0.3014202279725061,C5,Hist2ST
22,CDC20,0.3446645880201227,C5,Hist2ST
23,PTPRF,0.1894198720932243,C5,Hist2ST
24,KDM4A,0.21439612859449103,C5,Hist2ST
25,EIF2B3,0.1533870138044221,C5,Hist2ST
26,NASP,0.3041037175193832,C5,Hist2ST
27,GPBP1L1,0.18610261179209198,C5,Hist2ST
28,TSPAN1,0.12047981709570854,C5,Hist2ST
29,RAD54L,0.2887021608108863,C5,Hist2ST
30,LRRC41,0.21554962173923947,C5,Hist2ST
31,UQCRH,0.2955649380571591,C5,Hist2ST
32,CMPK1,0.2558825380718143,C5,Hist2ST
33,RNF11,0.26381521084140935,C5,Hist2ST
34,TTC39A,0.08623153842072973,C5,Hist2ST
35,TXNDC12,0.12233411224560684,C5,Hist2ST
36,PRPF38A,0.1707850630423505,C5,Hist2ST
37,SCP2,0.32133214045738917,C5,Hist2ST
38,C1orf123,0.2282684584620287,C5,Hist2ST
39,MAGOH,0.27904636697943663,C5,Hist2ST
40,NDC1,0.21567008045863473,C5,Hist2ST
41,HSPB11,0.2314359145743319,C5,Hist2ST
42,TMEM59,0.27032167834674603,C5,Hist2ST
43,SSBP3,0.27076863115814187,C5,Hist2ST
