,Gene,Pearson correlation,Slide,Method
0,ISG15,0.16703195245715613,D4,Hist2ST
1,PLA2G2D,0.16338263094401373,D4,Hist2ST
2,CAMK2N1,0.3391701225404533,D4,Hist2ST
3,USP48,0.14408612208890392,D4,Hist2ST
4,TCEA3,0.30028554428612353,D4,Hist2ST
5,PNRC2,0.14802383944418082,D4,Hist2ST
6,LDLRAP1,0.03131579505904221,D4,Hist2ST
7,IFI6,0.17720329378387234,D4,Hist2ST
8,ZBTB8OS,0.15358344695755813,D4,Hist2ST
9,RBBP4,0.24118024186475792,D4,Hist2ST
10,PSMB2,0.2570238224322211,D4,Hist2ST
11,GNL2,0.29906061598497924,D4,Hist2ST
12,SF3A3,0.12151252869795073,D4,Hist2ST
13,UTP11,0.14445438379713763,D4,Hist2ST
14,AKIRIN1,0.143597047650326,D4,Hist2ST
15,MFSD2A,0.3292634979148281,D4,Hist2ST
16,CAP1,0.3852260406005167,D4,Hist2ST
17,CTPS1,0.18229919318766244,D4,Hist2ST
18,PPCS,0.22820821553756543,D4,Hist2ST
19,PPIH,0.2513404592132017,D4,Hist2ST
20,YBX1,0.33257889115777034,D4,Hist2ST
21,EBNA1BP2,0.3335329809101214,D4,Hist2ST
22,CDC20,0.24242282808631482,D4,Hist2ST
23,PTPRF,0.3515038360476691,D4,Hist2ST
24,KDM4A,0.19317701135179882,D4,Hist2ST
25,EIF2B3,0.09546704159350061,D4,Hist2ST
26,NASP,0.23330610629188653,D4,Hist2ST
27,GPBP1L1,0.3013181086084634,D4,Hist2ST
28,TSPAN1,0.17846194945431576,D4,Hist2ST
29,RAD54L,0.19987273427602553,D4,Hist2ST
30,LRRC41,0.3016492602693879,D4,Hist2ST
31,UQCRH,0.5078710079803499,D4,Hist2ST
32,CMPK1,0.21453859341925977,D4,Hist2ST
33,RNF11,0.1435307626544707,D4,Hist2ST
34,TTC39A,0.34161206526088395,D4,Hist2ST
35,TXNDC12,0.3255306925240981,D4,Hist2ST
36,PRPF38A,0.08130003231029204,D4,Hist2ST
37,SCP2,0.24633291483581046,D4,Hist2ST
38,C1orf123,0.08082371333838341,D4,Hist2ST
39,MAGOH,0.2875159868273682,D4,Hist2ST
40,NDC1,0.17816114596516175,D4,Hist2ST
41,HSPB11,0.12449550099127851,D4,Hist2ST
42,TMEM59,0.23924324696862842,D4,Hist2ST
43,SSBP3,0.17220674120471344,D4,Hist2ST
44,TACSTD2,0.6095332205781618,D4,Hist2ST
45,MYSM1,0.04641335022469198,D4,Hist2ST
46,TM2D1,0.14570278355998761,D4,Hist2ST
47,PATJ,0.10875248381558064,D4,Hist2ST
48,USP1,0.14669031026945153,D4,Hist2ST
49,JAK1,0.08680068685664286,D4,Hist2ST
50,LEPROT,0.15435250075456589,D4,Hist2ST
51,GNG12,0.1266018542918472,D4,Hist2ST
52,SRSF11,0.13710818152384013,D4,Hist2ST
53,USP33,0.1501848759003191,D4,Hist2ST
