,Gene,Pearson correlation,Slide,Method
0,ISG15,0.05738877672840528,E2,Hist2ST
1,PLA2G2D,0.048327753694751785,E2,Hist2ST
2,CAMK2N1,0.09765213675740134,E2,Hist2ST
3,USP48,0.04479135090881732,E2,Hist2ST
4,TCEA3,0.06570151059636337,E2,Hist2ST
5,PNRC2,0.07416744613182608,E2,Hist2ST
6,LDLRAP1,0.06486380714395601,E2,Hist2ST
7,IFI6,0.07254258803393715,E2,Hist2ST
8,ZBTB8OS,0.0017148555146857714,E2,Hist2ST
9,RBBP4,0.04637276191776103,E2,Hist2ST
10,PSMB2,0.12636743241968057,E2,Hist2ST
11,GNL2,0.23165204067765643,E2,Hist2ST
12,SF3A3,0.012962008566190364,E2,Hist2ST
13,UTP11,0.13663097291646306,E2,Hist2ST
14,AKIRIN1,0.09814160272897547,E2,Hist2ST
15,MFSD2A,0.0677179960272676,E2,Hist2ST
16,CAP1,0.18495061436931082,E2,Hist2ST
17,CTPS1,0.15380120735714414,E2,Hist2ST
18,PPCS,0.1281810260346597,E2,Hist2ST
19,PPIH,0.12333791765210327,E2,Hist2ST
20,YBX1,0.1527791914041774,E2,Hist2ST
21,EBNA1BP2,0.2637696931879301,E2,Hist2ST
22,CDC20,0.16482686308113942,E2,Hist2ST
23,PTPRF,0.12640128290551322,E2,Hist2ST
24,KDM4A,0.12819256121834002,E2,Hist2ST
25,EIF2B3,0.04639227232452997,E2,Hist2ST
26,NASP,0.21120309774029175,E2,Hist2ST
27,GPBP1L1,0.20183158433071652,E2,Hist2ST
28,TSPAN1,0.07892168503330318,E2,Hist2ST
29,RAD54L,0.061673418477178416,E2,Hist2ST
30,LRRC41,0.0740863435038576,E2,Hist2ST
31,UQCRH,0.2711776138146773,E2,Hist2ST
32,CMPK1,0.013254173622674207,E2,Hist2ST
33,RNF11,0.10791326177518742,E2,Hist2ST
34,TTC39A,0.13977871283009063,E2,Hist2ST
35,TXNDC12,0.13640537708931866,E2,Hist2ST
36,PRPF38A,0.1854831204182562,E2,Hist2ST
37,SCP2,0.19788757808687563,E2,Hist2ST
38,C1orf123,0.010007486035830012,E2,Hist2ST
39,MAGOH,0.1259922356861162,E2,Hist2ST
40,NDC1,0.0721934743727558,E2,Hist2ST
41,HSPB11,0.11005861869400108,E2,Hist2ST
42,TMEM59,0.18935161055737804,E2,Hist2ST
43,SSBP3,0.052433254324077194,E2,Hist2ST
44,TACSTD2,0.23875653919640497,E2,Hist2ST
45,MYSM1,0.008668554876063835,E2,Hist2ST
46,TM2D1,0.13668292630809323,E2,Hist2ST
47,PATJ,0.0226582011556749,E2,Hist2ST
48,USP1,0.07112097731026086,E2,Hist2ST
49,JAK1,0.11518337339061818,E2,Hist2ST
50,LEPROT,0.007561838191998347,E2,Hist2ST
51,GNG12,0.04342764656981288,E2,Hist2ST
52,SRSF11,0.12790388535000505,E2,Hist2ST
53,USP33,0.030568627089638617,E2,Hist2ST
54,IFI44L,0.09097197872816981,E2,Hist2ST
55,IFI44,0.06721017501554435,E2,Hist2ST
56,GNG5,0.07997911247122991,E2,Hist2ST
57,SEP15,0.10402661733338936,E2,Hist2ST
58,LMO4,0.07298379145545812,E2,Hist2ST
59,GTF2B,0.13108096289219945,E2,Hist2ST
60,GBP3,0.10671145441051284,E2,Hist2ST
61,GBP1,0.19626767655473326,E2,Hist2ST
62,GBP2,0.04464279863496641,E2,Hist2ST
63,GBP5,0.0960030140377493,E2,Hist2ST
64,LRRC8B,-0.025536336827834075,E2,Hist2ST
65,LRRC8D,0.08355487708721383,E2,Hist2ST
66,CDC7,0.029722090404539284,E2,Hist2ST
67,GLMN,0.06205311366391789,E2,Hist2ST
