,Gene,Pearson correlation,Slide,Method
0,ISG15,0.009884335661289014,F2,Hist2ST
1,PLA2G2D,0.025932759069799784,F2,Hist2ST
2,CAMK2N1,0.11791772259623255,F2,Hist2ST
3,USP48,0.0407714989039187,F2,Hist2ST
4,TCEA3,0.016986065071193285,F2,Hist2ST
5,PNRC2,0.07360813888233289,F2,Hist2ST
6,LDLRAP1,0.06551583273548577,F2,Hist2ST
7,IFI6,0.034785735970227466,F2,Hist2ST
8,ZBTB8OS,0.04531755653890051,F2,Hist2ST
9,RBBP4,0.09887562701339922,F2,Hist2ST
10,PSMB2,0.030377082561549668,F2,Hist2ST
11,GNL2,0.04283296165881238,F2,Hist2ST
12,SF3A3,0.033698262281517455,F2,Hist2ST
13,UTP11,0.035209936459207086,F2,Hist2ST
14,AKIRIN1,-0.014845850348661215,F2,Hist2ST
15,MFSD2A,0.08299016141368824,F2,Hist2ST
16,CAP1,0.1386670493592434,F2,Hist2ST
17,CTPS1,0.11311717477447238,F2,Hist2ST
18,PPCS,0.08993350321699664,F2,Hist2ST
19,PPIH,0.04441480693790171,F2,Hist2ST
20,YBX1,0.025180807483773847,F2,Hist2ST
21,EBNA1BP2,0.08825838238972782,F2,Hist2ST
22,CDC20,0.06626863997086016,F2,Hist2ST
23,PTPRF,0.08240546632481639,F2,Hist2ST
24,KDM4A,0.08721236991383145,F2,Hist2ST
25,EIF2B3,0.009766076400190107,F2,Hist2ST
26,NASP,0.16594034512027842,F2,Hist2ST
27,GPBP1L1,0.06358431877288814,F2,Hist2ST
28,TSPAN1,0.031986220531149856,F2,Hist2ST
29,RAD54L,0.06018526554055197,F2,Hist2ST
30,LRRC41,0.10597212482756915,F2,Hist2ST
31,UQCRH,0.1621034697619096,F2,Hist2ST
32,CMPK1,-0.015333449831163441,F2,Hist2ST
33,RNF11,0.08825069231101049,F2,Hist2ST
34,TTC39A,0.07129256541341701,F2,Hist2ST
35,TXNDC12,0.09994645677164495,F2,Hist2ST
36,PRPF38A,0.11609730462637415,F2,Hist2ST
37,SCP2,0.12494729423835484,F2,Hist2ST
38,C1orf123,0.06681773662764007,F2,Hist2ST
39,MAGOH,0.0026844497898513234,F2,Hist2ST
40,NDC1,0.10191817082830515,F2,Hist2ST
41,HSPB11,0.05084339384793586,F2,Hist2ST
