,Gene,Pearson correlation,Slide,Method
0,ISG15,0.08336043983222745,G3,Hist2ST
1,PLA2G2D,0.04745194076508573,G3,Hist2ST
2,CAMK2N1,0.10440832450034662,G3,Hist2ST
3,USP48,-0.03068856677077761,G3,Hist2ST
4,TCEA3,-0.08474511325080103,G3,Hist2ST
5,PNRC2,0.10043932564184088,G3,Hist2ST
6,LDLRAP1,0.09789366493018173,G3,Hist2ST
7,IFI6,0.185667903151372,G3,Hist2ST
8,ZBTB8OS,0.10567045977412697,G3,Hist2ST
9,RBBP4,0.07966091482772969,G3,Hist2ST
10,PSMB2,0.2331166520386454,G3,Hist2ST
11,GNL2,0.13079544684024125,G3,Hist2ST
12,SF3A3,0.1332983434000457,G3,Hist2ST
13,UTP11,0.019529710480832567,G3,Hist2ST
14,AKIRIN1,0.11878721340862552,G3,Hist2ST
15,MFSD2A,0.09415104827778648,G3,Hist2ST
16,CAP1,0.23550702818532815,G3,Hist2ST
17,CTPS1,0.09120595165465242,G3,Hist2ST
18,PPCS,0.2123367026194758,G3,Hist2ST
19,PPIH,0.1927278241764429,G3,Hist2ST
20,YBX1,0.10825734648659578,G3,Hist2ST
21,EBNA1BP2,0.1505138044109975,G3,Hist2ST
22,CDC20,0.07004877530981651,G3,Hist2ST
23,PTPRF,0.2178704111550525,G3,Hist2ST
24,KDM4A,0.07571027630743399,G3,Hist2ST
25,EIF2B3,0.010583754958999977,G3,Hist2ST
26,NASP,0.18454094459524123,G3,Hist2ST
27,GPBP1L1,0.23998431792883348,G3,Hist2ST
28,TSPAN1,0.08230400479071982,G3,Hist2ST
29,RAD54L,0.08424675882277337,G3,Hist2ST
30,LRRC41,0.1783057670656374,G3,Hist2ST
31,UQCRH,0.24634836429038087,G3,Hist2ST
32,CMPK1,0.15006095360921584,G3,Hist2ST
33,RNF11,0.16472447965390075,G3,Hist2ST
34,TTC39A,0.1461723033137633,G3,Hist2ST
35,TXNDC12,0.14300847984750303,G3,Hist2ST
36,PRPF38A,0.12330063495891558,G3,Hist2ST
37,SCP2,0.18235074400699305,G3,Hist2ST
38,C1orf123,0.09055201913073288,G3,Hist2ST
39,MAGOH,0.1584731316605073,G3,Hist2ST
40,NDC1,0.16960763304511078,G3,Hist2ST
41,HSPB11,0.08957274842425758,G3,Hist2ST
42,TMEM59,0.2692410031012267,G3,Hist2ST
43,SSBP3,0.1446018755839523,G3,Hist2ST
44,TACSTD2,0.3080848528488601,G3,Hist2ST
45,MYSM1,0.1675612261938751,G3,Hist2ST
46,TM2D1,0.2428095818408249,G3,Hist2ST
47,PATJ,0.17992846417799535,G3,Hist2ST
48,USP1,0.1287986441001741,G3,Hist2ST
49,JAK1,0.2502652657151905,G3,Hist2ST
50,LEPROT,0.12212207385080662,G3,Hist2ST
51,GNG12,0.15542555738069044,G3,Hist2ST
52,SRSF11,0.20266201999961764,G3,Hist2ST
53,USP33,0.10294414529621104,G3,Hist2ST
54,IFI44L,0.07597620917953617,G3,Hist2ST
55,IFI44,0.11165654314424905,G3,Hist2ST
56,GNG5,0.087797671963773,G3,Hist2ST
57,SEP15,0.0567807365954565,G3,Hist2ST
58,LMO4,0.11588274199640003,G3,Hist2ST
59,GTF2B,0.12579917131072565,G3,Hist2ST
60,GBP3,0.08542212205791908,G3,Hist2ST
61,GBP1,0.12654402467751608,G3,Hist2ST
62,GBP2,0.10276367101247802,G3,Hist2ST
63,GBP5,0.11831764727786045,G3,Hist2ST
64,LRRC8B,0.2073883104114314,G3,Hist2ST
65,LRRC8D,0.06195957085220655,G3,Hist2ST
66,CDC7,0.08935849055495844,G3,Hist2ST
67,GLMN,0.09230208272541802,G3,Hist2ST
68,MTF2,0.17028175588083955,G3,Hist2ST
69,TMED5,0.2491379096546328,G3,Hist2ST
70,CCDC18,0.08870101431518908,G3,Hist2ST
71,DR1,0.2062107198628378,G3,Hist2ST
72,FNBP1L,0.2719037987819156,G3,Hist2ST
73,BCAR3,0.03603317576038487,G3,Hist2ST
74,DNTTIP2,0.11633486395949005,G3,Hist2ST
75,GCLM,0.1604633037442001,G3,Hist2ST
76,ARHGAP29,0.07511710314117556,G3,Hist2ST
77,ABCD3,0.20346225340260063,G3,Hist2ST
78,CNN3,0.2345278354487563,G3,Hist2ST
79,ALG14,0.06686236698132984,G3,Hist2ST
80,TMEM56,-0.027414567586913907,G3,Hist2ST
81,SNX7,0.12715688971730074,G3,Hist2ST
82,VCAM1,0.0697616433755452,G3,Hist2ST
83,PSMA5,0.12064586180420851,G3,Hist2ST
84,GSTM3,0.008149180683036756,G3,Hist2ST
85,CD53,0.18756144189937085,G3,Hist2ST
86,ATP5F1,0.05563342425085797,G3,Hist2ST
87,WDR3,0.0813408106462882,G3,Hist2ST
88,PHGDH,0.10608266412277259,G3,Hist2ST
89,CTSS,0.16571648084124452,G3,Hist2ST
90,CTSK,0.18435404249292317,G3,Hist2ST
91,SCNM1,0.05913681908233816,G3,Hist2ST
92,S100A8,0.17346202214883671,G3,Hist2ST
93,S100A14,0.14076364143890385,G3,Hist2ST
94,S100A1,0.11777447557989695,G3,Hist2ST
95,CREB3L4,0.13724045107785204,G3,Hist2ST
96,CKS1B,0.05677148572103803,G3,Hist2ST
97,EFNA3,0.09323750116362109,G3,Hist2ST
98,RIT1,0.16701687280160177,G3,Hist2ST
99,CRABP2,0.16962602377659158,G3,Hist2ST
100,IFI16,0.037245678729489175,G3,Hist2ST
101,USF1,,G3,Hist2ST
102,OLFML2B,0.19921309130730064,G3,Hist2ST
103,MPC2,0.1281415596407623,G3,Hist2ST
104,ATP1B1,0.2450199056619295,G3,Hist2ST
105,RABGAP1L,0.07724521690641815,G3,Hist2ST
106,CACYBP,0.20329714279279615,G3,Hist2ST
107,XPR1,0.0932277711398988,G3,Hist2ST
108,LAMC1,0.1278011507423847,G3,Hist2ST
109,C1orf21,0.04981292619640118,G3,Hist2ST
110,TPR,0.0747803684376783,G3,Hist2ST
111,PTPRC,0.18846285423909503,G3,Hist2ST
112,UBE2T,0.1434283505296748,G3,Hist2ST
113,NUCKS1,0.221074447117445,G3,Hist2ST
114,ATF3,0.19851750822310377,G3,Hist2ST
115,CENPF,0.08667480092988084,G3,Hist2ST
116,KCTD3,0.12232518733013201,G3,Hist2ST
117,LYPLAL1,0.15254415499456123,G3,Hist2ST
118,IARS2,0.25562931597755945,G3,Hist2ST
119,CNIH4,0.11638471019045223,G3,Hist2ST
120,NUP133,0.16489137130583573,G3,Hist2ST
121,ARID4B,0.08623103320218989,G3,Hist2ST
122,CHML,0.1162078630456491,G3,Hist2ST
123,SCCPDH,0.27708713132876456,G3,Hist2ST
