,Gene,Pearson correlation,Slide,Method
0,ISG15,0.052763624393020826,H3,Hist2ST
1,PLA2G2D,0.11567616589087618,H3,Hist2ST
2,CAMK2N1,0.13576269723181136,H3,Hist2ST
3,USP48,0.1318986767477961,H3,Hist2ST
4,TCEA3,0.09892967625353356,H3,Hist2ST
5,PNRC2,0.23681109169462478,H3,Hist2ST
6,LDLRAP1,0.20157271817309017,H3,Hist2ST
7,IFI6,0.22532801308773853,H3,Hist2ST
8,ZBTB8OS,0.13131468324924533,H3,Hist2ST
9,RBBP4,0.04549539069775319,H3,Hist2ST
10,PSMB2,0.29897509419071155,H3,Hist2ST
11,GNL2,0.13179420900506786,H3,Hist2ST
12,SF3A3,0.2628805040526972,H3,Hist2ST
13,UTP11,0.1349230293505202,H3,Hist2ST
14,AKIRIN1,0.09171414864508279,H3,Hist2ST
15,MFSD2A,0.23825485365091664,H3,Hist2ST
16,CAP1,0.23063875543028928,H3,Hist2ST
17,CTPS1,0.19125395596457262,H3,Hist2ST
18,PPCS,0.2075691490155845,H3,Hist2ST
19,PPIH,0.09685911176444495,H3,Hist2ST
20,YBX1,0.11898164745462213,H3,Hist2ST
21,EBNA1BP2,0.22162907879978175,H3,Hist2ST
22,CDC20,0.16976713583140482,H3,Hist2ST
23,PTPRF,0.20765267005710875,H3,Hist2ST
24,KDM4A,0.2227640674051537,H3,Hist2ST
25,EIF2B3,0.07884000339068305,H3,Hist2ST
26,NASP,0.41550739761197447,H3,Hist2ST
27,GPBP1L1,0.2391374649345223,H3,Hist2ST
28,TSPAN1,0.039980677553361,H3,Hist2ST
29,RAD54L,0.16828143976942023,H3,Hist2ST
30,LRRC41,0.28376967812264,H3,Hist2ST
31,UQCRH,0.19748696635948004,H3,Hist2ST
32,CMPK1,0.2525578847560102,H3,Hist2ST
33,RNF11,0.1893016020748124,H3,Hist2ST
34,TTC39A,0.04345958132059467,H3,Hist2ST
35,TXNDC12,0.19650492875785702,H3,Hist2ST
36,PRPF38A,0.1612087467417947,H3,Hist2ST
37,SCP2,0.2752929582779699,H3,Hist2ST
38,C1orf123,0.01931579823146603,H3,Hist2ST
39,MAGOH,0.35704276266522816,H3,Hist2ST
40,NDC1,0.24328179714505688,H3,Hist2ST
41,HSPB11,0.13800981130573578,H3,Hist2ST
42,TMEM59,0.22906877036647366,H3,Hist2ST
43,SSBP3,0.19689237444177532,H3,Hist2ST
44,TACSTD2,0.3463549900183951,H3,Hist2ST
45,MYSM1,0.08632491779232512,H3,Hist2ST
46,TM2D1,0.017691118722022094,H3,Hist2ST
47,PATJ,0.06950351480119327,H3,Hist2ST
48,USP1,0.13792612987418412,H3,Hist2ST
49,JAK1,0.11903298510960406,H3,Hist2ST
50,LEPROT,-0.030094589944857666,H3,Hist2ST
51,GNG12,0.049887229003005455,H3,Hist2ST
52,SRSF11,0.21343938903484788,H3,Hist2ST
53,USP33,0.13021607200262916,H3,Hist2ST
54,IFI44L,0.047753488494709215,H3,Hist2ST
55,IFI44,0.11727502162426126,H3,Hist2ST
56,GNG5,0.1475826791371546,H3,Hist2ST
57,SEP15,0.22796432216642293,H3,Hist2ST
58,LMO4,0.20457008524122758,H3,Hist2ST
59,GTF2B,0.08323379483270836,H3,Hist2ST
60,GBP3,0.09462169184550237,H3,Hist2ST
61,GBP1,0.1749748904450913,H3,Hist2ST
62,GBP2,0.1272760689510062,H3,Hist2ST
63,GBP5,0.11661451295257014,H3,Hist2ST
64,LRRC8B,0.06719664271017697,H3,Hist2ST
65,LRRC8D,0.026916121793391038,H3,Hist2ST
66,CDC7,0.06826042868958516,H3,Hist2ST
67,GLMN,0.021172202219193643,H3,Hist2ST
68,MTF2,-0.02391434088422448,H3,Hist2ST
69,TMED5,0.14226241538059622,H3,Hist2ST
70,CCDC18,-0.013671619188131697,H3,Hist2ST
71,DR1,0.14317105937051522,H3,Hist2ST
72,FNBP1L,0.1470040107733664,H3,Hist2ST
73,BCAR3,0.1246734792157177,H3,Hist2ST
74,DNTTIP2,0.10374122224536209,H3,Hist2ST
75,GCLM,0.15570919839786015,H3,Hist2ST
76,ARHGAP29,0.17368245540990118,H3,Hist2ST
77,ABCD3,0.1836166954911529,H3,Hist2ST
78,CNN3,0.17984426886102794,H3,Hist2ST
79,ALG14,0.12744119803657772,H3,Hist2ST
80,TMEM56,0.02022796751484346,H3,Hist2ST
81,SNX7,0.03071477758978989,H3,Hist2ST
82,VCAM1,0.04343914260447555,H3,Hist2ST
83,PSMA5,0.26075508208374476,H3,Hist2ST
84,GSTM3,-0.04460852219088288,H3,Hist2ST
85,CD53,0.269202236624019,H3,Hist2ST
86,ATP5F1,0.18427470195182788,H3,Hist2ST
87,WDR3,0.11959620220755726,H3,Hist2ST
88,PHGDH,0.15949200921885362,H3,Hist2ST
89,CTSS,0.16239709708253325,H3,Hist2ST
90,CTSK,0.12183678854345736,H3,Hist2ST
91,SCNM1,0.11448533601744153,H3,Hist2ST
92,S100A8,0.11759584629251951,H3,Hist2ST
93,S100A14,0.03271328891723637,H3,Hist2ST
94,S100A1,0.02787117193337399,H3,Hist2ST
95,CREB3L4,0.22164013785837028,H3,Hist2ST
96,CKS1B,0.061878519144578495,H3,Hist2ST
97,EFNA3,0.13478167525595006,H3,Hist2ST
98,RIT1,0.031052096886289758,H3,Hist2ST
99,CRABP2,0.17393298934824364,H3,Hist2ST
100,IFI16,0.17526501628205082,H3,Hist2ST
101,USF1,0.15095789626981201,H3,Hist2ST
