,Gene,Pearson correlation,Slide,Method
0,ISG15,0.016489474653887955,A5,His2gene
1,PLA2G2D,-0.04329012846918372,A5,His2gene
2,CAMK2N1,0.021061002441054456,A5,His2gene
3,USP48,-0.024471105281477737,A5,His2gene
4,TCEA3,0.05005814215643864,A5,His2gene
5,PNRC2,0.14237861583278416,A5,His2gene
6,LDLRAP1,-0.1322540876917628,A5,His2gene
7,IFI6,-0.006817740378509289,A5,His2gene
8,ZBTB8OS,0.008058590282005833,A5,His2gene
9,RBBP4,0.030831053655957112,A5,His2gene
10,PSMB2,0.034832286009099614,A5,His2gene
11,GNL2,0.11792502077774888,A5,His2gene
12,SF3A3,-0.05238704618676602,A5,His2gene
13,UTP11,0.010012949162988505,A5,His2gene
14,AKIRIN1,0.05182345128436559,A5,His2gene
15,MFSD2A,0.12077984181528936,A5,His2gene
16,CAP1,0.061904934744963336,A5,His2gene
17,CTPS1,0.06739515369058673,A5,His2gene
18,PPCS,0.23976866624321425,A5,His2gene
19,PPIH,0.06958799130471505,A5,His2gene
20,YBX1,-0.056770916025724386,A5,His2gene
21,EBNA1BP2,0.052654262224905796,A5,His2gene
22,CDC20,-0.0016184392527707342,A5,His2gene
23,PTPRF,-0.08662360156642486,A5,His2gene
24,KDM4A,0.09199460722063267,A5,His2gene
25,EIF2B3,-0.020590217902692595,A5,His2gene
26,NASP,0.17830519252944016,A5,His2gene
27,GPBP1L1,0.17351724286812914,A5,His2gene
28,TSPAN1,0.02547974760847603,A5,His2gene
29,RAD54L,-0.016121537959087856,A5,His2gene
30,LRRC41,0.040322859755288876,A5,His2gene
31,UQCRH,0.10288570929228502,A5,His2gene
32,CMPK1,0.15017776414309109,A5,His2gene
33,RNF11,0.07936384467361436,A5,His2gene
34,TTC39A,0.08443580613679867,A5,His2gene
35,TXNDC12,0.0577834977512508,A5,His2gene
36,PRPF38A,-0.025746110707335106,A5,His2gene
37,SCP2,0.1419972787159598,A5,His2gene
38,C1orf123,0.05868210558992093,A5,His2gene
39,MAGOH,0.10651975490068412,A5,His2gene
40,NDC1,0.10695341614840556,A5,His2gene
41,HSPB11,0.12152416696764906,A5,His2gene
42,TMEM59,0.05664591811163646,A5,His2gene
43,SSBP3,-0.0052356124300442786,A5,His2gene
44,TACSTD2,0.22789345746675466,A5,His2gene
45,MYSM1,-0.00782724910250426,A5,His2gene
46,TM2D1,-0.023736067188950116,A5,His2gene
47,PATJ,0.0851483736415534,A5,His2gene
48,USP1,0.071713221615296,A5,His2gene
49,JAK1,-0.09293696536190749,A5,His2gene
50,LEPROT,-0.10517943872834476,A5,His2gene
51,GNG12,0.09723322147180971,A5,His2gene
52,SRSF11,0.03552339609152003,A5,His2gene
53,USP33,0.04436974038726385,A5,His2gene
54,IFI44L,0.04686817337291792,A5,His2gene
55,IFI44,0.08687440224363786,A5,His2gene
56,GNG5,0.05638609033269694,A5,His2gene
57,SEP15,0.04801456694227833,A5,His2gene
58,LMO4,-0.05568599765869235,A5,His2gene
59,GTF2B,0.16750897759611974,A5,His2gene
60,GBP3,0.012882235248779562,A5,His2gene
61,GBP1,0.10153739626202318,A5,His2gene
62,GBP2,0.05035973707292806,A5,His2gene
63,GBP5,0.05064069156790951,A5,His2gene
64,LRRC8B,-0.01620806847354447,A5,His2gene
65,LRRC8D,-0.014704774565992281,A5,His2gene
66,CDC7,0.028038629978480622,A5,His2gene
67,GLMN,0.12996441144943005,A5,His2gene
68,MTF2,0.17027930304953487,A5,His2gene
69,TMED5,0.11849991558947691,A5,His2gene
70,CCDC18,0.03772908331283695,A5,His2gene
71,DR1,0.10002874539358737,A5,His2gene
72,FNBP1L,0.16209761103203452,A5,His2gene
73,BCAR3,0.18582715715670073,A5,His2gene
74,DNTTIP2,0.08196541833918178,A5,His2gene
75,GCLM,0.03697739210614448,A5,His2gene
76,ARHGAP29,0.025497207673282403,A5,His2gene
77,ABCD3,0.07899677602865471,A5,His2gene
78,CNN3,0.144178807405762,A5,His2gene
79,ALG14,0.11276840474644903,A5,His2gene
80,TMEM56,-0.041012413736628464,A5,His2gene
81,SNX7,0.042310586175800385,A5,His2gene
82,VCAM1,-0.020881688337236665,A5,His2gene
83,PSMA5,0.05592351186130439,A5,His2gene
84,GSTM3,0.03965141503011028,A5,His2gene
85,CD53,0.08086518664279066,A5,His2gene
86,ATP5F1,0.06174195199457091,A5,His2gene
87,WDR3,0.12637482018215196,A5,His2gene
88,PHGDH,0.10381564094369078,A5,His2gene
89,CTSS,0.030798754514303996,A5,His2gene
90,CTSK,0.01199805785865541,A5,His2gene
91,SCNM1,-0.036880597696205,A5,His2gene
92,S100A8,-0.02776151094579221,A5,His2gene
93,S100A14,-0.09814744901079997,A5,His2gene
94,S100A1,-0.06360100939299362,A5,His2gene
95,CREB3L4,0.1179170486325235,A5,His2gene
96,CKS1B,0.06343225958469981,A5,His2gene
97,EFNA3,-0.03292845338570536,A5,His2gene
98,RIT1,-0.01156361151657853,A5,His2gene
99,CRABP2,0.007319779576829635,A5,His2gene
100,IFI16,-0.12410551155013631,A5,His2gene
101,USF1,0.012334609255037984,A5,His2gene
102,OLFML2B,-0.045348502042354785,A5,His2gene
103,MPC2,0.04470585342915516,A5,His2gene
104,ATP1B1,-0.04938101978166758,A5,His2gene
105,RABGAP1L,0.033706414340872744,A5,His2gene
106,CACYBP,0.09875740891324306,A5,His2gene
107,XPR1,0.040556380423756394,A5,His2gene
108,LAMC1,-0.05294359933167017,A5,His2gene
109,C1orf21,0.04866692113603516,A5,His2gene
110,TPR,0.12861993053432855,A5,His2gene
111,PTPRC,0.015459620844464022,A5,His2gene
112,UBE2T,0.1847788632485004,A5,His2gene
113,NUCKS1,0.14431347715122297,A5,His2gene
114,ATF3,0.03940577506852669,A5,His2gene
115,CENPF,0.07330791309141621,A5,His2gene
116,KCTD3,0.05652706671486899,A5,His2gene
117,LYPLAL1,0.010175110924720057,A5,His2gene
118,IARS2,0.13037032711488689,A5,His2gene
119,CNIH4,0.09574014156445748,A5,His2gene
120,NUP133,0.04350391990420319,A5,His2gene
121,ARID4B,0.02486534029477175,A5,His2gene
122,CHML,0.05234678215971156,A5,His2gene
123,SCCPDH,0.06550651460368015,A5,His2gene
124,ATP5C1,0.07597879205947482,A5,His2gene
125,GATA3,0.05220468213843006,A5,His2gene
126,FAM107B,-0.06716697485735096,A5,His2gene
127,HSPA14,0.060382039056852785,A5,His2gene
128,NEBL,0.12350056938789183,A5,His2gene
129,BAMBI,0.1085343205533799,A5,His2gene
130,ARHGAP12,0.035781873065569514,A5,His2gene
131,DKK1,-0.009614789030762398,A5,His2gene
132,ZWINT,0.19178297545050332,A5,His2gene
133,ANK3,0.13492559280992178,A5,His2gene
134,CDK1,0.08313203508833605,A5,His2gene
135,HERC4,0.13569497586865953,A5,His2gene
136,SRGN,-0.041428377675056416,A5,His2gene
137,H2AFY2,0.08526998708003647,A5,His2gene
138,ADK,0.07173325768431521,A5,His2gene
139,DLG5,0.01462425014707065,A5,His2gene
140,PLAC9,0.09090163251223521,A5,His2gene
141,GHITM,0.18311454347850914,A5,His2gene
142,SNCG,0.03836042426272909,A5,His2gene
143,ADIRF,0.01484284170855695,A5,His2gene
144,IFIT3,-0.04797812235456597,A5,His2gene
145,FRA10AC1,-0.0024508312919044786,A5,His2gene
146,EXOSC1,0.02679259765167058,A5,His2gene
147,SCD,0.19931540514006135,A5,His2gene
148,ARL3,0.07301671686237055,A5,His2gene
149,ADD3,-0.012286395240059502,A5,His2gene
150,DUSP5,0.20675156601579867,A5,His2gene
151,FAM204A,-0.00912243174271769,A5,His2gene
