,Gene,Pearson correlation,Slide,Method
0,ISG15,0.07342117651230828,B1,His2gene
1,PLA2G2D,0.2426271224040401,B1,His2gene
2,CAMK2N1,0.00920343109057745,B1,His2gene
3,USP48,0.2104640039361537,B1,His2gene
4,TCEA3,0.2366749234749562,B1,His2gene
5,PNRC2,0.3192810081760116,B1,His2gene
6,LDLRAP1,0.34902309586094876,B1,His2gene
7,IFI6,0.3039253338058328,B1,His2gene
8,ZBTB8OS,0.19912441429473998,B1,His2gene
9,RBBP4,0.35652152806738485,B1,His2gene
10,PSMB2,0.3893568377056401,B1,His2gene
11,GNL2,0.3840145555164406,B1,His2gene
12,SF3A3,0.2295888622416225,B1,His2gene
13,UTP11,0.09424259607580968,B1,His2gene
14,AKIRIN1,0.04236043656691365,B1,His2gene
15,MFSD2A,0.10104757458013985,B1,His2gene
16,CAP1,0.1395298243706002,B1,His2gene
17,CTPS1,0.21089455222277964,B1,His2gene
18,PPCS,0.45193837864605313,B1,His2gene
19,PPIH,0.26819962500915423,B1,His2gene
20,YBX1,0.21017734139596445,B1,His2gene
21,EBNA1BP2,0.40832840191168474,B1,His2gene
22,CDC20,0.24249794635509836,B1,His2gene
23,PTPRF,0.3175914725755349,B1,His2gene
24,KDM4A,0.1933700729128132,B1,His2gene
25,EIF2B3,0.14842981903777464,B1,His2gene
26,NASP,0.30781447840513865,B1,His2gene
27,GPBP1L1,0.2937180331656466,B1,His2gene
28,TSPAN1,0.022448780361212804,B1,His2gene
29,RAD54L,0.2607307966600423,B1,His2gene
30,LRRC41,0.3940647128001215,B1,His2gene
31,UQCRH,0.4380584622207946,B1,His2gene
32,CMPK1,0.3402625568770709,B1,His2gene
33,RNF11,0.3255908371791701,B1,His2gene
34,TTC39A,0.34140004649756406,B1,His2gene
35,TXNDC12,0.2444377702911329,B1,His2gene
36,PRPF38A,0.03888149935552893,B1,His2gene
37,SCP2,0.3163845263101867,B1,His2gene
38,C1orf123,0.18968327787283285,B1,His2gene
39,MAGOH,0.272903376159187,B1,His2gene
40,NDC1,0.157887995943953,B1,His2gene
41,HSPB11,0.2403721624047353,B1,His2gene
42,TMEM59,0.4092172703146855,B1,His2gene
43,SSBP3,0.10032464163252157,B1,His2gene
44,TACSTD2,0.37071795360372034,B1,His2gene
45,MYSM1,0.09419887477813094,B1,His2gene
46,TM2D1,0.17098859970948083,B1,His2gene
47,PATJ,0.055225466205175294,B1,His2gene
48,USP1,0.1966689467174873,B1,His2gene
49,JAK1,0.09172035099886346,B1,His2gene
50,LEPROT,0.04486522607716999,B1,His2gene
51,GNG12,0.2750449023389122,B1,His2gene
52,SRSF11,0.17603498283824548,B1,His2gene
53,USP33,0.1502831583785273,B1,His2gene
54,IFI44L,-0.03591668586056303,B1,His2gene
55,IFI44,0.2610359844682013,B1,His2gene
56,GNG5,0.34094133873840166,B1,His2gene
57,SEP15,0.2955041718457276,B1,His2gene
58,LMO4,-0.07383100953360619,B1,His2gene
59,GTF2B,0.2760062182172659,B1,His2gene
60,GBP3,0.5248604123233529,B1,His2gene
61,GBP1,0.3837827683521082,B1,His2gene
62,GBP2,0.24351074055829072,B1,His2gene
63,GBP5,0.28831816120113624,B1,His2gene
64,LRRC8B,0.18426265416307203,B1,His2gene
65,LRRC8D,0.19361494269479493,B1,His2gene
66,CDC7,0.05234303571365143,B1,His2gene
67,GLMN,0.23751867798605786,B1,His2gene
68,MTF2,0.02712773898472963,B1,His2gene
69,TMED5,0.4067394619968122,B1,His2gene
70,CCDC18,0.020988865742953784,B1,His2gene
71,DR1,0.34527906566594246,B1,His2gene
72,FNBP1L,0.26781324070780643,B1,His2gene
73,BCAR3,0.2904664407067884,B1,His2gene
74,DNTTIP2,0.02909583961385815,B1,His2gene
75,GCLM,0.18313198278623283,B1,His2gene
76,ARHGAP29,-0.012272442115705287,B1,His2gene
77,ABCD3,0.2777322067484075,B1,His2gene
78,CNN3,0.14436524545777218,B1,His2gene
79,ALG14,0.1387946248699959,B1,His2gene
80,TMEM56,0.13188895559453914,B1,His2gene
81,SNX7,0.1689323103292955,B1,His2gene
82,VCAM1,0.20718252126030767,B1,His2gene
83,PSMA5,0.23096002935502027,B1,His2gene
84,GSTM3,0.13479890435738834,B1,His2gene
85,CD53,0.25041378565320915,B1,His2gene
86,ATP5F1,0.3636776518513861,B1,His2gene
87,WDR3,0.06303421910056928,B1,His2gene
88,PHGDH,0.18590510775794417,B1,His2gene
89,CTSS,0.39923532291584257,B1,His2gene
90,CTSK,-0.01802225641312251,B1,His2gene
91,SCNM1,0.08711168017460225,B1,His2gene
92,S100A8,0.22397434750235717,B1,His2gene
93,S100A14,0.12934475856153804,B1,His2gene
94,S100A1,-0.08856234347805599,B1,His2gene
95,CREB3L4,0.2935373116884788,B1,His2gene
96,CKS1B,0.41073975756220804,B1,His2gene
97,EFNA3,0.074452910650262,B1,His2gene
98,RIT1,0.18256871773110678,B1,His2gene
99,CRABP2,0.19977470586817386,B1,His2gene
100,IFI16,0.19278185953951016,B1,His2gene
101,USF1,0.03349506883541509,B1,His2gene
102,OLFML2B,0.1871026406062081,B1,His2gene
103,MPC2,0.3493191657431358,B1,His2gene
104,ATP1B1,0.3878716763102198,B1,His2gene
105,RABGAP1L,0.22571622058284102,B1,His2gene
106,CACYBP,0.39420008586821964,B1,His2gene
107,XPR1,0.26850896827510184,B1,His2gene
108,LAMC1,0.10992318252497965,B1,His2gene
109,C1orf21,0.38492460064325795,B1,His2gene
110,TPR,0.27449210693124043,B1,His2gene
111,PTPRC,0.1646726574450592,B1,His2gene
112,UBE2T,0.339417845318794,B1,His2gene
113,NUCKS1,0.04444735477837601,B1,His2gene
