,Gene,Pearson correlation,Slide,Method
0,ISG15,0.019729816939833868,C1,His2gene
1,PLA2G2D,-0.03951040570587211,C1,His2gene
2,CAMK2N1,0.09579365484083749,C1,His2gene
3,USP48,0.09813781176053618,C1,His2gene
4,TCEA3,0.08173980334567091,C1,His2gene
5,PNRC2,-0.07759116199655243,C1,His2gene
6,LDLRAP1,0.13416276050185982,C1,His2gene
7,IFI6,0.23931563153228205,C1,His2gene
8,ZBTB8OS,0.13868952478456423,C1,His2gene
9,RBBP4,0.10141643688156596,C1,His2gene
10,PSMB2,0.24901758675317034,C1,His2gene
11,GNL2,0.16744435685562278,C1,His2gene
12,SF3A3,0.039064193528817445,C1,His2gene
13,UTP11,0.0714919610319086,C1,His2gene
14,AKIRIN1,0.06556271405513892,C1,His2gene
15,MFSD2A,0.1593987983463426,C1,His2gene
16,CAP1,0.1834437672839938,C1,His2gene
17,CTPS1,0.16669661045801998,C1,His2gene
18,PPCS,0.2081511635217187,C1,His2gene
19,PPIH,0.20343561150691405,C1,His2gene
20,YBX1,0.25220589788207737,C1,His2gene
21,EBNA1BP2,0.19164516823247837,C1,His2gene
22,CDC20,0.20043352064658426,C1,His2gene
23,PTPRF,0.17487283591973804,C1,His2gene
24,KDM4A,0.18973606537926826,C1,His2gene
25,EIF2B3,0.0033360668694816242,C1,His2gene
26,NASP,0.2708613333833174,C1,His2gene
27,GPBP1L1,0.05447537097898954,C1,His2gene
28,TSPAN1,0.03624628004156471,C1,His2gene
29,RAD54L,0.1693276232283259,C1,His2gene
30,LRRC41,0.18974773439130657,C1,His2gene
31,UQCRH,0.38746780213959564,C1,His2gene
32,CMPK1,0.26076546329999456,C1,His2gene
33,RNF11,0.271095876382293,C1,His2gene
34,TTC39A,-0.0011688967446612936,C1,His2gene
35,TXNDC12,0.1303322772270485,C1,His2gene
36,PRPF38A,0.08415513608092727,C1,His2gene
37,SCP2,0.3402568563312989,C1,His2gene
38,C1orf123,0.12873734256980152,C1,His2gene
39,MAGOH,0.32045346544252373,C1,His2gene
40,NDC1,0.13788729682545336,C1,His2gene
41,HSPB11,0.25920345900983405,C1,His2gene
42,TMEM59,0.20469720088562604,C1,His2gene
43,SSBP3,0.13647163409666208,C1,His2gene
44,TACSTD2,0.43374042251941697,C1,His2gene
45,MYSM1,0.20895064439155664,C1,His2gene
46,TM2D1,-0.038271329747000905,C1,His2gene
47,PATJ,0.02612498094674088,C1,His2gene
48,USP1,0.12066503943492721,C1,His2gene
49,JAK1,0.24626906430618906,C1,His2gene
50,LEPROT,0.17931745972841712,C1,His2gene
51,GNG12,0.10739894549771453,C1,His2gene
52,SRSF11,0.20301215317503665,C1,His2gene
53,USP33,0.13774559596679897,C1,His2gene
54,IFI44L,0.03762786729491238,C1,His2gene
55,IFI44,0.157250244703853,C1,His2gene
56,GNG5,0.23483630226778252,C1,His2gene
57,SEP15,0.15333042505527342,C1,His2gene
58,LMO4,0.23544324329192512,C1,His2gene
59,GTF2B,0.28875840534365427,C1,His2gene
60,GBP3,0.06947338254540769,C1,His2gene
61,GBP1,-0.013189289891388466,C1,His2gene
62,GBP2,0.17582472080907657,C1,His2gene
63,GBP5,-0.00115400122857175,C1,His2gene
64,LRRC8B,0.07410991227826191,C1,His2gene
65,LRRC8D,0.0910872216361507,C1,His2gene
66,CDC7,0.03644421375730797,C1,His2gene
67,GLMN,0.01954553964655034,C1,His2gene
68,MTF2,0.004251050313848488,C1,His2gene
69,TMED5,0.16181082077474074,C1,His2gene
70,CCDC18,0.08178219771131745,C1,His2gene
71,DR1,0.062137230670223705,C1,His2gene
72,FNBP1L,0.03849419484611625,C1,His2gene
73,BCAR3,0.03386299082527052,C1,His2gene
74,DNTTIP2,-0.008565680942053693,C1,His2gene
75,GCLM,0.030273652404617754,C1,His2gene
76,ARHGAP29,-0.03016697033344623,C1,His2gene
77,ABCD3,-0.03879016724859234,C1,His2gene
78,CNN3,-0.1062426992377801,C1,His2gene
79,ALG14,0.014832257655181074,C1,His2gene
80,TMEM56,0.008048028602349256,C1,His2gene
81,SNX7,0.0918189140055532,C1,His2gene
82,VCAM1,0.06609634396461382,C1,His2gene
83,PSMA5,0.15535544068551288,C1,His2gene
84,GSTM3,0.07256455680626402,C1,His2gene
85,CD53,0.09435709643207761,C1,His2gene
86,ATP5F1,0.0787499884186855,C1,His2gene
87,WDR3,0.06310344182668422,C1,His2gene
88,PHGDH,0.224957317431638,C1,His2gene
89,CTSS,0.10258190874893165,C1,His2gene
90,CTSK,0.022454198147346543,C1,His2gene
91,SCNM1,0.1730890220573818,C1,His2gene
92,S100A8,0.03220940513447893,C1,His2gene
93,S100A14,0.11236150514302443,C1,His2gene
94,S100A1,-0.00949954290633434,C1,His2gene
95,CREB3L4,0.3790311287298847,C1,His2gene
96,CKS1B,0.025965748530318425,C1,His2gene
97,EFNA3,0.1648197258884308,C1,His2gene
98,RIT1,0.14611752067937495,C1,His2gene
99,CRABP2,-0.03259493753175089,C1,His2gene
100,IFI16,-0.026767947257426213,C1,His2gene
101,USF1,0.11987984579496491,C1,His2gene
102,OLFML2B,0.0026893288612268133,C1,His2gene
103,MPC2,0.18484014107659552,C1,His2gene
104,ATP1B1,0.3185639195929482,C1,His2gene
105,RABGAP1L,0.21409367493788004,C1,His2gene
106,CACYBP,0.19573824237086368,C1,His2gene
107,XPR1,0.17641023665312788,C1,His2gene
108,LAMC1,0.09859532902319562,C1,His2gene
109,C1orf21,0.0026480298737542735,C1,His2gene
110,TPR,0.19418821931875357,C1,His2gene
111,PTPRC,-0.05712015649624749,C1,His2gene
112,UBE2T,0.11356083099453557,C1,His2gene
113,NUCKS1,0.1590794893380225,C1,His2gene
114,ATF3,0.03923946748067762,C1,His2gene
115,CENPF,0.05256956375687539,C1,His2gene
116,KCTD3,0.28326437145693056,C1,His2gene
117,LYPLAL1,0.21151942799677761,C1,His2gene
118,IARS2,0.27229529892569526,C1,His2gene
119,CNIH4,0.29250233972900536,C1,His2gene
120,NUP133,0.17561569958579054,C1,His2gene
121,ARID4B,-0.02780110250841273,C1,His2gene
122,CHML,0.24901923500509301,C1,His2gene
123,SCCPDH,0.04863188965219328,C1,His2gene
124,ATP5C1,0.297548833619255,C1,His2gene
125,GATA3,0.23270034461479272,C1,His2gene
126,FAM107B,0.19030791462854857,C1,His2gene
127,HSPA14,0.23601584504894196,C1,His2gene
128,NEBL,0.19369477205108535,C1,His2gene
129,BAMBI,0.18596325443400707,C1,His2gene
130,ARHGAP12,0.2453235012822626,C1,His2gene
131,DKK1,0.12689489538190102,C1,His2gene
132,ZWINT,0.2312607151676832,C1,His2gene
133,ANK3,0.09665183699910591,C1,His2gene
134,CDK1,0.13086495593925473,C1,His2gene
135,HERC4,-0.06912088969837711,C1,His2gene
136,SRGN,0.1096056269584551,C1,His2gene
137,H2AFY2,0.1933494631150653,C1,His2gene
138,ADK,0.06526363285991421,C1,His2gene
139,DLG5,0.12218700569840718,C1,His2gene
140,PLAC9,-0.028798659994624283,C1,His2gene
141,GHITM,0.15624798909446572,C1,His2gene
142,SNCG,0.05310365321538087,C1,His2gene
143,ADIRF,-0.017032690555900256,C1,His2gene
144,IFIT3,-0.05444905446338725,C1,His2gene
145,FRA10AC1,0.16110551242847343,C1,His2gene
146,EXOSC1,0.14240512823779566,C1,His2gene
147,SCD,0.26733881880477117,C1,His2gene
148,ARL3,0.1332016308580511,C1,His2gene
