,Gene,Pearson correlation,Slide,Method
0,ISG15,-0.19205036968352884,D3,His2gene
1,PLA2G2D,-0.095738838951067,D3,His2gene
2,CAMK2N1,0.12061613684137815,D3,His2gene
3,USP48,0.05814277615889949,D3,His2gene
4,TCEA3,0.13247048833005418,D3,His2gene
5,PNRC2,0.0999475743793234,D3,His2gene
6,LDLRAP1,0.06891106544708006,D3,His2gene
7,IFI6,-0.12141599511618603,D3,His2gene
8,ZBTB8OS,0.10133755245250226,D3,His2gene
9,RBBP4,0.06679570702332482,D3,His2gene
10,PSMB2,0.2428685499798972,D3,His2gene
11,GNL2,0.23494883085672072,D3,His2gene
12,SF3A3,0.06218461241846135,D3,His2gene
13,UTP11,0.10108617844741753,D3,His2gene
14,AKIRIN1,0.06687374027069246,D3,His2gene
15,MFSD2A,0.16830791823743302,D3,His2gene
16,CAP1,0.19102473446590235,D3,His2gene
17,CTPS1,0.1595326566124395,D3,His2gene
18,PPCS,0.05167960282270093,D3,His2gene
19,PPIH,0.2070309439478876,D3,His2gene
20,YBX1,0.10399729003236992,D3,His2gene
21,EBNA1BP2,0.2463058843716041,D3,His2gene
22,CDC20,0.06937054215960174,D3,His2gene
23,PTPRF,0.32950457378874576,D3,His2gene
24,KDM4A,0.09701282145609025,D3,His2gene
25,EIF2B3,0.074998628384179,D3,His2gene
26,NASP,0.2639421457190405,D3,His2gene
27,GPBP1L1,0.15136665325029183,D3,His2gene
28,TSPAN1,0.18301862726799528,D3,His2gene
29,RAD54L,0.06668204537878064,D3,His2gene
30,LRRC41,0.05913445589729357,D3,His2gene
31,UQCRH,0.22698329101047204,D3,His2gene
32,CMPK1,0.10297262429589962,D3,His2gene
33,RNF11,0.20165119800815756,D3,His2gene
34,TTC39A,0.14291929791861094,D3,His2gene
35,TXNDC12,0.20608046484878031,D3,His2gene
36,PRPF38A,0.12164198112115907,D3,His2gene
37,SCP2,0.2629400325043155,D3,His2gene
38,C1orf123,-0.06018388179659385,D3,His2gene
39,MAGOH,0.30834611443978077,D3,His2gene
40,NDC1,0.11033904065968615,D3,His2gene
41,HSPB11,0.19314749365527412,D3,His2gene
42,TMEM59,0.13428505628710657,D3,His2gene
43,SSBP3,0.11827582011436831,D3,His2gene
44,TACSTD2,0.3774481612659233,D3,His2gene
45,MYSM1,0.011829141151894387,D3,His2gene
46,TM2D1,0.07394859481608543,D3,His2gene
47,PATJ,0.03621960533741977,D3,His2gene
48,USP1,0.15265433684625057,D3,His2gene
49,JAK1,0.12923659058141773,D3,His2gene
50,LEPROT,0.005243460058336851,D3,His2gene
51,GNG12,0.07459606103380617,D3,His2gene
52,SRSF11,0.06100293151914546,D3,His2gene
53,USP33,0.0809282693059644,D3,His2gene
54,IFI44L,-0.035800206680631726,D3,His2gene
55,IFI44,0.001044058908161137,D3,His2gene
56,GNG5,0.21457480541390284,D3,His2gene
57,SEP15,0.17736693585289104,D3,His2gene
58,LMO4,-0.04267392641031435,D3,His2gene
59,GTF2B,-0.004620987121412994,D3,His2gene
60,GBP3,-0.05087621793659961,D3,His2gene
61,GBP1,0.16470297610677326,D3,His2gene
62,GBP2,0.19080701110671439,D3,His2gene
63,GBP5,0.01652678963089404,D3,His2gene
64,LRRC8B,0.02105266519202542,D3,His2gene
65,LRRC8D,-0.009624676591967644,D3,His2gene
66,CDC7,-0.034988465209948014,D3,His2gene
67,GLMN,-0.0011362184097079581,D3,His2gene
68,MTF2,-0.08636077302002093,D3,His2gene
69,TMED5,0.14563602128318498,D3,His2gene
70,CCDC18,-0.03912449100687336,D3,His2gene
71,DR1,0.05755419937687166,D3,His2gene
72,FNBP1L,0.2653240696334838,D3,His2gene
73,BCAR3,0.15819562524102593,D3,His2gene
74,DNTTIP2,0.17368286825706175,D3,His2gene
75,GCLM,0.003883460040004831,D3,His2gene
76,ARHGAP29,0.10500883885863038,D3,His2gene
77,ABCD3,0.20062720443414822,D3,His2gene
78,CNN3,0.061702581463334544,D3,His2gene
79,ALG14,0.009514542610136269,D3,His2gene
80,TMEM56,-0.005865173680216932,D3,His2gene
81,SNX7,0.04098582468956398,D3,His2gene
82,VCAM1,0.10563789718671915,D3,His2gene
83,PSMA5,0.15943997807603422,D3,His2gene
84,GSTM3,0.04729474467242155,D3,His2gene
85,CD53,-0.04262324255028881,D3,His2gene
86,ATP5F1,0.1419081391053327,D3,His2gene
