,Gene,Pearson correlation,Slide,Method
0,ISG15,0.11132500254733974,E3,His2gene
1,PLA2G2D,-0.01443844415446428,E3,His2gene
2,CAMK2N1,-0.02060997867654616,E3,His2gene
3,USP48,0.015000264274822598,E3,His2gene
4,TCEA3,0.08661121946720035,E3,His2gene
5,PNRC2,0.015509454277171632,E3,His2gene
6,LDLRAP1,-0.048680904621238835,E3,His2gene
7,IFI6,-0.02321626515068207,E3,His2gene
8,ZBTB8OS,0.0038681381355420777,E3,His2gene
9,RBBP4,-0.0002231237616008297,E3,His2gene
10,PSMB2,0.005033606836872127,E3,His2gene
11,GNL2,0.026456703450265864,E3,His2gene
12,SF3A3,-0.015538789162023031,E3,His2gene
13,UTP11,-0.006783848265002295,E3,His2gene
14,AKIRIN1,0.07791939665374255,E3,His2gene
15,MFSD2A,-0.10928301316411348,E3,His2gene
16,CAP1,0.034470423835284134,E3,His2gene
17,CTPS1,-0.056688663132095786,E3,His2gene
18,PPCS,0.01643954060673035,E3,His2gene
19,PPIH,0.04444080660853897,E3,His2gene
20,YBX1,-0.029211520482426135,E3,His2gene
21,EBNA1BP2,-0.011666693516417432,E3,His2gene
22,CDC20,-0.017129436817937573,E3,His2gene
23,PTPRF,-0.036317460775181144,E3,His2gene
24,KDM4A,0.01985664428343257,E3,His2gene
25,EIF2B3,-0.018734126369158804,E3,His2gene
26,NASP,0.0796528459089341,E3,His2gene
27,GPBP1L1,0.0029916771506217493,E3,His2gene
28,TSPAN1,0.04970369428439735,E3,His2gene
29,RAD54L,0.017110296962226323,E3,His2gene
30,LRRC41,0.059252773374858306,E3,His2gene
31,UQCRH,-0.007225541795922594,E3,His2gene
32,CMPK1,0.04778703360339824,E3,His2gene
33,RNF11,0.016671993508033573,E3,His2gene
34,TTC39A,-0.03792290870383812,E3,His2gene
35,TXNDC12,0.08930607242967308,E3,His2gene
36,PRPF38A,0.05267081200250644,E3,His2gene
37,SCP2,-0.010800877180515794,E3,His2gene
38,C1orf123,-0.02843456804518136,E3,His2gene
39,MAGOH,0.05373780666994565,E3,His2gene
40,NDC1,-0.05666513825450606,E3,His2gene
41,HSPB11,0.02299029079645004,E3,His2gene
42,TMEM59,0.05447251406960505,E3,His2gene
43,SSBP3,-0.048861071885526866,E3,His2gene
44,TACSTD2,-0.05715807621879923,E3,His2gene
45,MYSM1,-0.03276717911557934,E3,His2gene
46,TM2D1,-0.09026076157568713,E3,His2gene
47,PATJ,0.018934503475626124,E3,His2gene
48,USP1,0.022453728802877517,E3,His2gene
49,JAK1,-0.07012220806293981,E3,His2gene
50,LEPROT,-0.009280696619555485,E3,His2gene
51,GNG12,-0.11600919557576292,E3,His2gene
52,SRSF11,0.020329176498461627,E3,His2gene
53,USP33,-0.003616342296221075,E3,His2gene
54,IFI44L,0.01637333422051776,E3,His2gene
55,IFI44,0.032081298647351306,E3,His2gene
56,GNG5,0.003292138369155588,E3,His2gene
57,SEP15,-0.02135188819892208,E3,His2gene
58,LMO4,0.04012082940655086,E3,His2gene
59,GTF2B,0.0159236657433448,E3,His2gene
60,GBP3,0.001262284041541932,E3,His2gene
61,GBP1,0.08161397445561987,E3,His2gene
62,GBP2,-0.007439413416973833,E3,His2gene
63,GBP5,0.05219279539184348,E3,His2gene
64,LRRC8B,0.01696462664971543,E3,His2gene
65,LRRC8D,0.08169586480620819,E3,His2gene
66,CDC7,0.004411221977326189,E3,His2gene
67,GLMN,0.027256931523080688,E3,His2gene
68,MTF2,-0.00359197236003711,E3,His2gene
69,TMED5,-0.0770897976653332,E3,His2gene
70,CCDC18,-0.02856405217241402,E3,His2gene
71,DR1,0.07384426036525449,E3,His2gene
72,FNBP1L,-0.03791564289604796,E3,His2gene
73,BCAR3,-0.00948593311296985,E3,His2gene
74,DNTTIP2,-0.009036984438588604,E3,His2gene
75,GCLM,-0.013324097480754969,E3,His2gene
76,ARHGAP29,-0.0052392054965446164,E3,His2gene
77,ABCD3,0.035767543953239514,E3,His2gene
78,CNN3,-0.05839763702150276,E3,His2gene
79,ALG14,-0.04901601261424139,E3,His2gene
80,TMEM56,-0.05528492985824662,E3,His2gene
81,SNX7,0.02218252531630921,E3,His2gene
82,VCAM1,0.02396301688270641,E3,His2gene
83,PSMA5,0.03454507055284516,E3,His2gene
84,GSTM3,-0.03751634278176613,E3,His2gene
85,CD53,-0.014505801199165926,E3,His2gene
86,ATP5F1,0.01871353927993126,E3,His2gene
87,WDR3,-0.004640223728028308,E3,His2gene
88,PHGDH,0.08413758235795626,E3,His2gene
89,CTSS,-0.05226886235351755,E3,His2gene
90,CTSK,0.012732901414015254,E3,His2gene
