,Gene,Pearson correlation,Slide,Method
0,ISG15,-0.03691217242070174,F2,His2gene
1,PLA2G2D,-0.0569986914747948,F2,His2gene
2,CAMK2N1,-0.022419011393882714,F2,His2gene
3,USP48,0.07601133043082982,F2,His2gene
4,TCEA3,0.005314833514407506,F2,His2gene
5,PNRC2,0.002671117500908847,F2,His2gene
6,LDLRAP1,0.02486391889118204,F2,His2gene
7,IFI6,-0.07072050877807551,F2,His2gene
8,ZBTB8OS,0.07386974792630314,F2,His2gene
9,RBBP4,-0.008765688348145197,F2,His2gene
10,PSMB2,0.0034671133455719677,F2,His2gene
11,GNL2,0.04567984073407834,F2,His2gene
12,SF3A3,-0.04617347092769445,F2,His2gene
13,UTP11,-0.022713782036839637,F2,His2gene
14,AKIRIN1,0.03385701956328936,F2,His2gene
15,MFSD2A,-0.0026810374542213635,F2,His2gene
16,CAP1,0.001209011056967739,F2,His2gene
17,CTPS1,-0.0461630002703976,F2,His2gene
18,PPCS,-0.04547930453730399,F2,His2gene
19,PPIH,-0.0876323169214668,F2,His2gene
20,YBX1,-0.10548482527299688,F2,His2gene
21,EBNA1BP2,0.02912560674861958,F2,His2gene
22,CDC20,0.053789864321977014,F2,His2gene
23,PTPRF,0.0027762249410899966,F2,His2gene
24,KDM4A,0.04957491572119742,F2,His2gene
25,EIF2B3,-0.008426582028702525,F2,His2gene
26,NASP,0.10814172659952445,F2,His2gene
27,GPBP1L1,0.02579465197191173,F2,His2gene
28,TSPAN1,0.0028348777811561757,F2,His2gene
29,RAD54L,0.060965643632204886,F2,His2gene
30,LRRC41,-0.09797929241040375,F2,His2gene
31,UQCRH,0.04253013091687423,F2,His2gene
32,CMPK1,0.006488782921389425,F2,His2gene
33,RNF11,0.08714187645001938,F2,His2gene
34,TTC39A,0.010768613381106816,F2,His2gene
35,TXNDC12,0.12329549497703106,F2,His2gene
36,PRPF38A,-0.002571211077848728,F2,His2gene
37,SCP2,0.11939804023230788,F2,His2gene
38,C1orf123,-0.0012389902915979434,F2,His2gene
39,MAGOH,0.0303945056256653,F2,His2gene
40,NDC1,0.07063868411633184,F2,His2gene
41,HSPB11,0.02946276978556899,F2,His2gene
42,TMEM59,0.0654776022052775,F2,His2gene
43,SSBP3,-0.008959257307416452,F2,His2gene
44,TACSTD2,0.16214931312969322,F2,His2gene
45,MYSM1,-0.0041185608159744185,F2,His2gene
46,TM2D1,0.006201284343993628,F2,His2gene
47,PATJ,0.05145795621361772,F2,His2gene
48,USP1,0.008945522729273427,F2,His2gene
49,JAK1,-0.04712734052370521,F2,His2gene
50,LEPROT,0.0017878289410057351,F2,His2gene
51,GNG12,0.030107902369472257,F2,His2gene
52,SRSF11,0.03850268735975813,F2,His2gene
53,USP33,0.06589498282898602,F2,His2gene
54,IFI44L,-0.04085567505031586,F2,His2gene
55,IFI44,0.04054134939717067,F2,His2gene
56,GNG5,-0.015663445684613444,F2,His2gene
57,SEP15,-0.02302703636227803,F2,His2gene
58,LMO4,0.030800477831110885,F2,His2gene
59,GTF2B,0.03651150180792706,F2,His2gene
60,GBP3,-0.02205375384595798,F2,His2gene
61,GBP1,0.051543700539648706,F2,His2gene
62,GBP2,0.04238889273122111,F2,His2gene
63,GBP5,0.03806023239722117,F2,His2gene
64,LRRC8B,-0.06733536311370342,F2,His2gene
65,LRRC8D,0.07199254549814663,F2,His2gene
66,CDC7,0.030332300206296636,F2,His2gene
67,GLMN,-0.024405086656462016,F2,His2gene
68,MTF2,0.03270042798148416,F2,His2gene
69,TMED5,0.04179911227168723,F2,His2gene
70,CCDC18,0.038871312858900886,F2,His2gene
71,DR1,0.0018261106836058565,F2,His2gene
72,FNBP1L,0.03897434595088687,F2,His2gene
73,BCAR3,0.06077128530036787,F2,His2gene
74,DNTTIP2,0.017270693748098417,F2,His2gene
75,GCLM,0.022474701864845348,F2,His2gene
76,ARHGAP29,-0.05368781600123929,F2,His2gene
77,ABCD3,0.08729080118270226,F2,His2gene
78,CNN3,-0.00010401009600818738,F2,His2gene
79,ALG14,0.023002446921208064,F2,His2gene
80,TMEM56,0.027495173118218343,F2,His2gene
81,SNX7,0.015049057855122276,F2,His2gene
82,VCAM1,-0.01725107131579408,F2,His2gene
83,PSMA5,-0.05012968593009191,F2,His2gene
84,GSTM3,-0.026203588416305948,F2,His2gene
85,CD53,0.023067089039340252,F2,His2gene
86,ATP5F1,0.0780299092933068,F2,His2gene
87,WDR3,0.04122774272881865,F2,His2gene
88,PHGDH,-0.024498500076550207,F2,His2gene
89,CTSS,0.01521830839942092,F2,His2gene
90,CTSK,-0.03630009609088662,F2,His2gene
91,SCNM1,0.031254888310779584,F2,His2gene
92,S100A8,-0.031835437839902406,F2,His2gene
93,S100A14,-0.0003426102587248958,F2,His2gene
94,S100A1,0.016147417848987405,F2,His2gene
95,CREB3L4,0.018361328026599316,F2,His2gene
96,CKS1B,-0.017445742729605113,F2,His2gene
97,EFNA3,-0.016571237812662804,F2,His2gene
98,RIT1,-0.010030907065869964,F2,His2gene
99,CRABP2,-0.03231233309511694,F2,His2gene
100,IFI16,0.02147668643440501,F2,His2gene
101,USF1,0.02978473180677387,F2,His2gene
102,OLFML2B,0.03786731341967775,F2,His2gene
103,MPC2,-0.009036867325100076,F2,His2gene
104,ATP1B1,0.013062901638899426,F2,His2gene
105,RABGAP1L,0.038887789836150016,F2,His2gene
106,CACYBP,0.09745809195988483,F2,His2gene
107,XPR1,-0.04858627488798874,F2,His2gene
108,LAMC1,-0.012464911738475942,F2,His2gene
109,C1orf21,0.04152242234495843,F2,His2gene
110,TPR,0.07325338148856504,F2,His2gene
111,PTPRC,0.01685771925513182,F2,His2gene
112,UBE2T,0.047937346805262224,F2,His2gene
113,NUCKS1,0.015251446092811233,F2,His2gene
114,ATF3,0.05555122045773418,F2,His2gene
115,CENPF,0.01879735888072831,F2,His2gene
116,KCTD3,0.006522076581671374,F2,His2gene
117,LYPLAL1,0.02967940941384669,F2,His2gene
118,IARS2,0.051494122961650846,F2,His2gene
119,CNIH4,-0.012480464857585418,F2,His2gene
120,NUP133,0.005655668352423822,F2,His2gene
121,ARID4B,-0.008238310817773906,F2,His2gene
122,CHML,0.09333643023560742,F2,His2gene
123,SCCPDH,0.037306212425092765,F2,His2gene
124,ATP5C1,-0.011333252580531422,F2,His2gene
125,GATA3,0.10740858781152164,F2,His2gene
126,FAM107B,-0.0008110227692463903,F2,His2gene
127,HSPA14,0.03555742197129496,F2,His2gene
128,NEBL,0.05049138502056126,F2,His2gene
129,BAMBI,0.011175799153060505,F2,His2gene
130,ARHGAP12,-0.024467376129884127,F2,His2gene
131,DKK1,0.020796566380973762,F2,His2gene
132,ZWINT,0.09335177945677187,F2,His2gene
133,ANK3,0.06420366863622885,F2,His2gene
134,CDK1,0.02627038826142527,F2,His2gene
135,HERC4,0.047506882888732845,F2,His2gene
136,SRGN,0.04848700380135751,F2,His2gene
137,H2AFY2,-0.03255932487772046,F2,His2gene
138,ADK,0.014682625227368021,F2,His2gene
139,DLG5,0.0842853078498977,F2,His2gene
140,PLAC9,0.044443757439921475,F2,His2gene
141,GHITM,0.08208627123894191,F2,His2gene
142,SNCG,0.0428206766417015,F2,His2gene
143,ADIRF,0.005248085157801462,F2,His2gene
144,IFIT3,0.043223592583441536,F2,His2gene
145,FRA10AC1,-0.0270121761969875,F2,His2gene
146,EXOSC1,-0.01392239857922393,F2,His2gene
147,SCD,0.10789378451068221,F2,His2gene
148,ARL3,0.01309891508501958,F2,His2gene
149,ADD3,0.041652576640572675,F2,His2gene
150,DUSP5,0.055115572798757506,F2,His2gene
151,FAM204A,0.03588537572943568,F2,His2gene
152,RGS10,0.002989305066654596,F2,His2gene
153,NSMCE4A,0.053892917487775936,F2,His2gene
154,OAT,0.0836781211865393,F2,His2gene
155,GLRX3,0.006351940496038291,F2,His2gene
156,IFITM2,-0.04246017955293242,F2,His2gene
157,TRIM22,-0.017623875067512312,F2,His2gene
158,DKK3,-0.04427995350351349,F2,His2gene
159,SAA1,0.011364854578165516,F2,His2gene
160,TSG101,0.019829147440791395,F2,His2gene
161,SVIP,0.0705685028136514,F2,His2gene
162,CAPRIN1,-0.04578338701968172,F2,His2gene
163,API5,-0.005655176169840348,F2,His2gene
164,MTCH2,0.03925932856900547,F2,His2gene
165,UBE2L6,0.010857366868331067,F2,His2gene
166,MPEG1,-0.09486973730803439,F2,His2gene
167,MS4A7,-0.042219980053341905,F2,His2gene
168,TMEM258,0.08317060646751309,F2,His2gene
169,FEN1,-0.01838303521770346,F2,His2gene
170,PLA2G16,0.08190885637460164,F2,His2gene
171,CST6,0.030325416577913388,F2,His2gene
172,ALDH3B2,0.07608750257222963,F2,His2gene
173,TESMIN,-0.017886156396729462,F2,His2gene
174,MRPL21,0.040719225224355865,F2,His2gene
175,CCND1,0.009325497406460725,F2,His2gene
176,ORAOV1,0.019229026523911542,F2,His2gene
177,ANO1,-0.0010600179918899832,F2,His2gene
178,FADD,0.015322956511690968,F2,His2gene
179,CTTN,0.09352435926832663,F2,His2gene
180,PRSS23,0.015282428074000126,F2,His2gene
181,BIRC3,0.05701778279134835,F2,His2gene
182,MMP1,-0.016631058638938594,F2,His2gene
183,CASP4,0.0037649217472516426,F2,His2gene
184,CD3D,-0.0005288477719786085,F2,His2gene
185,THYN1,0.0646043435891949,F2,His2gene
186,SCNN1A,-0.005046339613893121,F2,His2gene
187,RIMKLB,0.060865098150657104,F2,His2gene
188,MAGOHB,-0.01962331225912824,F2,His2gene
189,GPRC5A,-0.014727224980718635,F2,His2gene
190,MGP,-0.047301291593864536,F2,His2gene
191,C12orf60,0.030206962961510393,F2,His2gene
192,LDHB,-0.04321346271590257,F2,His2gene
193,ITPR2,0.045742496138034015,F2,His2gene
194,ZCRB1,-0.029254904208708177,F2,His2gene
195,FAIM2,-0.03285225412814023,F2,His2gene
196,METTL7A,0.09073644810691595,F2,His2gene
197,NR4A1,0.006994076782991795,F2,His2gene
198,KRT81,0.03950455259783024,F2,His2gene
199,KRT86,-0.004557890529011569,F2,His2gene
200,PPP1R1A,-0.006828124262493549,F2,His2gene
201,MUCL1,-0.05858311500980991,F2,His2gene
202,NUP107,0.09619766560601008,F2,His2gene
203,LYZ,-0.03424393078094793,F2,His2gene
204,DUSP6,0.08186011407497552,F2,His2gene
205,ATP2B1,0.0027811000625241177,F2,His2gene
206,LUM,-0.008403781174002305,F2,His2gene
207,DCN,0.007647799689439506,F2,His2gene
208,EEA1,0.02941166441310664,F2,His2gene
209,NTN4,0.04283050598201939,F2,His2gene
210,TMPO,0.034576150426349886,F2,His2gene
211,ARL1,-0.001242794874484851,F2,His2gene
212,CHPT1,0.03254006281865743,F2,His2gene
213,SYCP3,-0.0456491068116862,F2,His2gene
214,CCDC53,-0.04013227394774845,F2,His2gene
215,PWP1,0.030022262547066934,F2,His2gene
216,TCTN1,-0.011358260775166544,F2,His2gene
217,MAPKAPK5,0.05387047260864107,F2,His2gene
218,OAS1,0.022603639704004953,F2,His2gene
219,OAS2,-0.02872663418007248,F2,His2gene
