,Gene,Pearson correlation,Slide,Method
0,ISG15,-0.03543515577501126,G2,His2gene
1,PLA2G2D,0.054466041604550874,G2,His2gene
2,CAMK2N1,0.05977558997346685,G2,His2gene
3,USP48,0.06902680751052252,G2,His2gene
4,TCEA3,0.11016311942548115,G2,His2gene
5,PNRC2,0.07386033918426901,G2,His2gene
6,LDLRAP1,0.13060163043341477,G2,His2gene
7,IFI6,0.06171635251380686,G2,His2gene
8,ZBTB8OS,0.049002343899736955,G2,His2gene
9,RBBP4,0.22195535409293424,G2,His2gene
10,PSMB2,0.23645253866208235,G2,His2gene
11,GNL2,0.21916911150332552,G2,His2gene
12,SF3A3,0.04676055844322029,G2,His2gene
13,UTP11,0.10416360114371681,G2,His2gene
14,AKIRIN1,0.16659914591328584,G2,His2gene
15,MFSD2A,0.26042208985922055,G2,His2gene
16,CAP1,0.2546086441750473,G2,His2gene
17,CTPS1,0.17743075209205317,G2,His2gene
18,PPCS,0.16234896580998542,G2,His2gene
19,PPIH,0.055732204694970304,G2,His2gene
20,YBX1,0.17604608483753306,G2,His2gene
21,EBNA1BP2,0.1449407007143804,G2,His2gene
22,CDC20,0.17811642611908757,G2,His2gene
23,PTPRF,0.21896785791396137,G2,His2gene
24,KDM4A,0.14096705349907462,G2,His2gene
25,EIF2B3,0.11150222858592046,G2,His2gene
26,NASP,0.25580240861433623,G2,His2gene
27,GPBP1L1,0.24099488747142922,G2,His2gene
28,TSPAN1,0.15345979856553543,G2,His2gene
29,RAD54L,0.1000615171442453,G2,His2gene
30,LRRC41,0.29701037813549114,G2,His2gene
31,UQCRH,0.2774602423314523,G2,His2gene
32,CMPK1,0.1362882568140246,G2,His2gene
33,RNF11,0.1521197722055821,G2,His2gene
34,TTC39A,0.09634691355201795,G2,His2gene
35,TXNDC12,0.22977830272500138,G2,His2gene
36,PRPF38A,0.0628048216934901,G2,His2gene
37,SCP2,0.15949296895501264,G2,His2gene
38,C1orf123,0.1549370821149753,G2,His2gene
39,MAGOH,0.2717281968203761,G2,His2gene
40,NDC1,0.11541162036969352,G2,His2gene
41,HSPB11,0.23889921590141355,G2,His2gene
42,TMEM59,0.22278940243350537,G2,His2gene
43,SSBP3,0.15671126174778136,G2,His2gene
44,TACSTD2,0.39158454365571493,G2,His2gene
45,MYSM1,0.17101721476832749,G2,His2gene
46,TM2D1,0.08965737891153523,G2,His2gene
47,PATJ,0.19405753159577993,G2,His2gene
48,USP1,0.06299494596351281,G2,His2gene
49,JAK1,0.2861325567932269,G2,His2gene
50,LEPROT,0.0767320480982701,G2,His2gene
51,GNG12,0.05621159143032623,G2,His2gene
52,SRSF11,0.1959095886293551,G2,His2gene
53,USP33,0.04977763664351302,G2,His2gene
54,IFI44L,-0.08133856472303534,G2,His2gene
55,IFI44,0.11922749260067811,G2,His2gene
56,GNG5,0.10317026998771901,G2,His2gene
57,SEP15,0.08770611504873349,G2,His2gene
58,LMO4,0.13295030142282943,G2,His2gene
59,GTF2B,0.19244168553507068,G2,His2gene
60,GBP3,0.13295370734777362,G2,His2gene
61,GBP1,0.2515406936050395,G2,His2gene
62,GBP2,0.17650809354553063,G2,His2gene
63,GBP5,-0.02500686129480513,G2,His2gene
64,LRRC8B,0.1792098095947522,G2,His2gene
65,LRRC8D,0.15271251922699186,G2,His2gene
66,CDC7,0.06977517171769329,G2,His2gene
67,GLMN,0.029814617952825466,G2,His2gene
68,MTF2,0.20808863526120241,G2,His2gene
69,TMED5,0.24684779999088038,G2,His2gene
70,CCDC18,0.01607570028113338,G2,His2gene
71,DR1,0.2535226636884559,G2,His2gene
72,FNBP1L,0.3509837718744373,G2,His2gene
73,BCAR3,0.23580289502824653,G2,His2gene
74,DNTTIP2,0.15302225683041307,G2,His2gene
75,GCLM,0.19073110225198014,G2,His2gene
76,ARHGAP29,0.20988718797044392,G2,His2gene
77,ABCD3,0.2468755154702113,G2,His2gene
78,CNN3,0.22666601635227487,G2,His2gene
79,ALG14,0.07252769471543973,G2,His2gene
80,TMEM56,0.09608437168026505,G2,His2gene
81,SNX7,0.10278102671742284,G2,His2gene
82,VCAM1,-0.06667455023636192,G2,His2gene
83,PSMA5,0.21809061853270814,G2,His2gene
84,GSTM3,0.015939261452671376,G2,His2gene
85,CD53,0.09961242875690993,G2,His2gene
86,ATP5F1,0.10867899787335811,G2,His2gene
87,WDR3,0.04500299661339512,G2,His2gene
88,PHGDH,0.1126014569656832,G2,His2gene
89,CTSS,0.05615428646840834,G2,His2gene
90,CTSK,0.03699887774977388,G2,His2gene
91,SCNM1,0.09259472033170679,G2,His2gene
92,S100A8,0.1607320690389195,G2,His2gene
93,S100A14,0.043125359833342626,G2,His2gene
94,S100A1,0.10248227538338726,G2,His2gene
95,CREB3L4,0.2143293523860763,G2,His2gene
96,CKS1B,0.17826134071209612,G2,His2gene
97,EFNA3,0.16059864963691756,G2,His2gene
98,RIT1,0.15535383255567847,G2,His2gene
99,CRABP2,0.10586249539637184,G2,His2gene
100,IFI16,0.029346604107748846,G2,His2gene
101,USF1,-0.004549689696034054,G2,His2gene
102,OLFML2B,0.25823530860714133,G2,His2gene
103,MPC2,0.1594252671201662,G2,His2gene
104,ATP1B1,0.38670694923984994,G2,His2gene
105,RABGAP1L,0.06771674174590905,G2,His2gene
106,CACYBP,0.23483988533226585,G2,His2gene
107,XPR1,0.06421575286515124,G2,His2gene
108,LAMC1,0.12664175559241186,G2,His2gene
109,C1orf21,0.0769706970077497,G2,His2gene
110,TPR,0.05931762959694919,G2,His2gene
111,PTPRC,0.08190116175719242,G2,His2gene
112,UBE2T,0.15630174735567298,G2,His2gene
113,NUCKS1,0.16241899912626184,G2,His2gene
114,ATF3,0.24047097135308948,G2,His2gene
115,CENPF,0.10161753781298696,G2,His2gene
116,KCTD3,0.11460290801278551,G2,His2gene
117,LYPLAL1,0.04391625400847418,G2,His2gene
118,IARS2,0.16234125061337862,G2,His2gene
119,CNIH4,0.1788531034815134,G2,His2gene
120,NUP133,0.13106590140444518,G2,His2gene
121,ARID4B,0.07729440554094594,G2,His2gene
122,CHML,0.09629594065966207,G2,His2gene
123,SCCPDH,0.27637696282738844,G2,His2gene
124,ATP5C1,0.27084166190606557,G2,His2gene
125,GATA3,0.33054802611081513,G2,His2gene
126,FAM107B,0.10872299376605618,G2,His2gene
127,HSPA14,0.14599651390367824,G2,His2gene
128,NEBL,0.027679075031269665,G2,His2gene
129,BAMBI,0.30280314520989315,G2,His2gene
130,ARHGAP12,0.16558900740924637,G2,His2gene
131,DKK1,0.12101440991600604,G2,His2gene
132,ZWINT,0.1423578072937243,G2,His2gene
133,ANK3,0.055915501250855815,G2,His2gene
134,CDK1,0.08258837142438728,G2,His2gene
135,HERC4,0.06749217851510823,G2,His2gene
136,SRGN,0.12940175273624271,G2,His2gene
137,H2AFY2,0.1742173142860381,G2,His2gene
138,ADK,0.1663659356819503,G2,His2gene
139,DLG5,0.12091894921094029,G2,His2gene
140,PLAC9,-0.0032376921297124737,G2,His2gene
141,GHITM,0.2540060631245793,G2,His2gene
142,SNCG,0.1283867563601917,G2,His2gene
143,ADIRF,0.1018426195106881,G2,His2gene
144,IFIT3,-0.05026745348279354,G2,His2gene
145,FRA10AC1,0.04370011601765225,G2,His2gene
146,EXOSC1,0.17017695431531743,G2,His2gene
147,SCD,0.0029817260825125338,G2,His2gene
148,ARL3,0.06907045954121081,G2,His2gene
149,ADD3,0.022402541852934527,G2,His2gene
