,Gene,Pearson correlation,Slide,Method
0,ISG15,-0.007129839774363576,H3,His2gene
1,PLA2G2D,0.054516765481481225,H3,His2gene
2,CAMK2N1,0.13395141306402045,H3,His2gene
3,USP48,0.13853989501746455,H3,His2gene
4,TCEA3,0.19231539842023576,H3,His2gene
5,PNRC2,0.18400576778077887,H3,His2gene
6,LDLRAP1,0.23413492631293897,H3,His2gene
7,IFI6,0.16189635591481094,H3,His2gene
8,ZBTB8OS,0.12954533864276313,H3,His2gene
9,RBBP4,0.09680563777505052,H3,His2gene
10,PSMB2,0.2573152550477893,H3,His2gene
11,GNL2,0.1982344343550987,H3,His2gene
12,SF3A3,0.251280484752549,H3,His2gene
13,UTP11,0.11441922416538151,H3,His2gene
14,AKIRIN1,0.10683614409006018,H3,His2gene
15,MFSD2A,0.1909673343028006,H3,His2gene
16,CAP1,0.11435139886180803,H3,His2gene
17,CTPS1,0.18562180320376268,H3,His2gene
18,PPCS,0.1143654752381582,H3,His2gene
19,PPIH,0.12219437276211595,H3,His2gene
20,YBX1,0.03573351614147292,H3,His2gene
21,EBNA1BP2,0.20767009289528318,H3,His2gene
22,CDC20,0.20243424103215163,H3,His2gene
23,PTPRF,0.21699279993107135,H3,His2gene
24,KDM4A,0.1876863345366658,H3,His2gene
25,EIF2B3,0.0740559487592853,H3,His2gene
26,NASP,0.3667349640160712,H3,His2gene
27,GPBP1L1,0.2459553810045453,H3,His2gene
28,TSPAN1,0.02962395430101396,H3,His2gene
29,RAD54L,0.15932100494994494,H3,His2gene
30,LRRC41,0.2143176420348603,H3,His2gene
31,UQCRH,0.14807294205314978,H3,His2gene
32,CMPK1,0.23452992971616887,H3,His2gene
33,RNF11,0.13466475499355535,H3,His2gene
34,TTC39A,0.0959926212488471,H3,His2gene
35,TXNDC12,0.2079509252880381,H3,His2gene
36,PRPF38A,0.11716590710736141,H3,His2gene
37,SCP2,0.1905271811994847,H3,His2gene
38,C1orf123,0.002470974323692669,H3,His2gene
39,MAGOH,0.2666114712939378,H3,His2gene
40,NDC1,0.20673362610794538,H3,His2gene
41,HSPB11,0.09480700024270244,H3,His2gene
42,TMEM59,0.24705126702784314,H3,His2gene
43,SSBP3,0.127377320792425,H3,His2gene
44,TACSTD2,0.3509666259124067,H3,His2gene
45,MYSM1,0.1186339095757639,H3,His2gene
46,TM2D1,0.03519231334795281,H3,His2gene
47,PATJ,0.07517668497767394,H3,His2gene
48,USP1,0.15449811058720558,H3,His2gene
49,JAK1,0.09377134385563735,H3,His2gene
50,LEPROT,0.006666383794381933,H3,His2gene
51,GNG12,-0.0011849845210707352,H3,His2gene
52,SRSF11,0.18248661340993708,H3,His2gene
53,USP33,0.07850974561053689,H3,His2gene
