,Gene,Pearson correlation,Slide,Method
0,HPS6,-0.040292126685143294,A2,STimage
1,TNC,0.053367027458778526,A2,STimage
2,NR1H2,-0.05513367466041853,A2,STimage
3,NUP93,0.037978284303604594,A2,STimage
4,HNRNPUL2,-0.017989274189642194,A2,STimage
5,MARS,-0.06133791121978023,A2,STimage
6,SUGP1,0.0061858873649729435,A2,STimage
7,DEAF1,0.06976893704091205,A2,STimage
8,WDR13,0.07119186949931045,A2,STimage
9,FLNA,-0.024241466255254633,A2,STimage
10,ELN,0.016434723581314127,A2,STimage
11,MX2,0.1384879391219221,A2,STimage
12,COQ4,-0.00843573145243717,A2,STimage
13,LARP7,0.01905799251515413,A2,STimage
14,TXNDC17,0.02900494100724968,A2,STimage
15,MIIP,0.09984302889122046,A2,STimage
16,AQP1,0.019890359170691225,A2,STimage
17,POSTN,0.18026756978294275,A2,STimage
18,PSCA,0.03247977136364206,A2,STimage
19,FAM117A,0.06747196642080176,A2,STimage
20,AKT1S1,0.051004214221884746,A2,STimage
21,DVL1,0.023045574476518137,A2,STimage
22,SPIN1,0.10391726399158596,A2,STimage
23,LUC7L,0.008698133470766147,A2,STimage
24,TTC31,-0.08478100444948618,A2,STimage
25,CIR1,0.04751417853206629,A2,STimage
26,GAR1,0.00235921597234651,A2,STimage
27,RALGAPA2,0.0645311692665993,A2,STimage
28,TIMP1,0.2326387069563475,A2,STimage
29,GNAI2,0.10887727840381878,A2,STimage
30,WDR73,-0.03576166941363171,A2,STimage
31,UXS1,0.02124411527447698,A2,STimage
32,CNN2,0.11141276236326544,A2,STimage
33,C1QB,0.20376610479953952,A2,STimage
34,CCDC106,0.07112052961518589,A2,STimage
35,ARHGAP10,-0.004536838590600748,A2,STimage
36,ATL2,-0.040598464353893644,A2,STimage
37,UBL7,-0.06804603779030075,A2,STimage
38,NDUFA12,0.1510330108440145,A2,STimage
39,PTRF,0.1927882120025688,A2,STimage
40,PPP1R1A,-0.010825605915992876,A2,STimage
41,KAT6B,-0.021131829633155387,A2,STimage
42,CORO1A,0.13196811328115277,A2,STimage
43,EZH2,-0.043278401072935554,A2,STimage
44,CSF1,0.09395846118936173,A2,STimage
45,CD79A,0.15899225601585726,A2,STimage
46,SDHB,0.10461468887908336,A2,STimage
47,GATC,0.0461639975966356,A2,STimage
48,TMEM160,-0.09607014398287199,A2,STimage
49,UXT,0.06504557760179826,A2,STimage
50,ZNF787,0.02774478524790621,A2,STimage
51,ATF6B,0.020463308398197228,A2,STimage
52,SNRPD3,0.03632235955626036,A2,STimage
53,ZNF217,0.24120065793973153,A2,STimage
54,SLC35A2,-0.0017679042587057721,A2,STimage
55,MMP9,0.010373747961763392,A2,STimage
56,ECHDC2,-0.004643261075503206,A2,STimage
57,PEX11G,0.023667974007582682,A2,STimage
58,SF3B4,0.03362110806092931,A2,STimage
59,SYDE1,-0.010593686863613361,A2,STimage
60,IGKC,0.2646981809456749,A2,STimage
61,RASGRP2,0.07282089304027103,A2,STimage
62,RND3,0.04227610824729622,A2,STimage
63,PNISR,0.031331145140718,A2,STimage
64,HSPB1,0.1050328216741966,A2,STimage
65,UBR2,0.016304705446006026,A2,STimage
66,TESK1,-0.059009278057517635,A2,STimage
67,STAMBP,-0.009886610434664742,A2,STimage
68,DPYSL3,0.15995185111103408,A2,STimage
69,CPSF1,-0.0015485171850015834,A2,STimage
70,ZMYND19,0.007535146540769323,A2,STimage
71,COMP,-0.04552732076840048,A2,STimage
72,TBCA,0.11737777908162508,A2,STimage
73,PPHLN1,-0.028146034642174488,A2,STimage
74,MYL6B,0.004665890004706032,A2,STimage
75,AHCY,-0.024517641285811614,A2,STimage
76,TRAP1,0.08546170312873713,A2,STimage
77,R3HDM2,0.008427414560869397,A2,STimage
78,TMEM123,-0.018215149020151655,A2,STimage
79,TOM1L2,0.032938070083445896,A2,STimage
80,VPS13D,0.06283329389838319,A2,STimage
81,CD3D,0.06860475010255221,A2,STimage
82,MID1IP1,-0.047258166558118,A2,STimage
83,DPP7,0.10664014769696488,A2,STimage
84,LTBP3,0.08991091832682807,A2,STimage
85,GANAB,-0.15315788243583056,A2,STimage
86,HLA-DOA,-0.032061604036159604,A2,STimage
87,FAM193B,-0.0037227749601209175,A2,STimage
88,BRPF1,-0.040836772084415184,A2,STimage
89,ITGB6,-0.1377464033443334,A2,STimage
90,GBP5,0.01985864726086418,A2,STimage
91,CADM4,-0.0028768172168289825,A2,STimage
92,ARID1B,0.07883225977983974,A2,STimage
93,CEP250,0.04774467182957093,A2,STimage
94,PTRH1,0.0644616503330346,A2,STimage
95,GPSM1,-0.00593743266909005,A2,STimage
96,DLG1,0.06181081769359535,A2,STimage
97,MLLT4,-0.11023716541455271,A2,STimage
98,APBB2,-0.015004872592120508,A2,STimage
99,C19orf24,0.0411430797498419,A2,STimage
100,CCS,0.06540359340038604,A2,STimage
101,DHX16,0.008342396929993138,A2,STimage
