,Gene,Pearson correlation,Slide,Method
0,HPS6,0.07720637602650973,B3,STimage
1,TNC,0.5662028814984763,B3,STimage
2,NR1H2,0.2928878603437819,B3,STimage
3,NUP93,0.4890275297140793,B3,STimage
4,HNRNPUL2,0.7010753456398194,B3,STimage
5,MARS,0.5523774112238365,B3,STimage
6,SUGP1,0.25112914781537415,B3,STimage
7,DEAF1,0.31793182966411165,B3,STimage
8,WDR13,0.3181398387888962,B3,STimage
9,FLNA,0.6184901460630958,B3,STimage
10,ELN,0.1319332945456126,B3,STimage
11,MX2,0.4574312099264791,B3,STimage
12,COQ4,0.420496217307881,B3,STimage
13,LARP7,0.30770230376423846,B3,STimage
14,TXNDC17,0.7187746475999044,B3,STimage
15,MIIP,0.5154341048145474,B3,STimage
16,AQP1,0.17155045095904328,B3,STimage
17,POSTN,0.5539593367028613,B3,STimage
18,PSCA,0.18493926837211477,B3,STimage
19,FAM117A,0.4973297716548635,B3,STimage
20,AKT1S1,0.564317904008799,B3,STimage
21,DVL1,0.4246082834061498,B3,STimage
22,SPIN1,0.4548537896442857,B3,STimage
23,LUC7L,0.43480095422967435,B3,STimage
24,TTC31,0.40626480344117544,B3,STimage
25,CIR1,0.3226236334103214,B3,STimage
26,GAR1,0.3661462220391076,B3,STimage
27,RALGAPA2,0.3671590011104681,B3,STimage
28,TIMP1,0.6982822126331409,B3,STimage
29,GNAI2,0.6896185163124934,B3,STimage
30,WDR73,0.4440017860290257,B3,STimage
31,UXS1,0.5043595707015626,B3,STimage
32,CNN2,0.5778580697058647,B3,STimage
33,C1QB,0.6450493954082451,B3,STimage
34,CCDC106,0.4531832996808662,B3,STimage
35,ARHGAP10,0.17501228055598494,B3,STimage
36,ATL2,0.2743983774675065,B3,STimage
37,UBL7,0.36900033780111074,B3,STimage
38,NDUFA12,0.5796029182492077,B3,STimage
39,PTRF,0.2135186983760989,B3,STimage
40,PPP1R1A,0.014910993346549951,B3,STimage
41,KAT6B,0.5934500284245383,B3,STimage
42,CORO1A,0.47719700535765225,B3,STimage
43,EZH2,0.4720841790632855,B3,STimage
44,CSF1,0.37656063468422185,B3,STimage
45,CD79A,0.417786595844439,B3,STimage
46,SDHB,0.6149261649208145,B3,STimage
47,GATC,0.6367498109031225,B3,STimage
48,TMEM160,0.505282850617647,B3,STimage
49,UXT,0.5349225764970241,B3,STimage
