,Gene,Pearson correlation,Slide,Method
0,HPS6,0.11727030171787148,C5,STimage
1,TNC,0.2928063325175274,C5,STimage
2,NR1H2,0.24826681420033023,C5,STimage
3,NUP93,0.2552536498942404,C5,STimage
4,HNRNPUL2,0.38272661081130344,C5,STimage
5,MARS,0.23523853408343792,C5,STimage
6,SUGP1,0.18339778939736553,C5,STimage
7,DEAF1,0.2541658056677402,C5,STimage
8,WDR13,0.1853949791683915,C5,STimage
9,FLNA,0.40134307073409153,C5,STimage
10,ELN,0.07916900366350857,C5,STimage
11,MX2,0.006339528388237675,C5,STimage
12,COQ4,0.19418925732060344,C5,STimage
13,LARP7,0.17833112924803568,C5,STimage
14,TXNDC17,0.2665108281751432,C5,STimage
15,MIIP,0.10067296805965284,C5,STimage
16,AQP1,0.16098927628629714,C5,STimage
17,POSTN,0.43359196294009933,C5,STimage
18,PSCA,-0.002307478943085195,C5,STimage
19,FAM117A,0.4026271017629283,C5,STimage
20,AKT1S1,0.23942985914339632,C5,STimage
21,DVL1,0.19099518381849465,C5,STimage
22,SPIN1,0.3237664424854518,C5,STimage
23,LUC7L,0.22986101255398425,C5,STimage
24,TTC31,0.20327629568305658,C5,STimage
25,CIR1,0.20827732411143543,C5,STimage
26,GAR1,0.11395996005255953,C5,STimage
27,RALGAPA2,0.2737601350378287,C5,STimage
28,TIMP1,0.34776130591953563,C5,STimage
29,GNAI2,0.3891257633080111,C5,STimage
30,WDR73,0.18647654380071393,C5,STimage
31,UXS1,0.17615870617031892,C5,STimage
32,CNN2,0.39271287872857924,C5,STimage
33,C1QB,0.36678415517932106,C5,STimage
34,CCDC106,0.2698758933116656,C5,STimage
35,ARHGAP10,0.06852375905517498,C5,STimage
36,ATL2,0.13805782717358112,C5,STimage
37,UBL7,0.24459655008526582,C5,STimage
38,NDUFA12,0.2897231264209422,C5,STimage
39,PTRF,0.06591561146079565,C5,STimage
40,PPP1R1A,0.25130381615358766,C5,STimage
41,KAT6B,0.029035830479314892,C5,STimage
42,CORO1A,0.3539430518888874,C5,STimage
43,EZH2,0.11509497880238721,C5,STimage
44,CSF1,0.14948772738591068,C5,STimage
45,CD79A,0.2670550728910142,C5,STimage
46,SDHB,0.22123592750718124,C5,STimage
47,GATC,0.41942750565645104,C5,STimage
48,TMEM160,0.2537718620781356,C5,STimage
49,UXT,0.18308320371935138,C5,STimage
50,ZNF787,0.3159482047566786,C5,STimage
51,ATF6B,0.2300611327547049,C5,STimage
52,SNRPD3,0.2612211452075465,C5,STimage
53,ZNF217,0.2514564990549073,C5,STimage
54,SLC35A2,0.22778538434824647,C5,STimage
55,MMP9,0.38681848219537796,C5,STimage
56,ECHDC2,0.22659690249745765,C5,STimage
57,PEX11G,0.11493391229070418,C5,STimage
58,SF3B4,0.31459973779483597,C5,STimage
59,SYDE1,0.09534226132661378,C5,STimage
60,IGKC,-0.0012765767554950857,C5,STimage
61,RASGRP2,0.23223859617639162,C5,STimage
62,RND3,0.10063404731767107,C5,STimage
63,PNISR,0.002021038168194312,C5,STimage
64,HSPB1,0.4223767265976013,C5,STimage
65,UBR2,0.11259761304934858,C5,STimage
66,TESK1,0.27084862205453325,C5,STimage
67,STAMBP,0.2670992994248279,C5,STimage
68,DPYSL3,0.32606964007238465,C5,STimage
69,CPSF1,0.2061757782872186,C5,STimage
70,ZMYND19,0.37151528997446603,C5,STimage
71,COMP,0.3190725505073446,C5,STimage
72,TBCA,0.2811125178045221,C5,STimage
73,PPHLN1,0.3053906529658039,C5,STimage
74,MYL6B,0.19757989337917337,C5,STimage
75,AHCY,0.2778620932164334,C5,STimage
76,TRAP1,0.30643457526365153,C5,STimage
77,R3HDM2,0.21206428958669268,C5,STimage
78,TMEM123,0.4206250298848218,C5,STimage
79,TOM1L2,0.14135023450021747,C5,STimage
80,VPS13D,0.05725425777542868,C5,STimage
81,CD3D,0.09430027986822172,C5,STimage
82,MID1IP1,0.3333534629851522,C5,STimage
83,DPP7,0.21476332334754075,C5,STimage
84,LTBP3,0.34400518527273743,C5,STimage
85,GANAB,0.44013154447458885,C5,STimage
86,HLA-DOA,0.08688614276483597,C5,STimage
87,FAM193B,0.3067194861798585,C5,STimage
88,BRPF1,0.12277963735570359,C5,STimage
89,ITGB6,0.46109317358757584,C5,STimage
90,GBP5,0.19420324157659785,C5,STimage
91,CADM4,0.2564554321486818,C5,STimage
92,ARID1B,0.22469048486317547,C5,STimage
93,CEP250,-0.02650769855597367,C5,STimage
94,PTRH1,0.15519376889301298,C5,STimage
95,GPSM1,0.27667388824951944,C5,STimage
96,DLG1,0.19607316864502114,C5,STimage
97,MLLT4,0.22510341502090325,C5,STimage
98,APBB2,0.17518648725838729,C5,STimage
99,C19orf24,0.14810481701596026,C5,STimage
100,CCS,0.30619845275480045,C5,STimage
101,DHX16,0.1485602584534703,C5,STimage
102,CRACR2B,0.2630723569018491,C5,STimage
103,CRABP2,0.24121640403411562,C5,STimage
