,Gene,Pearson correlation,Slide,Method
0,HPS6,0.054993899226140584,D3,STimage
1,TNC,0.16306257276832778,D3,STimage
2,NR1H2,0.005970286249413485,D3,STimage
3,NUP93,0.0008225583171592306,D3,STimage
4,HNRNPUL2,0.3591810496649124,D3,STimage
5,MARS,0.26610880082139776,D3,STimage
6,SUGP1,0.0923661369258511,D3,STimage
7,DEAF1,0.1450753411488405,D3,STimage
8,WDR13,0.07447053141035043,D3,STimage
9,FLNA,0.08387882539184977,D3,STimage
10,ELN,0.15616468554833426,D3,STimage
11,MX2,0.059196174241365876,D3,STimage
12,COQ4,0.12144700670662804,D3,STimage
13,LARP7,0.07963985900955714,D3,STimage
14,TXNDC17,0.4165097764933431,D3,STimage
15,MIIP,0.07508456212258671,D3,STimage
16,AQP1,0.03657371883728148,D3,STimage
17,POSTN,0.3614827896939295,D3,STimage
18,PSCA,0.24331576125979423,D3,STimage
19,FAM117A,0.16090907512038682,D3,STimage
20,AKT1S1,0.268546280552709,D3,STimage
21,DVL1,0.28198640261712904,D3,STimage
22,SPIN1,0.22419422460811364,D3,STimage
23,LUC7L,0.03978926570425296,D3,STimage
24,TTC31,0.08124781303008617,D3,STimage
25,CIR1,0.048327835124720844,D3,STimage
26,GAR1,0.19289718090760444,D3,STimage
27,RALGAPA2,0.09725585878818398,D3,STimage
28,TIMP1,0.002426842387567275,D3,STimage
29,GNAI2,0.1438925235711506,D3,STimage
30,WDR73,0.2039106658069764,D3,STimage
31,UXS1,0.3282860681134654,D3,STimage
32,CNN2,0.20189769763265306,D3,STimage
33,C1QB,0.25341286600766794,D3,STimage
34,CCDC106,0.22812685162010968,D3,STimage
35,ARHGAP10,0.0569092957851877,D3,STimage
36,ATL2,0.21067686716603828,D3,STimage
37,UBL7,0.035653804575039985,D3,STimage
38,NDUFA12,0.2579402175807698,D3,STimage
39,PTRF,0.09716804900900054,D3,STimage
40,PPP1R1A,0.400577086016956,D3,STimage
41,KAT6B,-0.035296713880869086,D3,STimage
42,CORO1A,0.10780396524760735,D3,STimage
43,EZH2,0.2727513383441165,D3,STimage
44,CSF1,0.2159269062162836,D3,STimage
45,CD79A,-0.017736655324828817,D3,STimage
46,SDHB,0.1335935982463967,D3,STimage
47,GATC,0.20758226561476192,D3,STimage
48,TMEM160,0.02355931847197581,D3,STimage
49,UXT,0.08159517366130764,D3,STimage
50,ZNF787,0.1269804386971335,D3,STimage
51,ATF6B,0.2007935971377418,D3,STimage
52,SNRPD3,0.3204457002378442,D3,STimage
53,ZNF217,0.33111673013591975,D3,STimage
54,SLC35A2,0.25212629125142794,D3,STimage
55,MMP9,0.10672471989276536,D3,STimage
56,ECHDC2,-0.005143507780379744,D3,STimage
57,PEX11G,0.08858326375616665,D3,STimage
58,SF3B4,0.2316852121094645,D3,STimage
59,SYDE1,0.05746808775849966,D3,STimage
60,IGKC,0.09615308574298521,D3,STimage
61,RASGRP2,0.1167455119860586,D3,STimage
62,RND3,0.17180481625315025,D3,STimage
63,PNISR,-0.006146257760965268,D3,STimage
64,HSPB1,0.37139943067998776,D3,STimage
65,UBR2,0.17037371703752002,D3,STimage
66,TESK1,0.02207294740213921,D3,STimage
67,STAMBP,0.16589365309819587,D3,STimage
68,DPYSL3,0.31054858474770175,D3,STimage
69,CPSF1,0.1487123592944575,D3,STimage
70,ZMYND19,0.3084789561324254,D3,STimage
71,COMP,0.15855297430803708,D3,STimage
72,TBCA,0.2607423474767301,D3,STimage
73,PPHLN1,0.3168658031167957,D3,STimage
74,MYL6B,0.1193853078231997,D3,STimage
75,AHCY,0.19845028929565342,D3,STimage
76,TRAP1,0.1944384961790027,D3,STimage
77,R3HDM2,0.1601339587988153,D3,STimage
78,TMEM123,0.43091775701359025,D3,STimage
79,TOM1L2,0.10594146624533875,D3,STimage
80,VPS13D,0.22002174214847833,D3,STimage
81,CD3D,0.029854675253538,D3,STimage
82,MID1IP1,0.2846879271691177,D3,STimage
83,DPP7,0.13550244325855804,D3,STimage
84,LTBP3,-0.010429421614985569,D3,STimage
85,GANAB,0.255391676794414,D3,STimage
86,HLA-DOA,0.11590714660846305,D3,STimage
87,FAM193B,0.1906913454358864,D3,STimage
88,BRPF1,0.15609937322288947,D3,STimage
89,ITGB6,0.47593795094677865,D3,STimage
90,GBP5,-0.03946307635328243,D3,STimage
91,CADM4,0.13618975437563258,D3,STimage
