,Gene,Pearson correlation,Slide,Method
0,HPS6,0.012045115517480528,E2,STimage
1,TNC,0.05011839110810025,E2,STimage
2,NR1H2,0.003845817635711089,E2,STimage
3,NUP93,-0.031619847633810594,E2,STimage
4,HNRNPUL2,0.028815075726296456,E2,STimage
5,MARS,0.06629479164279524,E2,STimage
6,SUGP1,-0.04519341227501584,E2,STimage
7,DEAF1,0.008839166213639836,E2,STimage
8,WDR13,0.10765623360293326,E2,STimage
9,FLNA,0.14318398602749283,E2,STimage
10,ELN,-0.05073708900502514,E2,STimage
11,MX2,-0.03268275664764296,E2,STimage
12,COQ4,0.06489133838987424,E2,STimage
13,LARP7,-0.04434305048443596,E2,STimage
14,TXNDC17,-0.0677600185838507,E2,STimage
15,MIIP,0.005003036511651633,E2,STimage
16,AQP1,0.15063171048306204,E2,STimage
17,POSTN,0.07387745557912806,E2,STimage
18,PSCA,0.051089222800789355,E2,STimage
19,FAM117A,0.007658937397442261,E2,STimage
20,AKT1S1,0.032833647157699965,E2,STimage
21,DVL1,-0.011753003176369169,E2,STimage
22,SPIN1,0.0649962322864153,E2,STimage
23,LUC7L,0.014235859858910262,E2,STimage
24,TTC31,0.020906105462438526,E2,STimage
25,CIR1,-0.03954607365366057,E2,STimage
26,GAR1,-0.05978596996164837,E2,STimage
27,RALGAPA2,0.023105267059881772,E2,STimage
28,TIMP1,0.12822137896066044,E2,STimage
29,GNAI2,0.14080336996085752,E2,STimage
30,WDR73,-0.010027101328928886,E2,STimage
31,UXS1,0.01749586567361382,E2,STimage
32,CNN2,-0.040648254504645966,E2,STimage
33,C1QB,0.1403285705184692,E2,STimage
34,CCDC106,0.026799993209698194,E2,STimage
35,ARHGAP10,0.0033446744951902392,E2,STimage
36,ATL2,0.023108698580504038,E2,STimage
37,UBL7,0.05081583345584862,E2,STimage
38,NDUFA12,-0.05385738355818235,E2,STimage
39,PTRF,0.06900895485435572,E2,STimage
40,PPP1R1A,-0.0018269867362563847,E2,STimage
41,KAT6B,0.05674031753064896,E2,STimage
42,CORO1A,0.08532405305649535,E2,STimage
43,EZH2,0.0063019140132100585,E2,STimage
44,CSF1,-0.030260431097866178,E2,STimage
45,CD79A,0.16938982439560843,E2,STimage
46,SDHB,0.10114481843943214,E2,STimage
47,GATC,-0.009891914897780268,E2,STimage
48,TMEM160,0.028666194748802155,E2,STimage
49,UXT,-0.01702132823794456,E2,STimage
50,ZNF787,-0.030656497126127943,E2,STimage
51,ATF6B,0.023389143896683062,E2,STimage
52,SNRPD3,0.05601405001660385,E2,STimage
53,ZNF217,0.04968604547668113,E2,STimage
54,SLC35A2,0.02524862858018521,E2,STimage
55,MMP9,0.14225429249802746,E2,STimage
56,ECHDC2,0.010189192842563172,E2,STimage
57,PEX11G,0.06505601743767415,E2,STimage
58,SF3B4,-0.05842748767466213,E2,STimage
59,SYDE1,-0.002200729325405399,E2,STimage
60,IGKC,0.2224162289146186,E2,STimage
61,RASGRP2,0.04581722512971545,E2,STimage
62,RND3,-0.025276134120070726,E2,STimage
63,PNISR,0.028709633062023388,E2,STimage
64,HSPB1,0.011256394488433826,E2,STimage
65,UBR2,0.03670400485758911,E2,STimage
66,TESK1,-0.01123912648094964,E2,STimage
67,STAMBP,-0.007227395542660694,E2,STimage
68,DPYSL3,0.060724900277598186,E2,STimage
69,CPSF1,0.04050792077936468,E2,STimage
70,ZMYND19,-0.0019475111844510333,E2,STimage
71,COMP,0.24934852394917068,E2,STimage
72,TBCA,0.06091402220804306,E2,STimage
73,PPHLN1,-0.007735391659467454,E2,STimage
74,MYL6B,0.010060261769316136,E2,STimage
75,AHCY,0.04908260141883797,E2,STimage
76,TRAP1,-0.014860088673166379,E2,STimage
77,R3HDM2,0.05973419254643124,E2,STimage
78,TMEM123,-0.04393716228697308,E2,STimage
79,TOM1L2,0.044009947294592046,E2,STimage
80,VPS13D,-0.012429184135535242,E2,STimage
81,CD3D,0.065534500882422,E2,STimage
82,MID1IP1,0.0861011154961586,E2,STimage
83,DPP7,0.09324768184496118,E2,STimage
84,LTBP3,0.06480014639471046,E2,STimage
85,GANAB,-0.0015862833842220567,E2,STimage
86,HLA-DOA,0.002451571257379964,E2,STimage
87,FAM193B,-0.024333526923955646,E2,STimage
88,BRPF1,-0.010339726229601028,E2,STimage
89,ITGB6,-8.121880915416208e-05,E2,STimage
90,GBP5,-0.028564134332440025,E2,STimage
91,CADM4,-0.0513605692806367,E2,STimage
92,ARID1B,0.06365674335480019,E2,STimage
93,CEP250,-0.030269874807314537,E2,STimage
94,PTRH1,-0.08474506634416701,E2,STimage
95,GPSM1,-0.006261753039385051,E2,STimage
96,DLG1,-0.059356176121063,E2,STimage
97,MLLT4,0.02504810113971793,E2,STimage
98,APBB2,-0.006723752904874735,E2,STimage
99,C19orf24,0.03714644666928772,E2,STimage
100,CCS,-0.0631547895546324,E2,STimage
101,DHX16,0.08382634647383114,E2,STimage
102,CRACR2B,0.13317351188933207,E2,STimage
103,CRABP2,-0.10436278130001374,E2,STimage
104,MEN1,-0.02277981382963463,E2,STimage
105,ARHGEF40,-0.006779989702389527,E2,STimage
106,NDUFV3,0.023269716904465294,E2,STimage
107,HMGB2,-0.055915859597781906,E2,STimage
108,ZFPL1,0.015883869921683325,E2,STimage
109,POLR2E,0.032352840363846246,E2,STimage
110,DAPK3,0.008293889958254485,E2,STimage
111,FAM213B,-0.033767548006105944,E2,STimage
112,RNF135,-0.0377525784482188,E2,STimage
113,FDPS,-0.09716218248703312,E2,STimage
114,GPS1,-0.027227064261829578,E2,STimage
115,DDAH1,0.04556370645901142,E2,STimage
116,CSF1R,0.10885920231222757,E2,STimage
117,CHCHD6,-0.030035947135858283,E2,STimage
118,ARID3A,-0.024844266659148045,E2,STimage
119,RABGAP1L,0.006786642794238581,E2,STimage
120,PHF11,0.03733717975319266,E2,STimage
121,IDH3G,0.07031984272101487,E2,STimage
122,SLC43A1,0.04894277101177076,E2,STimage
123,PER1,0.04037075461415673,E2,STimage
124,CORO7,0.036604940686927254,E2,STimage
125,DNAJC1,-0.04944386782853752,E2,STimage
126,KMT2B,0.011975423955277212,E2,STimage
127,PSMD4,-0.00864924321364145,E2,STimage
128,ADCY3,0.015104689712557247,E2,STimage
129,CTU2,-0.039171310869557725,E2,STimage
130,PODXL,0.01947731624507853,E2,STimage
131,HLA-DMA,0.026237750222131404,E2,STimage
132,ATP6V0D1,0.07416035545997196,E2,STimage
133,BGN,0.20319384107727492,E2,STimage
134,GNAS,0.012480228670293067,E2,STimage
135,STRN3,0.019641635816256883,E2,STimage
136,PAQR4,-0.017566727863323646,E2,STimage
137,MPND,-0.10629090365846594,E2,STimage
138,METTL12,-0.07135664219872485,E2,STimage
139,SLC9A3R2,0.0810434726405651,E2,STimage
140,CLDN3,0.09720749730932624,E2,STimage
141,TBXAS1,0.018843218337835088,E2,STimage
142,EFHD2,0.08447559544588525,E2,STimage
143,APOBEC3G,0.019784116696036035,E2,STimage
144,LRWD1,-0.06605798538104354,E2,STimage
145,HLA-DPA1,0.005368947408499431,E2,STimage
146,ZNF592,-0.0176169625308895,E2,STimage
147,ZG16B,-0.027951375066163808,E2,STimage
148,NIT2,-0.023097912456314713,E2,STimage
149,INPP4B,-0.12927346147961571,E2,STimage
150,C4orf48,-0.04879756749733523,E2,STimage
151,CPVL,-0.0018308195594955708,E2,STimage
152,TCEA2,-0.0446007591943239,E2,STimage
153,CCDC167,0.08501789436838239,E2,STimage
154,MUCL1,0.22789794233493735,E2,STimage
155,MGMT,0.04736682062829786,E2,STimage
156,AKAP9,-0.025890391483708766,E2,STimage
157,TXN2,-0.0340286139117558,E2,STimage
158,YIPF4,-0.02617410974657673,E2,STimage
159,RASSF3,-0.0026568530812288017,E2,STimage
160,HSPA4,-0.01268362534650828,E2,STimage
161,SGTA,0.003926048362676649,E2,STimage
162,MLST8,0.05638255760977836,E2,STimage
163,MFAP4,0.05435947573026704,E2,STimage
164,FAIM2,0.00689733339245143,E2,STimage
165,TM7SF2,-0.04597481470328049,E2,STimage
166,EXD3,0.025214170425886185,E2,STimage
167,SLFN13,0.06854364376728266,E2,STimage
168,ARID5B,0.018875305757361432,E2,STimage
169,EPHB3,0.014717638158231046,E2,STimage
170,CCL2,-0.03308027243812023,E2,STimage
171,FAM118A,-0.0031185729719740178,E2,STimage
172,SMG9,-0.02160772473348718,E2,STimage
173,MS4A6A,0.053690776894914846,E2,STimage
174,PIGQ,0.002011165403368534,E2,STimage
175,KLF9,0.031484040333498456,E2,STimage
176,ITGA5,0.0030653084273161097,E2,STimage
177,C1S,-0.1511554615092344,E2,STimage
178,NANS,0.04319109495574181,E2,STimage
179,AGPAT2,0.01507679149453743,E2,STimage
180,MST1R,0.045664636045598866,E2,STimage
181,ARF5,0.011099893373292648,E2,STimage
182,S100A14,0.10926885783920436,E2,STimage
183,SEMA3B,-0.058157698406084014,E2,STimage
184,LMF1,0.01525405913484149,E2,STimage
185,ZFP36,0.06131933455405756,E2,STimage
186,CHFR,0.028076553932062716,E2,STimage
187,CFDP1,-0.002439570776118114,E2,STimage
188,DDB2,0.03873978501604833,E2,STimage
189,AVEN,-0.0005550862621156878,E2,STimage
190,TDRD3,0.00023631998293022926,E2,STimage
191,RAB11FIP1,0.013675956066010917,E2,STimage
192,SLC22A18,-0.02149158207632798,E2,STimage
193,SRSF5,-0.06000912521563596,E2,STimage
194,DNAJC7,-0.0023529949027080387,E2,STimage
195,NTMT1,0.027805210244798942,E2,STimage
196,SLC4A5,-0.033169396948486855,E2,STimage
197,HLA-B,-0.15241323032040094,E2,STimage
198,EXOSC2,0.015530554495644947,E2,STimage
199,MVP,0.02121877887083675,E2,STimage
200,NUP214,0.0645684046411563,E2,STimage
201,VIM,0.12341286286069857,E2,STimage
202,PTGDS,0.18172467119924307,E2,STimage
203,COL6A2,0.2003504957234204,E2,STimage
204,CPNE1,0.02521669961031838,E2,STimage
205,PDCD5,0.02708889570804651,E2,STimage
206,IGLC7,0.09550971630268386,E2,STimage
207,EXOSC10,-0.003163041520128617,E2,STimage
208,TSR2,0.1180081480019416,E2,STimage
209,ATG12,0.02250642499728263,E2,STimage
210,ALG3,0.011472970604634957,E2,STimage
211,HYI,0.08941750857633081,E2,STimage
212,CCNE2,0.02203928420039582,E2,STimage
213,JAK1,-0.025461929838639406,E2,STimage
214,ZMYND8,0.031153418406895433,E2,STimage
215,UBAP2L,0.07565331797104775,E2,STimage
216,C5orf38,0.03648997004089787,E2,STimage
217,JCHAIN,0.14556088693439426,E2,STimage
218,FNBP4,-0.07222279961417058,E2,STimage
219,TRIM22,0.039100575977016716,E2,STimage
220,DPP9,-0.0888651997760427,E2,STimage
221,NDUFA1,0.0178112199298967,E2,STimage
222,MORC2,-0.05756129118082392,E2,STimage
223,MIF,0.059611349621267,E2,STimage
224,IL10RA,0.042614394195212166,E2,STimage
225,ATP5O,-0.044420630311306955,E2,STimage
226,RASA2,-0.02519899708066566,E2,STimage
227,SCD,0.10291765432291138,E2,STimage
228,KCTD10,-0.04338122148205422,E2,STimage
229,NDUFS1,0.0965129754348128,E2,STimage
230,UCK1,0.0318476873399657,E2,STimage
231,FUOM,0.05080538448697403,E2,STimage
232,CD52,0.11403986879138815,E2,STimage
233,MED25,-0.030332169654287262,E2,STimage
234,RSL1D1,0.04346634955723341,E2,STimage
235,TMEM259,-0.06043785402454678,E2,STimage
236,NEK7,0.004121567882516883,E2,STimage
237,FAP,0.01575028510608667,E2,STimage
238,PPM1G,-0.01554533388438715,E2,STimage
239,SPSB1,0.06800624418391191,E2,STimage
240,KRT17,-0.09117368197637785,E2,STimage
241,S100A9,0.038628220221769795,E2,STimage
242,BABAM1,-0.022134910785662563,E2,STimage
243,ZNF771,0.02044378819016271,E2,STimage
244,RNASET2,0.03545963750198248,E2,STimage
245,IGHM,0.2282470788013275,E2,STimage
246,STAT5A,-0.009854087383076934,E2,STimage
247,COX5A,0.0925750845840403,E2,STimage
248,KPNB1,-0.02180931590295665,E2,STimage
249,MKNK1,-0.032692298836082524,E2,STimage
250,C19orf52,-0.0013777018781320164,E2,STimage
251,ADI1,-0.01980086686243102,E2,STimage
252,AGO2,-0.011803675507618985,E2,STimage
253,RGS1,0.027324404639885592,E2,STimage
254,IFI27L1,0.020030914816528054,E2,STimage
255,MAPKAPK5,-0.013722893664119988,E2,STimage
256,LYL1,0.03630570627750763,E2,STimage
257,MUS81,0.029751439992409454,E2,STimage
258,CAMTA2,0.040310984450107924,E2,STimage
259,GBP1,-0.08486049534877319,E2,STimage
260,ASL,0.048926875216571596,E2,STimage
261,TIGD5,-0.033016096361308624,E2,STimage
262,TMEM101,-0.015062472142840717,E2,STimage
263,HOOK3,0.03267842922653028,E2,STimage
264,KMT2E,0.047195842334300034,E2,STimage
265,EIF3B,-0.02275643497944454,E2,STimage
266,ELOF1,-0.047591188187162556,E2,STimage
267,MZT2A,0.040769911251308404,E2,STimage
268,GPR108,0.025964084160393797,E2,STimage
269,KIAA1211L,0.049799615352429515,E2,STimage
270,MCTS1,-0.060626505107360576,E2,STimage
271,TYROBP,-0.05573150513142678,E2,STimage
272,C19orf60,0.09609997114213525,E2,STimage
273,ACER3,0.013014925256636363,E2,STimage
274,RAB3GAP1,0.019912889098654397,E2,STimage
275,C3,0.30445616117354296,E2,STimage
276,PLVAP,0.02893655493250708,E2,STimage
277,SURF1,0.047227191815230815,E2,STimage
278,LIMCH1,0.07507338863119019,E2,STimage
279,P4HA2,-0.002624360057429825,E2,STimage
280,WDR34,0.015374013434950469,E2,STimage
281,PRPSAP1,-0.036551107360333374,E2,STimage
