,Gene,Pearson correlation,Slide,Method
0,HPS6,-0.01709693600936297,F3,STimage
1,TNC,0.03925602391453989,F3,STimage
2,NR1H2,0.06902997522360128,F3,STimage
3,NUP93,0.0475970135668369,F3,STimage
4,HNRNPUL2,-0.06726892093408571,F3,STimage
5,MARS,0.06322998535753686,F3,STimage
6,SUGP1,-0.002947661539926899,F3,STimage
7,DEAF1,-0.02901111328270656,F3,STimage
8,WDR13,-0.011040960312978555,F3,STimage
9,FLNA,0.10781068798822335,F3,STimage
10,ELN,0.07325196484643394,F3,STimage
11,MX2,0.04693283538144917,F3,STimage
12,COQ4,-0.055854953291502495,F3,STimage
13,LARP7,-0.011246439649621845,F3,STimage
14,TXNDC17,-0.026585783789106886,F3,STimage
15,MIIP,-0.017455193262473124,F3,STimage
16,AQP1,0.1107671340408711,F3,STimage
17,POSTN,0.05318252153552781,F3,STimage
18,PSCA,0.05857342242236634,F3,STimage
19,FAM117A,-0.05077565300036865,F3,STimage
20,AKT1S1,-0.05340440107036843,F3,STimage
21,DVL1,0.0036153458409117984,F3,STimage
22,SPIN1,0.014307415231099175,F3,STimage
23,LUC7L,-0.0516553957544337,F3,STimage
24,TTC31,-0.06822800334182812,F3,STimage
25,CIR1,0.008580963457401612,F3,STimage
26,GAR1,-0.005839129956478885,F3,STimage
27,RALGAPA2,-0.041734776242647716,F3,STimage
28,TIMP1,0.2669910217199818,F3,STimage
29,GNAI2,0.05671221529647882,F3,STimage
30,WDR73,0.03222147760209463,F3,STimage
31,UXS1,0.012745664514360282,F3,STimage
32,CNN2,0.0343777211915291,F3,STimage
33,C1QB,0.14299719751927037,F3,STimage
34,CCDC106,-0.00037136889319968935,F3,STimage
35,ARHGAP10,0.028924762190267888,F3,STimage
36,ATL2,-0.03778438068974948,F3,STimage
37,UBL7,-0.03232348802502217,F3,STimage
38,NDUFA12,-0.03389451347728697,F3,STimage
39,PTRF,0.08201993183924698,F3,STimage
40,PPP1R1A,0.018943606564278275,F3,STimage
41,KAT6B,-0.023713198903315996,F3,STimage
42,CORO1A,0.1453029732327662,F3,STimage
43,EZH2,-0.01988800498860132,F3,STimage
44,CSF1,0.013032787309463294,F3,STimage
45,CD79A,0.2617232962616152,F3,STimage
46,SDHB,0.008738089308000206,F3,STimage
47,GATC,-0.05835701914850891,F3,STimage
48,TMEM160,0.08973282961250477,F3,STimage
49,UXT,0.1680969601785348,F3,STimage
50,ZNF787,-0.05333680544302661,F3,STimage
51,ATF6B,-0.005606138837583007,F3,STimage
52,SNRPD3,-0.021937777789748376,F3,STimage
53,ZNF217,-0.05262792047256512,F3,STimage
54,SLC35A2,0.004104123654765094,F3,STimage
55,MMP9,0.1586111902569194,F3,STimage
56,ECHDC2,0.005773256871573614,F3,STimage
57,PEX11G,0.023535398307187427,F3,STimage
58,SF3B4,0.023963669730868727,F3,STimage
59,SYDE1,0.008566677005402487,F3,STimage
60,IGKC,0.266363691698509,F3,STimage
61,RASGRP2,0.23761269999552562,F3,STimage
62,RND3,-0.006948312849321509,F3,STimage
63,PNISR,-0.06027857001271929,F3,STimage
64,HSPB1,0.012296865985771744,F3,STimage
65,UBR2,-0.01035088955843859,F3,STimage
66,TESK1,0.001587936947357148,F3,STimage
67,STAMBP,-0.02173793001090511,F3,STimage
68,DPYSL3,0.038480066671092696,F3,STimage
69,CPSF1,-0.09475814013292042,F3,STimage
70,ZMYND19,-0.05144611690192072,F3,STimage
71,COMP,0.09255952513152117,F3,STimage
72,TBCA,-0.04385868488005424,F3,STimage
73,PPHLN1,0.00909409844528777,F3,STimage
74,MYL6B,0.028046960555189668,F3,STimage
75,AHCY,0.019419255524299867,F3,STimage
76,TRAP1,-0.02899081708643393,F3,STimage
77,R3HDM2,-0.01165308050335606,F3,STimage
78,TMEM123,0.07529599962100617,F3,STimage
79,TOM1L2,0.06446378891145457,F3,STimage
80,VPS13D,-0.0005957004648622473,F3,STimage
81,CD3D,0.1919440352746721,F3,STimage
82,MID1IP1,0.016830772167336843,F3,STimage
83,DPP7,0.14606778232794226,F3,STimage
84,LTBP3,0.0046611503399174225,F3,STimage
85,GANAB,-0.032465520118654986,F3,STimage
86,HLA-DOA,-0.011878492938013498,F3,STimage
87,FAM193B,0.02096570654253403,F3,STimage
88,BRPF1,0.032217426616073415,F3,STimage
89,ITGB6,0.15905618256724746,F3,STimage
90,GBP5,0.04416515349774114,F3,STimage
91,CADM4,0.004294185923452283,F3,STimage
92,ARID1B,0.018979094722281844,F3,STimage
93,CEP250,-0.09263091456693386,F3,STimage
94,PTRH1,-0.040014774791155144,F3,STimage
95,GPSM1,0.021303206999540143,F3,STimage
96,DLG1,-0.05846007397360163,F3,STimage
97,MLLT4,0.08470186584664742,F3,STimage
98,APBB2,0.021335215078510706,F3,STimage
99,C19orf24,-0.04024508405192551,F3,STimage
100,CCS,0.024133593723433412,F3,STimage
101,DHX16,-0.005900616145502999,F3,STimage
102,CRACR2B,0.0696702170312461,F3,STimage
103,CRABP2,0.09537074870548674,F3,STimage
104,MEN1,-0.03357581405164199,F3,STimage
105,ARHGEF40,0.034352263114323364,F3,STimage
106,NDUFV3,0.000190527308109989,F3,STimage
107,HMGB2,-0.052026816206187425,F3,STimage
108,ZFPL1,-0.010415627313025259,F3,STimage
109,POLR2E,0.004448031587360515,F3,STimage
110,DAPK3,-0.006908384877327828,F3,STimage
111,FAM213B,0.03888166528971861,F3,STimage
112,RNF135,0.05297012748941323,F3,STimage
113,FDPS,-0.08371619592971123,F3,STimage
114,GPS1,-0.022142654767095156,F3,STimage
115,DDAH1,-0.0024004248243884004,F3,STimage
116,CSF1R,0.2050188938677159,F3,STimage
117,CHCHD6,0.015781864596929526,F3,STimage
118,ARID3A,0.11042043367652853,F3,STimage
119,RABGAP1L,-0.03956991660988013,F3,STimage
120,PHF11,0.05411103269743748,F3,STimage
121,IDH3G,0.039451655408145325,F3,STimage
122,SLC43A1,0.028411021991196047,F3,STimage
123,PER1,0.013384388371578735,F3,STimage
124,CORO7,0.006578850803801758,F3,STimage
125,DNAJC1,-0.009192926265595322,F3,STimage
126,KMT2B,0.016257663132007334,F3,STimage
127,PSMD4,-0.04759572029906034,F3,STimage
128,ADCY3,0.03564123257774907,F3,STimage
129,CTU2,0.052605685755229795,F3,STimage
130,PODXL,0.07840321939295897,F3,STimage
131,HLA-DMA,0.10681841378340681,F3,STimage
132,ATP6V0D1,0.03771547144517578,F3,STimage
133,BGN,0.19435441357387598,F3,STimage
134,GNAS,0.011989683773203851,F3,STimage
135,STRN3,-0.040739673066551255,F3,STimage
136,PAQR4,-0.01867784018107074,F3,STimage
137,MPND,-0.018798026558000447,F3,STimage
138,METTL12,0.10004931333474953,F3,STimage
139,SLC9A3R2,0.059133553051809735,F3,STimage
140,CLDN3,-0.03719421721697276,F3,STimage
141,TBXAS1,0.07488885375347606,F3,STimage
142,EFHD2,0.1201262306343467,F3,STimage
143,APOBEC3G,0.05418584407863515,F3,STimage
144,LRWD1,-0.028208611643297132,F3,STimage
145,HLA-DPA1,0.1542942435464922,F3,STimage
146,ZNF592,0.04641616140402068,F3,STimage
147,ZG16B,0.05182046294534296,F3,STimage
148,NIT2,0.03578450489874666,F3,STimage
149,INPP4B,-0.020776471209911104,F3,STimage
150,C4orf48,-0.007455771179763214,F3,STimage
151,CPVL,0.05000625657843128,F3,STimage
152,TCEA2,-0.02127538612642185,F3,STimage
153,CCDC167,0.06900455481659419,F3,STimage
154,MUCL1,-0.05279550247163711,F3,STimage
155,MGMT,-0.031188710935137684,F3,STimage
156,AKAP9,0.058958638023714094,F3,STimage
157,TXN2,-0.007029030598530025,F3,STimage
158,YIPF4,-0.027544502927176858,F3,STimage
159,RASSF3,-0.02900212820525122,F3,STimage
160,HSPA4,-0.0001785521332431294,F3,STimage
161,SGTA,0.01605081019482561,F3,STimage
162,MLST8,-0.020128750721503733,F3,STimage
163,MFAP4,0.14635699696258986,F3,STimage
164,FAIM2,-0.03476558375558451,F3,STimage
165,TM7SF2,-0.037856582688210176,F3,STimage
166,EXD3,-0.057438761899912386,F3,STimage
167,SLFN13,-0.036188020422805715,F3,STimage
168,ARID5B,-0.010508860875015132,F3,STimage
169,EPHB3,0.017096486313018574,F3,STimage
170,CCL2,0.0956298786283363,F3,STimage
171,FAM118A,-0.06793675973000658,F3,STimage
172,SMG9,0.11014544574472829,F3,STimage
173,MS4A6A,0.10881739803870268,F3,STimage
174,PIGQ,-0.019127264797997978,F3,STimage
175,KLF9,-0.011583128844883894,F3,STimage
176,ITGA5,0.04003999474607507,F3,STimage
177,C1S,0.0810664649327682,F3,STimage
178,NANS,-0.02286901877577764,F3,STimage
179,AGPAT2,0.05286840341298091,F3,STimage
180,MST1R,-0.022677805889730413,F3,STimage
181,ARF5,0.051376130392405545,F3,STimage
182,S100A14,0.04529673145550099,F3,STimage
183,SEMA3B,-0.015674827030354995,F3,STimage
184,LMF1,0.0007139233512252201,F3,STimage
185,ZFP36,0.00563692476153238,F3,STimage
186,CHFR,-0.0069658988249272176,F3,STimage
187,CFDP1,0.004363503314512191,F3,STimage
188,DDB2,0.014029859287898287,F3,STimage
189,AVEN,-0.025245194092696082,F3,STimage
190,TDRD3,-0.026716956882403144,F3,STimage
191,RAB11FIP1,-0.029235854409577065,F3,STimage
192,SLC22A18,0.017600557449399156,F3,STimage
193,SRSF5,-0.044846442706768096,F3,STimage
194,DNAJC7,0.023704871921445804,F3,STimage
195,NTMT1,-0.019999720781875827,F3,STimage
196,SLC4A5,-0.01731727720681663,F3,STimage
197,HLA-B,0.23207628973116945,F3,STimage
198,EXOSC2,0.05373951088017585,F3,STimage
199,MVP,0.11103144901319321,F3,STimage
200,NUP214,3.3444287419950694e-05,F3,STimage
201,VIM,0.18601483050219428,F3,STimage
202,PTGDS,0.2576392594985702,F3,STimage
203,COL6A2,0.21447737122716046,F3,STimage
204,CPNE1,0.07909797233893796,F3,STimage
205,PDCD5,0.04445029020902594,F3,STimage
206,IGLC7,0.08842413533735911,F3,STimage
207,EXOSC10,-0.01889757507611458,F3,STimage
208,TSR2,0.012221158106852438,F3,STimage
209,ATG12,0.0817746132199959,F3,STimage
210,ALG3,0.03650603423015383,F3,STimage
211,HYI,0.04092481010015629,F3,STimage
212,CCNE2,-0.059285754230419874,F3,STimage
213,JAK1,0.013487983779902327,F3,STimage
214,ZMYND8,0.002227892940717174,F3,STimage
215,UBAP2L,-0.028978278191469663,F3,STimage
216,C5orf38,0.01989880797898731,F3,STimage
217,JCHAIN,0.033246133286706545,F3,STimage
218,FNBP4,0.037329158529544645,F3,STimage
219,TRIM22,-0.02373703565369312,F3,STimage
220,DPP9,-0.03682435011229472,F3,STimage
221,NDUFA1,0.023952211074755276,F3,STimage
222,MORC2,-0.02052562399130699,F3,STimage
223,MIF,-0.04482763574587301,F3,STimage
224,IL10RA,0.17036920572168618,F3,STimage
225,ATP5O,-0.08154964665540587,F3,STimage
226,RASA2,-0.06344514032795089,F3,STimage
227,SCD,0.14220012821013656,F3,STimage
228,KCTD10,-0.04326574715861816,F3,STimage
229,NDUFS1,-0.04707378266821338,F3,STimage
230,UCK1,-0.054528441729744075,F3,STimage
231,FUOM,0.05247183481419522,F3,STimage
232,CD52,0.2864197967948703,F3,STimage
233,MED25,0.06635847118877385,F3,STimage
234,RSL1D1,0.03435790254296643,F3,STimage
235,TMEM259,0.057649449134559556,F3,STimage
236,NEK7,-0.02795683026977866,F3,STimage
237,FAP,0.03882906614437496,F3,STimage
238,PPM1G,-0.06834558264697055,F3,STimage
239,SPSB1,0.026577113112861653,F3,STimage
240,KRT17,-0.006779672603288835,F3,STimage
241,S100A9,0.12126780340594726,F3,STimage
242,BABAM1,0.025398546683907786,F3,STimage
243,ZNF771,-0.02407087393054101,F3,STimage
244,RNASET2,0.12950133665533012,F3,STimage
245,IGHM,0.17730453162334958,F3,STimage
246,STAT5A,0.04343048479454732,F3,STimage
247,COX5A,-0.029798602781281946,F3,STimage
248,KPNB1,0.005910686932779449,F3,STimage
249,MKNK1,0.012960588496288065,F3,STimage
250,C19orf52,-0.03035879048918964,F3,STimage
251,ADI1,0.08168472498785598,F3,STimage
252,AGO2,0.00900352893090211,F3,STimage
253,RGS1,0.09117117552614043,F3,STimage
254,IFI27L1,0.040208848198226566,F3,STimage
255,MAPKAPK5,-0.05703956790486318,F3,STimage
256,LYL1,0.06421492615140312,F3,STimage
257,MUS81,-0.03212443481831055,F3,STimage
258,CAMTA2,-0.0006602773363470431,F3,STimage
259,GBP1,-0.008518795972522373,F3,STimage
260,ASL,0.0074983252034256775,F3,STimage
261,TIGD5,0.0756980355378445,F3,STimage
262,TMEM101,0.0026161588953856623,F3,STimage
263,HOOK3,-0.013568014941730143,F3,STimage
264,KMT2E,-0.050152981537181625,F3,STimage
265,EIF3B,0.03774864709770591,F3,STimage
266,ELOF1,0.0820474947168414,F3,STimage
267,MZT2A,-0.03531375083235887,F3,STimage
268,GPR108,-0.05846147166723943,F3,STimage
269,KIAA1211L,-0.027728397339878853,F3,STimage
270,MCTS1,-0.05138004110551654,F3,STimage
271,TYROBP,0.1805295466050669,F3,STimage
272,C19orf60,-0.005301403328114924,F3,STimage
273,ACER3,0.0072835477867061686,F3,STimage
274,RAB3GAP1,-0.03657334313218827,F3,STimage
275,C3,0.2978160684108273,F3,STimage
276,PLVAP,0.062151533248552895,F3,STimage
277,SURF1,0.12345043528510627,F3,STimage
278,LIMCH1,6.26956017469139e-05,F3,STimage
279,P4HA2,-0.026082161769802877,F3,STimage
280,WDR34,-0.015731117168320995,F3,STimage
281,PRPSAP1,0.003928980253188651,F3,STimage
282,NXN,0.02661721764946581,F3,STimage
283,FKBP10,0.00015805468300455566,F3,STimage
284,PTOV1,-0.013771398056067212,F3,STimage
285,MED13L,0.036260072188822025,F3,STimage
286,RBM42,-0.026459732802158766,F3,STimage
287,BOK,-0.0020675562244293487,F3,STimage
288,C12orf45,0.03179239327192039,F3,STimage
289,SPAG9,0.06029798104168269,F3,STimage
290,BCAM,-0.04247897274973705,F3,STimage
291,FKBP8,0.03029298560647262,F3,STimage
292,SNAPC3,0.007471704523661617,F3,STimage
293,ZNF791,0.04659643137610975,F3,STimage
294,AP5B1,-0.02600627965094956,F3,STimage
295,GPRC5A,0.016891929153149902,F3,STimage
296,TAX1BP1,0.05560127505027622,F3,STimage
297,MICAL1,0.14213471825938587,F3,STimage
298,ZNF337,-0.015425553468639913,F3,STimage
299,PTPRC,0.12507964697302515,F3,STimage
300,RALBP1,-0.0733331798772805,F3,STimage
301,ZMAT5,0.00014884332257700535,F3,STimage
302,GSTM3,0.10967634100880394,F3,STimage
303,PHF21A,-0.00718734984087136,F3,STimage
304,CD14,0.2554705621960345,F3,STimage
305,PDGFRB,-0.014702221527262012,F3,STimage
306,PRPF6,-0.000258124051872681,F3,STimage
307,SRGN,0.12461138073996476,F3,STimage
308,MRPL2,-0.02927769504398112,F3,STimage
309,CES2,0.06753898878342345,F3,STimage
310,FSTL3,-0.011174358941970447,F3,STimage
311,IGHA1,0.32998760920206704,F3,STimage
312,SCAF1,-0.037197642782213665,F3,STimage
313,TRIM47,-0.018649099060002946,F3,STimage
314,MRPL51,-0.030040971200806798,F3,STimage
315,XPO6,0.01156211736195641,F3,STimage
316,SOS2,-0.048367477304133856,F3,STimage
317,POLR2J,-0.08254085909189475,F3,STimage
318,MAP1S,0.007792118181675701,F3,STimage
319,PNMT,-0.025958784498747216,F3,STimage
320,SP6,-0.028219494843909648,F3,STimage
321,SIGMAR1,-0.030189083706619733,F3,STimage
322,DNAJB2,-0.033552850064571815,F3,STimage
323,SASH1,0.010502305287587358,F3,STimage
324,EVA1B,0.09058881948948949,F3,STimage
325,CDK5RAP1,-0.07179612151322162,F3,STimage
326,IKZF3,-0.009058733876296679,F3,STimage
327,BIRC2,0.032584216086645454,F3,STimage
328,MGP,-0.08330120194961767,F3,STimage
329,IFI44L,0.05012585262002997,F3,STimage
330,SNTA1,0.001701914458902013,F3,STimage
331,PWP1,-0.03442967047541507,F3,STimage
332,DCAF6,0.008919201249707114,F3,STimage
333,EIF1AD,0.019464700247776977,F3,STimage
334,SAT1,0.012573147743120766,F3,STimage
335,BCL2L12,-0.03187633288712228,F3,STimage
336,ASNS,-0.047050483033406136,F3,STimage
337,RMND1,-0.03938771306923062,F3,STimage
338,SRSF1,0.010833881682153908,F3,STimage
339,ABCA7,-0.008522230920533681,F3,STimage
340,CTDSPL,-0.042263795919077925,F3,STimage
341,KIF13B,-0.048679925870172745,F3,STimage
342,NMRAL1,-0.004554404285993917,F3,STimage
343,POR,-0.023748463758134653,F3,STimage
344,MRPL54,-0.019112445213330626,F3,STimage
345,MAP3K14,0.02670637699020054,F3,STimage
346,GPX3,0.18349152679705094,F3,STimage
347,ARHGEF10L,0.026448405078032467,F3,STimage
348,TSPAN33,0.031831947929977025,F3,STimage
349,PCIF1,0.016114913692809447,F3,STimage
350,SNX8,0.02617511661046942,F3,STimage
351,ZFAND3,-0.022884026474576005,F3,STimage
352,COPS7A,0.023626425236487277,F3,STimage
353,HES1,0.03637802546058561,F3,STimage
354,PDGFRA,0.05961136884138103,F3,STimage
355,ETFB,0.043088608760821004,F3,STimage
356,PSTPIP1,0.15931808010308024,F3,STimage
357,MYO1G,0.1508558140733837,F3,STimage
358,CCT4,-0.013683868959234213,F3,STimage
359,ABCA3,-0.05405726308411312,F3,STimage
360,CDH11,-0.02888654906113163,F3,STimage
361,COL4A1,-0.02675947891937713,F3,STimage
362,RBL1,0.050932476612274104,F3,STimage
363,MIB2,0.052992494700204965,F3,STimage
364,PODNL1,0.015152903680895068,F3,STimage
365,PLK1,0.03936062243017977,F3,STimage
366,FASN,0.1473729172549713,F3,STimage
367,AP5Z1,0.0003802848936310183,F3,STimage
