,Gene,Pearson correlation,Slide,Method
0,HPS6,0.15668602877882618,G2,STimage
1,TNC,0.25775949535114306,G2,STimage
2,NR1H2,0.14103780670458704,G2,STimage
3,NUP93,0.07985121272730766,G2,STimage
4,HNRNPUL2,0.37087748862000125,G2,STimage
5,MARS,0.14608115893443022,G2,STimage
6,SUGP1,0.08454313628304187,G2,STimage
7,DEAF1,0.1313049460422595,G2,STimage
8,WDR13,0.26207157702330025,G2,STimage
9,FLNA,0.3866882959653394,G2,STimage
10,ELN,0.0912186720792496,G2,STimage
11,MX2,0.15372813011034675,G2,STimage
12,COQ4,0.1760538310597421,G2,STimage
13,LARP7,0.07782127003711062,G2,STimage
14,TXNDC17,0.3627372814086536,G2,STimage
15,MIIP,0.23228283261599872,G2,STimage
16,AQP1,0.026749648095824308,G2,STimage
17,POSTN,0.4980202967604852,G2,STimage
18,PSCA,0.09540260437022831,G2,STimage
19,FAM117A,0.05250459906629431,G2,STimage
20,AKT1S1,0.17795335508427404,G2,STimage
21,DVL1,0.19054736665269228,G2,STimage
22,SPIN1,0.20246425823350564,G2,STimage
23,LUC7L,0.19517654422393876,G2,STimage
24,TTC31,0.10513378536377495,G2,STimage
25,CIR1,-0.00986239764943511,G2,STimage
26,GAR1,0.1114862139727314,G2,STimage
27,RALGAPA2,0.12956703533799135,G2,STimage
28,TIMP1,0.31845100924649405,G2,STimage
29,GNAI2,0.27938466153463054,G2,STimage
30,WDR73,0.07528915247203205,G2,STimage
31,UXS1,0.241666526179126,G2,STimage
32,CNN2,0.18504609705791097,G2,STimage
33,C1QB,0.23263834856389712,G2,STimage
34,CCDC106,0.020194520830403205,G2,STimage
35,ARHGAP10,0.03174720263858516,G2,STimage
36,ATL2,0.18912692880963194,G2,STimage
37,UBL7,0.10012339930952095,G2,STimage
38,NDUFA12,0.1257797475391017,G2,STimage
39,PTRF,0.20400646661885524,G2,STimage
40,PPP1R1A,0.12115339274399645,G2,STimage
41,KAT6B,0.0010036876049177436,G2,STimage
42,CORO1A,0.3063062764278141,G2,STimage
43,EZH2,0.12094360417822264,G2,STimage
44,CSF1,0.19245664792889322,G2,STimage
45,CD79A,0.20611891181290398,G2,STimage
46,SDHB,0.25487088535129576,G2,STimage
47,GATC,0.09152511243747125,G2,STimage
48,TMEM160,0.11350637885612602,G2,STimage
49,UXT,0.13088464011779208,G2,STimage
50,ZNF787,0.16428882117863025,G2,STimage
51,ATF6B,0.13746889270254614,G2,STimage
52,SNRPD3,0.22097832283836064,G2,STimage
53,ZNF217,0.3140548527581955,G2,STimage
54,SLC35A2,0.22968343125896157,G2,STimage
55,MMP9,0.3413848008499216,G2,STimage
56,ECHDC2,-0.0021852941427864736,G2,STimage
57,PEX11G,0.01658984180901245,G2,STimage
58,SF3B4,0.13194265325311635,G2,STimage
59,SYDE1,0.07868916232943526,G2,STimage
60,IGKC,0.1722220645693168,G2,STimage
61,RASGRP2,0.12054481295766163,G2,STimage
62,RND3,0.20699057730410697,G2,STimage
63,PNISR,0.10603814774716996,G2,STimage
64,HSPB1,0.3813241352542876,G2,STimage
65,UBR2,0.11003656509923941,G2,STimage
66,TESK1,0.08571353567769789,G2,STimage
67,STAMBP,0.10544577389893792,G2,STimage
68,DPYSL3,0.27639457311629706,G2,STimage
69,CPSF1,0.1996402922161605,G2,STimage
70,ZMYND19,0.29540535320761646,G2,STimage
71,COMP,0.2821102023915079,G2,STimage
72,TBCA,0.15653405269685491,G2,STimage
73,PPHLN1,0.12167355024050931,G2,STimage
74,MYL6B,0.10589942703051529,G2,STimage
75,AHCY,0.11569917325406648,G2,STimage
76,TRAP1,0.31445005602321174,G2,STimage
77,R3HDM2,0.08107474828699446,G2,STimage
78,TMEM123,0.4749115800964606,G2,STimage
79,TOM1L2,0.22678529163078484,G2,STimage
80,VPS13D,0.23492118903958092,G2,STimage
81,CD3D,0.07654014106076511,G2,STimage
82,MID1IP1,0.31423138238543746,G2,STimage
83,DPP7,0.19093169395543635,G2,STimage
84,LTBP3,0.22366632775661066,G2,STimage
85,GANAB,0.45842768789809923,G2,STimage
86,HLA-DOA,0.22641208563876122,G2,STimage
87,FAM193B,0.4172924136312455,G2,STimage
88,BRPF1,0.17089612153836195,G2,STimage
89,ITGB6,0.5125408837099573,G2,STimage
90,GBP5,-0.03564370001677924,G2,STimage
91,CADM4,0.24357732662242507,G2,STimage
92,ARID1B,0.010093760349657468,G2,STimage
93,CEP250,0.22679026654006787,G2,STimage
94,PTRH1,0.021615642311700323,G2,STimage
95,GPSM1,0.0804826671939103,G2,STimage
96,DLG1,0.16630339890674972,G2,STimage
97,MLLT4,0.08495159916155354,G2,STimage
98,APBB2,0.089561730773125,G2,STimage
99,C19orf24,0.15267737973804196,G2,STimage
100,CCS,0.2746591489357078,G2,STimage
101,DHX16,0.18123614641046312,G2,STimage
102,CRACR2B,0.3252690148831126,G2,STimage
103,CRABP2,0.21189341362480574,G2,STimage
104,MEN1,0.14813609293735314,G2,STimage
105,ARHGEF40,0.09063155025674985,G2,STimage
106,NDUFV3,0.17504173659295166,G2,STimage
107,HMGB2,0.13041371062194992,G2,STimage
108,ZFPL1,0.17952617012826852,G2,STimage
109,POLR2E,0.20389490748715228,G2,STimage
110,DAPK3,0.1591227061917924,G2,STimage
111,FAM213B,0.04768694788033263,G2,STimage
112,RNF135,0.20817175797819115,G2,STimage
113,FDPS,0.178852868618708,G2,STimage
114,GPS1,0.07955082847574774,G2,STimage
115,DDAH1,0.1570338410713414,G2,STimage
116,CSF1R,0.1427055622159437,G2,STimage
117,CHCHD6,0.030305773557564444,G2,STimage
118,ARID3A,0.030710207286471416,G2,STimage
119,RABGAP1L,0.20051491497493767,G2,STimage
120,PHF11,-0.0016717202382971728,G2,STimage
121,IDH3G,0.15764845119206863,G2,STimage
122,SLC43A1,0.14463325035923788,G2,STimage
123,PER1,0.17692594800416742,G2,STimage
124,CORO7,0.08255720148497685,G2,STimage
125,DNAJC1,0.2978714630340246,G2,STimage
126,KMT2B,0.21745586994472274,G2,STimage
127,PSMD4,0.3279226987913783,G2,STimage
128,ADCY3,0.14765320907114482,G2,STimage
129,CTU2,0.08450842010974428,G2,STimage
130,PODXL,0.09326987038328569,G2,STimage
131,HLA-DMA,0.11811940920614984,G2,STimage
132,ATP6V0D1,0.21290828369899742,G2,STimage
133,BGN,0.31523947524072776,G2,STimage
134,GNAS,0.6206380891537484,G2,STimage
135,STRN3,0.16273091667073566,G2,STimage
136,PAQR4,0.22830797473177553,G2,STimage
137,MPND,0.09042772606623493,G2,STimage
138,METTL12,0.08192462931054283,G2,STimage
139,SLC9A3R2,0.2023521103631131,G2,STimage
140,CLDN3,0.32595975103263597,G2,STimage
141,TBXAS1,0.1551510657540804,G2,STimage
142,EFHD2,0.14436778087371782,G2,STimage
143,APOBEC3G,0.15438996198678281,G2,STimage
144,LRWD1,0.11167807952998667,G2,STimage
145,HLA-DPA1,0.18619336732909783,G2,STimage
146,ZNF592,0.06433385516696871,G2,STimage
147,ZG16B,0.23365898202162777,G2,STimage
148,NIT2,0.2270992528879614,G2,STimage
149,INPP4B,0.07418752656711101,G2,STimage
150,C4orf48,0.20498742030299255,G2,STimage
151,CPVL,0.07359765220842923,G2,STimage
152,TCEA2,0.08444159924020561,G2,STimage
153,CCDC167,0.1981978979180428,G2,STimage
