,Gene,Pearson correlation,Slide,Method
0,ISG15,-0.0032027391391115613,A5,STnet
1,PLA2G2D,0.09232570835854356,A5,STnet
2,CAMK2N1,-0.059757507824482796,A5,STnet
3,USP48,0.027461537586630544,A5,STnet
4,TCEA3,0.014509551502234383,A5,STnet
5,PNRC2,-0.025171851095720156,A5,STnet
6,LDLRAP1,0.17246397228170363,A5,STnet
7,IFI6,-0.14553169194621868,A5,STnet
8,ZBTB8OS,0.006137406643510425,A5,STnet
9,RBBP4,-0.10478331576541597,A5,STnet
10,PSMB2,0.034440134684367386,A5,STnet
11,GNL2,0.03586090277882123,A5,STnet
12,SF3A3,-0.03627657995767307,A5,STnet
13,UTP11,0.017764865380603418,A5,STnet
14,AKIRIN1,-0.013605971360054685,A5,STnet
15,MFSD2A,-0.05842445873481758,A5,STnet
16,CAP1,0.0763385116944244,A5,STnet
17,CTPS1,0.048706639522917566,A5,STnet
18,PPCS,-0.007204590439598753,A5,STnet
19,PPIH,-0.10576028701337259,A5,STnet
20,YBX1,-0.06780217544613829,A5,STnet
21,EBNA1BP2,0.12461481296418575,A5,STnet
22,CDC20,0.07815075510514309,A5,STnet
23,PTPRF,0.17420004712164022,A5,STnet
24,KDM4A,-0.019853796855797627,A5,STnet
25,EIF2B3,0.0568687120818503,A5,STnet
26,NASP,0.0931597527246023,A5,STnet
27,GPBP1L1,-0.04418618730741597,A5,STnet
28,TSPAN1,-0.08199694554044659,A5,STnet
29,RAD54L,-0.1039898766289384,A5,STnet
30,LRRC41,-0.040550091239755164,A5,STnet
31,UQCRH,0.09694543190941571,A5,STnet
32,CMPK1,-0.08171801410792633,A5,STnet
33,RNF11,0.10297861095404091,A5,STnet
34,TTC39A,0.013417047856414049,A5,STnet
35,TXNDC12,-0.0712569257549072,A5,STnet
36,PRPF38A,0.03818790769136662,A5,STnet
37,SCP2,0.040553304820412854,A5,STnet
38,C1orf123,-0.08062444254040572,A5,STnet
39,MAGOH,0.014775994087942636,A5,STnet
40,NDC1,0.003555633452545706,A5,STnet
41,HSPB11,0.014403952826986656,A5,STnet
42,TMEM59,-0.0309495562176792,A5,STnet
43,SSBP3,0.01430997477434293,A5,STnet
44,TACSTD2,0.20428005850295425,A5,STnet
45,MYSM1,0.01814300079323757,A5,STnet
46,TM2D1,-0.07795187110483805,A5,STnet
47,PATJ,-0.011197635509835031,A5,STnet
48,USP1,-0.08453526510884925,A5,STnet
49,JAK1,-0.022057917412769707,A5,STnet
50,LEPROT,-0.03521774494857759,A5,STnet
51,GNG12,0.12866360830146611,A5,STnet
52,SRSF11,-0.04588580558723426,A5,STnet
53,USP33,0.004325752437829231,A5,STnet
54,IFI44L,-0.06611478293385006,A5,STnet
55,IFI44,0.035603182609873066,A5,STnet
56,GNG5,-0.03312303074924975,A5,STnet
57,SEP15,0.014676224407742536,A5,STnet
58,LMO4,-0.09358954088760003,A5,STnet
59,GTF2B,-0.09522540218101892,A5,STnet
60,GBP3,-0.0440923077706723,A5,STnet
61,GBP1,0.024756705086458854,A5,STnet
62,GBP2,0.0018869535810196022,A5,STnet
63,GBP5,0.07582665625579324,A5,STnet
64,LRRC8B,0.15881670456336003,A5,STnet
65,LRRC8D,-0.08179178995142233,A5,STnet
66,CDC7,0.03403304061629689,A5,STnet
67,GLMN,-0.025988137276293646,A5,STnet
68,MTF2,0.18816714443568552,A5,STnet
69,TMED5,-0.15512753047030067,A5,STnet
70,CCDC18,-0.10857220758645739,A5,STnet
71,DR1,0.21763499475668283,A5,STnet
72,FNBP1L,-0.043052485176473206,A5,STnet
73,BCAR3,0.006632879885858895,A5,STnet
74,DNTTIP2,0.14933756281977859,A5,STnet
75,GCLM,0.16534379518974143,A5,STnet
76,ARHGAP29,0.050566509421527156,A5,STnet
77,ABCD3,0.20623918243120737,A5,STnet
78,CNN3,0.15410893500030173,A5,STnet
79,ALG14,0.23776313692172815,A5,STnet
80,TMEM56,0.07099385350063307,A5,STnet
81,SNX7,0.012556215618431283,A5,STnet
82,VCAM1,0.022189653999130494,A5,STnet
83,PSMA5,-0.015249651411672544,A5,STnet
84,GSTM3,0.07737240306174664,A5,STnet
85,CD53,0.11871692114003256,A5,STnet
86,ATP5F1,0.04556897290104586,A5,STnet
87,WDR3,-0.07038379682617647,A5,STnet
88,PHGDH,0.05399125961769254,A5,STnet
89,CTSS,0.015481696176499332,A5,STnet
90,CTSK,-0.06964905893275299,A5,STnet
91,SCNM1,-0.06368570933953586,A5,STnet
92,S100A8,-0.04235920846871457,A5,STnet
93,S100A14,0.274828795298232,A5,STnet
94,S100A1,-0.03126531424823398,A5,STnet
95,CREB3L4,-0.06195586788298668,A5,STnet
96,CKS1B,0.03903577186427929,A5,STnet
97,EFNA3,0.014091503702291692,A5,STnet
98,RIT1,0.05618376661296356,A5,STnet
99,CRABP2,-0.11414763268600311,A5,STnet
100,IFI16,0.01215352732462683,A5,STnet
101,USF1,0.05463847273637915,A5,STnet
102,OLFML2B,0.009488324264787497,A5,STnet
103,MPC2,0.1383368574380566,A5,STnet
104,ATP1B1,-0.0452653193618873,A5,STnet
105,RABGAP1L,-0.0962124009464888,A5,STnet
106,CACYBP,-0.01203176318929023,A5,STnet
107,XPR1,0.06869855296567748,A5,STnet
108,LAMC1,0.10689409237556592,A5,STnet
