,Gene,Pearson correlation,Slide,Method
0,ISG15,0.28753635425896196,B6,STnet
1,PLA2G2D,0.17320427741144645,B6,STnet
2,CAMK2N1,-0.07259772871790997,B6,STnet
3,USP48,-0.1270803906566603,B6,STnet
4,TCEA3,0.0917006662877313,B6,STnet
5,PNRC2,-0.28907265337934773,B6,STnet
6,LDLRAP1,-0.10316138470812766,B6,STnet
7,IFI6,-0.01903434635028328,B6,STnet
8,ZBTB8OS,0.10779886434024945,B6,STnet
9,RBBP4,0.05709091170828503,B6,STnet
10,PSMB2,0.241759876548486,B6,STnet
11,GNL2,0.02850679215655654,B6,STnet
12,SF3A3,0.08109638496836635,B6,STnet
13,UTP11,0.03243373465153591,B6,STnet
14,AKIRIN1,0.027236968314910747,B6,STnet
15,MFSD2A,0.11997671131233152,B6,STnet
16,CAP1,0.20371043156771637,B6,STnet
17,CTPS1,-0.05743849153757949,B6,STnet
18,PPCS,-0.19048953984341394,B6,STnet
19,PPIH,-0.02069701980888908,B6,STnet
20,YBX1,0.16166823832812016,B6,STnet
21,EBNA1BP2,0.31570562632211924,B6,STnet
22,CDC20,0.06988065769970635,B6,STnet
23,PTPRF,0.17252213160968874,B6,STnet
24,KDM4A,-0.10349668031823671,B6,STnet
25,EIF2B3,0.061509233236208646,B6,STnet
26,NASP,0.0587155541981143,B6,STnet
27,GPBP1L1,0.08672087272008533,B6,STnet
28,TSPAN1,-0.09184129455687767,B6,STnet
29,RAD54L,0.08102532522494742,B6,STnet
30,LRRC41,-0.15959909069789113,B6,STnet
31,UQCRH,0.02815114704778667,B6,STnet
32,CMPK1,-0.21019889166957728,B6,STnet
33,RNF11,0.11298714804302681,B6,STnet
34,TTC39A,0.15848021743695176,B6,STnet
35,TXNDC12,0.4297245469223614,B6,STnet
36,PRPF38A,-0.04119819115869674,B6,STnet
37,SCP2,0.06744332269003217,B6,STnet
38,C1orf123,0.07763974698337119,B6,STnet
39,MAGOH,0.11934482949885826,B6,STnet
40,NDC1,0.04478605346149559,B6,STnet
41,HSPB11,0.1637843231730299,B6,STnet
42,TMEM59,0.04815852195914847,B6,STnet
43,SSBP3,-0.024164886331954457,B6,STnet
44,TACSTD2,0.20544093148736303,B6,STnet
45,MYSM1,-0.077361249812176,B6,STnet
46,TM2D1,-0.07934362648649393,B6,STnet
47,PATJ,0.12157239155991761,B6,STnet
48,USP1,-0.004532843936606832,B6,STnet
49,JAK1,-0.07693922513744617,B6,STnet
50,LEPROT,0.10178155651202955,B6,STnet
51,GNG12,0.20492827880317974,B6,STnet
52,SRSF11,-0.10222244404570664,B6,STnet
53,USP33,-0.0007532968368253155,B6,STnet
54,IFI44L,0.008280128006523842,B6,STnet
55,IFI44,0.01953280949100586,B6,STnet
56,GNG5,-0.008654885826618735,B6,STnet
57,SEP15,-0.25655571774583924,B6,STnet
58,LMO4,0.07163832523371173,B6,STnet
59,GTF2B,0.07805030917521645,B6,STnet
60,GBP3,0.21578853668519923,B6,STnet
61,GBP1,-0.0003542940191465376,B6,STnet
62,GBP2,-0.06450230773908976,B6,STnet
63,GBP5,0.04478005580380367,B6,STnet
64,LRRC8B,-0.008084599473229639,B6,STnet
65,LRRC8D,0.10653027294468269,B6,STnet
66,CDC7,0.10437406589467436,B6,STnet
67,GLMN,-0.06263539158363701,B6,STnet
68,MTF2,0.0452254481432259,B6,STnet
69,TMED5,0.10550654107592147,B6,STnet
70,CCDC18,-0.005660485827982312,B6,STnet
71,DR1,0.11163300437155776,B6,STnet
72,FNBP1L,-0.09889094895191505,B6,STnet
73,BCAR3,-0.07177911877040656,B6,STnet
74,DNTTIP2,-0.0052706040589300465,B6,STnet
75,GCLM,0.20034524119173752,B6,STnet
76,ARHGAP29,-0.017062559420975166,B6,STnet
77,ABCD3,0.057930874101433966,B6,STnet
78,CNN3,0.15465360533334904,B6,STnet
79,ALG14,-0.07898257760068253,B6,STnet
80,TMEM56,0.05257889684257792,B6,STnet
81,SNX7,-0.03795344182670234,B6,STnet
82,VCAM1,-0.06541745378914132,B6,STnet
83,PSMA5,0.18981113757346466,B6,STnet
84,GSTM3,0.11201846277898059,B6,STnet
85,CD53,-0.08266751316797469,B6,STnet
86,ATP5F1,0.06712081076110792,B6,STnet
87,WDR3,0.06473601393205446,B6,STnet
88,PHGDH,0.10353167446607361,B6,STnet
89,CTSS,0.21223063688332178,B6,STnet
90,CTSK,0.24918826400724986,B6,STnet
91,SCNM1,-0.026939799586479733,B6,STnet
92,S100A8,0.010063745748631102,B6,STnet
93,S100A14,0.033025987832422235,B6,STnet
94,S100A1,-0.023461698834606918,B6,STnet
95,CREB3L4,0.24246788798216506,B6,STnet
96,CKS1B,-0.07900975813087799,B6,STnet
97,EFNA3,-0.009344066302773775,B6,STnet
98,RIT1,0.2417138197753838,B6,STnet
99,CRABP2,0.0632839756929619,B6,STnet
100,IFI16,0.12396943220136362,B6,STnet
101,USF1,-0.030464290540980703,B6,STnet
102,OLFML2B,0.051281865509805846,B6,STnet
103,MPC2,-0.011284472260420309,B6,STnet
104,ATP1B1,0.07606822659683449,B6,STnet
105,RABGAP1L,-0.05453025613144268,B6,STnet
106,CACYBP,0.07006868842435948,B6,STnet
107,XPR1,0.044935188319130466,B6,STnet
108,LAMC1,-0.02898897078630743,B6,STnet
109,C1orf21,0.18212134067417884,B6,STnet
110,TPR,0.21293545424448995,B6,STnet
111,PTPRC,0.07712365050851036,B6,STnet
112,UBE2T,0.019024548908561933,B6,STnet
113,NUCKS1,-0.08167571932094354,B6,STnet
114,ATF3,-0.18508542259296382,B6,STnet
115,CENPF,0.229143684122814,B6,STnet
116,KCTD3,-0.039567639457701455,B6,STnet
117,LYPLAL1,0.11551090575994603,B6,STnet
118,IARS2,0.22669948476783566,B6,STnet
119,CNIH4,0.10453904051746625,B6,STnet
120,NUP133,-0.14499458688085332,B6,STnet
121,ARID4B,0.19443235457083718,B6,STnet
122,CHML,-0.0679252683940488,B6,STnet
123,SCCPDH,0.03808095910403283,B6,STnet
124,ATP5C1,0.15706491043691165,B6,STnet
125,GATA3,0.1973757101272924,B6,STnet
126,FAM107B,0.06475209224168148,B6,STnet
127,HSPA14,-0.02847509753354993,B6,STnet
128,NEBL,0.2567932698027708,B6,STnet
129,BAMBI,0.30564200471851205,B6,STnet
130,ARHGAP12,-0.19745960747365637,B6,STnet
131,DKK1,-0.01865930174490694,B6,STnet
132,ZWINT,0.026361035675677207,B6,STnet
133,ANK3,0.04942610946198571,B6,STnet
134,CDK1,0.2457307892612229,B6,STnet
135,HERC4,-0.21070491742767167,B6,STnet
136,SRGN,0.18878116062756645,B6,STnet
137,H2AFY2,0.1824116915360237,B6,STnet
138,ADK,0.036679314947184724,B6,STnet
139,DLG5,0.22101434697677627,B6,STnet
140,PLAC9,-0.07390364476717584,B6,STnet
141,GHITM,0.19341254207337058,B6,STnet
142,SNCG,-0.13190628689726014,B6,STnet
143,ADIRF,-0.08743350801066901,B6,STnet
144,IFIT3,-0.09694705350580077,B6,STnet
145,FRA10AC1,0.06692831814934505,B6,STnet
146,EXOSC1,0.14828131164825606,B6,STnet
147,SCD,0.14464923959128226,B6,STnet
148,ARL3,0.021906885824348313,B6,STnet
149,ADD3,0.004567062070065313,B6,STnet
150,DUSP5,-0.10654009815453222,B6,STnet
151,FAM204A,-0.27507119508193684,B6,STnet
152,RGS10,0.04685523311146143,B6,STnet
153,NSMCE4A,-0.16930171567668398,B6,STnet
154,OAT,-0.18131073831939704,B6,STnet
