,Gene,Pearson correlation,Slide,Method
0,ISG15,-0.15954112640813123,C1,STnet
1,PLA2G2D,0.03914290522207671,C1,STnet
2,CAMK2N1,0.146802510451406,C1,STnet
3,USP48,-0.17208241625937018,C1,STnet
4,TCEA3,-0.18386241418356272,C1,STnet
5,PNRC2,-0.0062489210070659496,C1,STnet
6,LDLRAP1,0.23173731340198028,C1,STnet
7,IFI6,0.4524634862973199,C1,STnet
8,ZBTB8OS,-0.1484798592866181,C1,STnet
9,RBBP4,-0.14010786571981126,C1,STnet
10,PSMB2,-0.30427779682379663,C1,STnet
11,GNL2,0.18344487770970064,C1,STnet
12,SF3A3,0.16342074917651514,C1,STnet
13,UTP11,0.027850495884475725,C1,STnet
14,AKIRIN1,0.16416357012563143,C1,STnet
15,MFSD2A,-0.012073383675158693,C1,STnet
16,CAP1,0.1805942580482693,C1,STnet
17,CTPS1,-0.11306840041732395,C1,STnet
18,PPCS,0.21686902014696463,C1,STnet
19,PPIH,-0.12556340546646885,C1,STnet
20,YBX1,0.007010652496691035,C1,STnet
21,EBNA1BP2,0.17728050150765717,C1,STnet
22,CDC20,-0.32517721572256975,C1,STnet
23,PTPRF,0.3205381498471007,C1,STnet
24,KDM4A,-0.07921585674283464,C1,STnet
25,EIF2B3,0.08561406244046466,C1,STnet
26,NASP,-0.2191190479766306,C1,STnet
27,GPBP1L1,-0.4636671182004036,C1,STnet
28,TSPAN1,-0.004729476144890703,C1,STnet
29,RAD54L,0.07471634810780269,C1,STnet
30,LRRC41,0.1378397569532287,C1,STnet
31,UQCRH,0.32542296667469134,C1,STnet
32,CMPK1,-0.4956815112322123,C1,STnet
33,RNF11,-0.11024206291938277,C1,STnet
34,TTC39A,-0.15826267174041972,C1,STnet
35,TXNDC12,-0.2900670290287145,C1,STnet
36,PRPF38A,0.30186412961938347,C1,STnet
37,SCP2,0.2182416271153224,C1,STnet
38,C1orf123,-0.06171284010389755,C1,STnet
39,MAGOH,0.18774968427757163,C1,STnet
40,NDC1,0.21099434215666774,C1,STnet
41,HSPB11,-0.1332821126156877,C1,STnet
42,TMEM59,-0.439126471209517,C1,STnet
43,SSBP3,0.189767490521618,C1,STnet
44,TACSTD2,0.4660393584640405,C1,STnet
45,MYSM1,-0.1780065084395831,C1,STnet
46,TM2D1,0.11728602033187603,C1,STnet
47,PATJ,0.1494346562558092,C1,STnet
48,USP1,0.235921899569734,C1,STnet
49,JAK1,0.005927006459323319,C1,STnet
50,LEPROT,0.07709392215772569,C1,STnet
51,GNG12,-0.38362238428520956,C1,STnet
