,Gene,Pearson correlation,Slide,Method
0,ISG15,-0.05281188706055986,D2,STnet
1,PLA2G2D,-0.002637635026415117,D2,STnet
2,CAMK2N1,-0.07330896370033119,D2,STnet
3,USP48,-0.06407167643128023,D2,STnet
4,TCEA3,-0.12142490711224238,D2,STnet
5,PNRC2,-0.1716525006246157,D2,STnet
6,LDLRAP1,0.07775300391349425,D2,STnet
7,IFI6,-0.21875440359612158,D2,STnet
8,ZBTB8OS,0.16232863596345115,D2,STnet
9,RBBP4,0.039286930617499424,D2,STnet
10,PSMB2,-0.17995666305152788,D2,STnet
11,GNL2,-0.0865828795933463,D2,STnet
12,SF3A3,0.03640383298650633,D2,STnet
13,UTP11,0.13983765231952267,D2,STnet
14,AKIRIN1,0.06063651758413438,D2,STnet
15,MFSD2A,-0.15462043971996597,D2,STnet
16,CAP1,-0.06886349422141602,D2,STnet
17,CTPS1,-0.08691689364196593,D2,STnet
18,PPCS,-0.05080760738993932,D2,STnet
19,PPIH,-0.09791981797641941,D2,STnet
20,YBX1,-0.061046896852898734,D2,STnet
21,EBNA1BP2,0.04969781452920429,D2,STnet
22,CDC20,0.15573357187576367,D2,STnet
23,PTPRF,-0.0016280399683332833,D2,STnet
24,KDM4A,-0.009565580502259856,D2,STnet
25,EIF2B3,0.1366673997317748,D2,STnet
26,NASP,0.13024069535818214,D2,STnet
27,GPBP1L1,0.1384071804082085,D2,STnet
28,TSPAN1,0.08368673201792914,D2,STnet
29,RAD54L,0.07661124948369978,D2,STnet
30,LRRC41,0.1513714272947197,D2,STnet
31,UQCRH,0.03402901673869126,D2,STnet
32,CMPK1,0.11464755261025023,D2,STnet
33,RNF11,0.01600758395767466,D2,STnet
34,TTC39A,-0.004062396906698079,D2,STnet
35,TXNDC12,0.019926997671034664,D2,STnet
36,PRPF38A,-0.05370655716148127,D2,STnet
37,SCP2,-0.06179108734613483,D2,STnet
38,C1orf123,0.09072537755937464,D2,STnet
39,MAGOH,-0.16170919825520666,D2,STnet
40,NDC1,-0.13514871492881936,D2,STnet
41,HSPB11,0.14078571051936717,D2,STnet
42,TMEM59,-0.11159317066026114,D2,STnet
43,SSBP3,0.033615772300530124,D2,STnet
44,TACSTD2,0.33912282480920874,D2,STnet
45,MYSM1,0.0731744242796452,D2,STnet
46,TM2D1,-0.00906391799934788,D2,STnet
47,PATJ,-0.01295274329942861,D2,STnet
48,USP1,0.10179895712900196,D2,STnet
49,JAK1,0.028100145985029048,D2,STnet
50,LEPROT,0.020198171613807752,D2,STnet
51,GNG12,0.14339390018335813,D2,STnet
52,SRSF11,0.061576792521327424,D2,STnet
53,USP33,-0.0014917114790684303,D2,STnet
