,Gene,Pearson correlation,Slide,Method
0,ISG15,0.0012949132930492725,E1,STnet
1,PLA2G2D,-0.031453370936852014,E1,STnet
2,CAMK2N1,-0.06003600189358741,E1,STnet
3,USP48,-0.08417071791404335,E1,STnet
4,TCEA3,0.1040505245036339,E1,STnet
5,PNRC2,-0.06589932086492792,E1,STnet
6,LDLRAP1,0.008389577265446983,E1,STnet
7,IFI6,-0.025409033041405907,E1,STnet
8,ZBTB8OS,0.023098968948414296,E1,STnet
9,RBBP4,-0.08023052941864775,E1,STnet
10,PSMB2,-0.12844232966312896,E1,STnet
11,GNL2,-0.03080213240939052,E1,STnet
12,SF3A3,0.011977846087555569,E1,STnet
13,UTP11,0.06425597615691064,E1,STnet
14,AKIRIN1,0.0497304607189612,E1,STnet
15,MFSD2A,-0.006531241169022399,E1,STnet
16,CAP1,-0.06176591487798717,E1,STnet
17,CTPS1,-0.03512961326335008,E1,STnet
18,PPCS,0.10973970960806108,E1,STnet
19,PPIH,-0.039327002928331085,E1,STnet
20,YBX1,0.061529681975143836,E1,STnet
21,EBNA1BP2,0.04956017710090437,E1,STnet
22,CDC20,-0.14368076188306647,E1,STnet
23,PTPRF,0.11967030582496845,E1,STnet
24,KDM4A,0.05427490622654086,E1,STnet
25,EIF2B3,0.03840890910224976,E1,STnet
26,NASP,0.13046329158656883,E1,STnet
27,GPBP1L1,0.04706495881585998,E1,STnet
28,TSPAN1,0.03200896094092611,E1,STnet
29,RAD54L,-0.10623535047165145,E1,STnet
30,LRRC41,-0.01641359000327308,E1,STnet
31,UQCRH,0.09268707401354274,E1,STnet
32,CMPK1,-0.04889163665667515,E1,STnet
33,RNF11,-0.008505366212804672,E1,STnet
34,TTC39A,0.06539231590270059,E1,STnet
35,TXNDC12,0.007749124760901463,E1,STnet
36,PRPF38A,0.0346824994681642,E1,STnet
37,SCP2,-0.013001512734441669,E1,STnet
38,C1orf123,0.007948071690044682,E1,STnet
39,MAGOH,-0.061517031303300836,E1,STnet
40,NDC1,-0.01962073434579967,E1,STnet
41,HSPB11,-0.034137908940376896,E1,STnet
42,TMEM59,-0.04586271195030259,E1,STnet
43,SSBP3,-0.03144340368887775,E1,STnet
44,TACSTD2,-0.2577701339307691,E1,STnet
45,MYSM1,0.027488057423812225,E1,STnet
46,TM2D1,0.017233740031849763,E1,STnet
47,PATJ,0.0008995921031656148,E1,STnet
48,USP1,0.050527440975316584,E1,STnet
49,JAK1,-0.036397317769422,E1,STnet
50,LEPROT,0.05462164439327378,E1,STnet
51,GNG12,0.040043950217587214,E1,STnet
52,SRSF11,0.015236876402319972,E1,STnet
53,USP33,0.0543237006931836,E1,STnet
54,IFI44L,0.04892406860093008,E1,STnet
55,IFI44,0.07251084889167243,E1,STnet
56,GNG5,0.03206048453010092,E1,STnet
57,SEP15,0.012109252420551735,E1,STnet
58,LMO4,0.03390399948894847,E1,STnet
59,GTF2B,,E1,STnet
60,GBP3,-0.04070941533649189,E1,STnet
61,GBP1,0.05961829996022562,E1,STnet
62,GBP2,0.11039593171936567,E1,STnet
63,GBP5,-0.03232506918807611,E1,STnet
64,LRRC8B,-0.017067037933066576,E1,STnet
65,LRRC8D,-0.02322870621202571,E1,STnet
66,CDC7,-0.008167971998498159,E1,STnet
67,GLMN,0.047749522496376824,E1,STnet
68,MTF2,-0.04342198704069106,E1,STnet
69,TMED5,-0.049335666343661336,E1,STnet
70,CCDC18,-0.035457537191153736,E1,STnet
71,DR1,0.017940652127945364,E1,STnet
72,FNBP1L,0.011906675913589071,E1,STnet
73,BCAR3,-0.03974216911055627,E1,STnet
