,Gene,Pearson correlation,Slide,Method
0,ISG15,0.061955795683048105,F2,STnet
1,PLA2G2D,0.03734235220486625,F2,STnet
2,CAMK2N1,-0.05227300396654926,F2,STnet
3,USP48,-0.011246139624160935,F2,STnet
4,TCEA3,-0.012855921951750142,F2,STnet
5,PNRC2,-0.002111012579554525,F2,STnet
6,LDLRAP1,-0.062481662136225136,F2,STnet
7,IFI6,-0.05047331003439307,F2,STnet
8,ZBTB8OS,0.04332346530735489,F2,STnet
9,RBBP4,-0.03253630890470215,F2,STnet
10,PSMB2,-0.004334828557711224,F2,STnet
11,GNL2,-0.004208367904083949,F2,STnet
12,SF3A3,-0.08224475772275221,F2,STnet
13,UTP11,0.009463650804431682,F2,STnet
14,AKIRIN1,-0.08444560876826511,F2,STnet
15,MFSD2A,0.02498650117216806,F2,STnet
16,CAP1,-0.014246753908234006,F2,STnet
17,CTPS1,0.018210360735074288,F2,STnet
18,PPCS,0.02887224150167073,F2,STnet
19,PPIH,0.00697183285429062,F2,STnet
20,YBX1,0.0043673331367931004,F2,STnet
21,EBNA1BP2,0.00711694184600091,F2,STnet
22,CDC20,0.012986461188944488,F2,STnet
23,PTPRF,-0.04894941249956625,F2,STnet
24,KDM4A,-0.08931712367921314,F2,STnet
25,EIF2B3,-0.024382931204207016,F2,STnet
26,NASP,-0.06700409903984082,F2,STnet
27,GPBP1L1,0.03625713597825974,F2,STnet
28,TSPAN1,-0.023095830871383293,F2,STnet
29,RAD54L,-0.00426635414733499,F2,STnet
30,LRRC41,0.05737042711915316,F2,STnet
31,UQCRH,-0.014115507945122388,F2,STnet
32,CMPK1,0.0008984105790039708,F2,STnet
33,RNF11,-0.05756615430157949,F2,STnet
34,TTC39A,0.01221698280020922,F2,STnet
35,TXNDC12,0.01378425380823989,F2,STnet
36,PRPF38A,-0.014665526592847259,F2,STnet
37,SCP2,-0.08202444017116658,F2,STnet
38,C1orf123,0.03190584811239318,F2,STnet
39,MAGOH,-0.048430329682226735,F2,STnet
40,NDC1,0.06227063545120813,F2,STnet
41,HSPB11,0.04127619188981752,F2,STnet
42,TMEM59,0.0980273833630937,F2,STnet
43,SSBP3,0.010458574641263502,F2,STnet
44,TACSTD2,-0.005698416285722242,F2,STnet
45,MYSM1,-0.06683377897557946,F2,STnet
46,TM2D1,-0.009137529956749758,F2,STnet
47,PATJ,-0.018053073379676904,F2,STnet
48,USP1,-0.03320816444066954,F2,STnet
49,JAK1,-0.0036098260931706093,F2,STnet
50,LEPROT,-0.022254548423450034,F2,STnet
51,GNG12,0.04266422803993484,F2,STnet
52,SRSF11,-0.016692429678328752,F2,STnet
53,USP33,-0.005742176065697327,F2,STnet
54,IFI44L,0.0005090876901627093,F2,STnet
55,IFI44,-0.06461313331619813,F2,STnet
56,GNG5,0.010922689191201825,F2,STnet
57,SEP15,-0.007659582755572475,F2,STnet
58,LMO4,0.03334281751997034,F2,STnet
59,GTF2B,-0.013149834999235405,F2,STnet
60,GBP3,0.019538387618694624,F2,STnet
61,GBP1,0.045017785913218956,F2,STnet
62,GBP2,0.019126229169779862,F2,STnet
63,GBP5,0.09068602971217452,F2,STnet
64,LRRC8B,0.012164435562939484,F2,STnet
65,LRRC8D,0.033121474358835605,F2,STnet
66,CDC7,-0.03256939482871135,F2,STnet
67,GLMN,-0.017875696106056098,F2,STnet
68,MTF2,0.013130270630884167,F2,STnet
69,TMED5,-0.007459515213267905,F2,STnet
70,CCDC18,0.03991941871589645,F2,STnet
71,DR1,-0.013954271142822437,F2,STnet
72,FNBP1L,-0.021549840099589043,F2,STnet
73,BCAR3,-0.008733885855909949,F2,STnet
74,DNTTIP2,-0.06858998245116744,F2,STnet
75,GCLM,-0.0046482766057037465,F2,STnet
76,ARHGAP29,0.028480403810265693,F2,STnet
77,ABCD3,0.06891616988417457,F2,STnet
78,CNN3,-0.03614980140637024,F2,STnet
79,ALG14,-0.026640899615965163,F2,STnet
80,TMEM56,-0.011092371058986826,F2,STnet
81,SNX7,0.03698400131675585,F2,STnet
82,VCAM1,0.026493042530867025,F2,STnet
83,PSMA5,-0.027184047837858636,F2,STnet
84,GSTM3,0.04407045477289473,F2,STnet
85,CD53,-0.030338147524976575,F2,STnet
86,ATP5F1,-0.016328636804715736,F2,STnet
87,WDR3,0.004115953444533736,F2,STnet
88,PHGDH,0.004600415291810773,F2,STnet
89,CTSS,-0.011121234378887587,F2,STnet
90,CTSK,-0.007752196607059137,F2,STnet
91,SCNM1,0.0467126746614539,F2,STnet
92,S100A8,0.028790198344136108,F2,STnet
93,S100A14,-0.07792448706353886,F2,STnet
94,S100A1,0.007124153518242844,F2,STnet
95,CREB3L4,0.07559727573896159,F2,STnet
96,CKS1B,-0.056541054204922184,F2,STnet
97,EFNA3,-0.01888663658893087,F2,STnet
98,RIT1,-0.008752440581049062,F2,STnet
99,CRABP2,-0.02624384536546327,F2,STnet
100,IFI16,-0.040791629642350676,F2,STnet
101,USF1,0.004599579582689363,F2,STnet
102,OLFML2B,0.013633384570496659,F2,STnet
103,MPC2,-0.03680777727388284,F2,STnet
104,ATP1B1,-0.04895525515361293,F2,STnet
105,RABGAP1L,0.012063076665003555,F2,STnet
106,CACYBP,0.05552776409829719,F2,STnet
107,XPR1,-0.004828970692645908,F2,STnet
108,LAMC1,0.019888895953737582,F2,STnet
109,C1orf21,0.03602809217272181,F2,STnet
110,TPR,-0.033839051250073506,F2,STnet
111,PTPRC,-0.03916887583870714,F2,STnet
112,UBE2T,-0.03212346944278299,F2,STnet
113,NUCKS1,0.025438090437900365,F2,STnet
114,ATF3,0.04274411963582531,F2,STnet
115,CENPF,0.005073044792262563,F2,STnet
116,KCTD3,0.06449178562315401,F2,STnet
117,LYPLAL1,0.02370401375218003,F2,STnet
118,IARS2,0.015832470340146693,F2,STnet
119,CNIH4,-0.0008118659260477356,F2,STnet
120,NUP133,0.046406998989723995,F2,STnet
121,ARID4B,-0.03282793763599372,F2,STnet
122,CHML,-0.08987054848406109,F2,STnet
123,SCCPDH,0.0673375409920626,F2,STnet
124,ATP5C1,-0.018209485434236877,F2,STnet
125,GATA3,-0.06036692359249002,F2,STnet
126,FAM107B,0.0687848638774174,F2,STnet
127,HSPA14,0.04275948052446953,F2,STnet
128,NEBL,0.010598212218903436,F2,STnet
129,BAMBI,-0.002340811849984405,F2,STnet
130,ARHGAP12,0.008361205269796546,F2,STnet
131,DKK1,-0.042409987125972166,F2,STnet
132,ZWINT,-0.002614102796534904,F2,STnet
133,ANK3,-0.034232738137858695,F2,STnet
134,CDK1,0.004580790108897428,F2,STnet
135,HERC4,-0.006339618342042968,F2,STnet
136,SRGN,-0.0113520611332942,F2,STnet
137,H2AFY2,-0.044346741497165026,F2,STnet
138,ADK,-0.03233663718970927,F2,STnet
139,DLG5,0.029446002005943377,F2,STnet
140,PLAC9,0.07120728789085945,F2,STnet
141,GHITM,0.09148013164371092,F2,STnet
142,SNCG,-0.019120595305246294,F2,STnet
143,ADIRF,-0.08950920926338737,F2,STnet
144,IFIT3,-0.05910355688597346,F2,STnet
145,FRA10AC1,0.005846958148660407,F2,STnet
146,EXOSC1,-0.025278063758877724,F2,STnet
147,SCD,-0.13859938038444486,F2,STnet
148,ARL3,0.028370478853046246,F2,STnet
149,ADD3,-0.02370877430325882,F2,STnet
150,DUSP5,-0.08967868531639349,F2,STnet
151,FAM204A,-0.036452672914009464,F2,STnet
152,RGS10,0.03744340771631526,F2,STnet
153,NSMCE4A,0.045206169700197876,F2,STnet
154,OAT,-0.03650589307450802,F2,STnet
155,GLRX3,-0.04102829834928607,F2,STnet
156,IFITM2,0.0510664231755585,F2,STnet
157,TRIM22,0.015805398430141417,F2,STnet
158,DKK3,-0.020579103872514222,F2,STnet
159,SAA1,-0.026163916859683615,F2,STnet
160,TSG101,-0.05139642882917943,F2,STnet
161,SVIP,0.031163597163199584,F2,STnet
162,CAPRIN1,-0.03529696735267836,F2,STnet
163,API5,-0.022047704990560954,F2,STnet
164,MTCH2,0.04336270053988819,F2,STnet
165,UBE2L6,-0.06811620072211731,F2,STnet
166,MPEG1,-0.014442757874386807,F2,STnet
167,MS4A7,0.04101142635944685,F2,STnet
168,TMEM258,0.03450253071373912,F2,STnet
169,FEN1,-0.020059099829817885,F2,STnet
170,PLA2G16,-0.04703202218285293,F2,STnet
171,CST6,-0.0162577718207388,F2,STnet
172,ALDH3B2,0.06194548698052095,F2,STnet
173,TESMIN,-0.013824764051054834,F2,STnet
174,MRPL21,-0.03727983351879047,F2,STnet
175,CCND1,0.01159329779002183,F2,STnet
176,ORAOV1,-0.07524812785299217,F2,STnet
177,ANO1,-0.009101398563087759,F2,STnet
178,FADD,0.012052474243903816,F2,STnet
179,CTTN,-0.05261684343603469,F2,STnet
180,PRSS23,0.02428443487345242,F2,STnet
181,BIRC3,-0.13873341735256295,F2,STnet
182,MMP1,-0.05091424183763553,F2,STnet
183,CASP4,0.058026170609610656,F2,STnet
184,CD3D,-0.010002815304833872,F2,STnet
185,THYN1,0.052604081785714914,F2,STnet
186,SCNN1A,-0.07924655351645216,F2,STnet
187,RIMKLB,0.04545907528223088,F2,STnet
188,MAGOHB,-0.000846452043642397,F2,STnet
189,GPRC5A,-0.051369201199671595,F2,STnet
190,MGP,0.09447413937042608,F2,STnet
191,C12orf60,-0.0454059969526002,F2,STnet
192,LDHB,0.07175077407514915,F2,STnet
193,ITPR2,0.05393957419790469,F2,STnet
194,ZCRB1,0.009019893405040844,F2,STnet
195,FAIM2,-0.006533234966584798,F2,STnet
196,METTL7A,0.02487355215824799,F2,STnet
197,NR4A1,-0.010753140244369254,F2,STnet
198,KRT81,0.02665307288601121,F2,STnet
199,KRT86,-0.014613426771147181,F2,STnet
200,PPP1R1A,-0.011914976625854928,F2,STnet
201,MUCL1,-0.05363426212845073,F2,STnet
202,NUP107,-0.004302653292480653,F2,STnet
203,LYZ,0.04054694212178434,F2,STnet
204,DUSP6,-0.05325073614089702,F2,STnet
205,ATP2B1,0.024468297133685715,F2,STnet
206,LUM,0.03201392868262797,F2,STnet
207,DCN,-0.027070360798417435,F2,STnet
208,EEA1,0.12781981693788944,F2,STnet
209,NTN4,-0.008545795018566584,F2,STnet
210,TMPO,-0.00011081887947259234,F2,STnet
211,ARL1,-0.025112324621305318,F2,STnet
212,CHPT1,0.013849293594008013,F2,STnet
213,SYCP3,0.03272320595898773,F2,STnet
214,CCDC53,-0.03994243435107153,F2,STnet
215,PWP1,0.044638174388641476,F2,STnet
216,TCTN1,-0.029878488558540115,F2,STnet
217,MAPKAPK5,-0.060881761752242115,F2,STnet
218,OAS1,-0.023928128506385295,F2,STnet
219,OAS2,0.005503468470003771,F2,STnet
220,TBX3,0.028853434326661646,F2,STnet
221,OASL,-0.025029406561448756,F2,STnet
222,ZNF664,-0.008255297943209854,F2,STnet
223,ZNF84,-0.008222118413250743,F2,STnet
224,PSPC1,0.03708580258657608,F2,STnet
225,HMGB1,-0.010151566569451508,F2,STnet
226,DCLK1,-0.0029046790848221973,F2,STnet
227,MRPS31,-0.04840410159004364,F2,STnet
228,DNAJC15,0.0045604048565023566,F2,STnet
229,RNASEH2B,0.023743510631128957,F2,STnet
230,COMMD6,-0.0021237918770974982,F2,STnet
231,FARP1,0.016583220331406315,F2,STnet
232,STK24,0.03107273348514271,F2,STnet
233,MCF2L,-0.09505348366798842,F2,STnet
234,NGDN,0.06331141987060543,F2,STnet
235,RABGGTA,0.021020478401367598,F2,STnet
236,SCFD1,0.01955608577932645,F2,STnet
237,BAZ1A,-0.009589522815886091,F2,STnet
238,KLHDC2,0.0585744151293996,F2,STnet
239,PSMC6,-0.01779236143187141,F2,STnet
240,PSMA3,0.025682222557703315,F2,STnet
241,PCNX4,0.03058121253343801,F2,STnet
242,DHRS7,0.047102235922862265,F2,STnet
243,MTHFD1,-0.0559430082317721,F2,STnet
244,FUT8,0.061531861332844766,F2,STnet
245,COQ6,-0.026853584085584085,F2,STnet
246,AC005480.1,0.028494817239769155,F2,STnet
247,FOS,-0.006324139971998314,F2,STnet
248,ZC3H14,0.008902994284137426,F2,STnet
249,UBR7,0.030749504566478337,F2,STnet
250,IFI27L2,-0.014602435004622652,F2,STnet
251,IGHG4,0.3152535307007504,F2,STnet
252,APBA2,0.03522726020862695,F2,STnet
253,EMC4,-0.019187218615316484,F2,STnet
254,NUSAP1,-0.029604788988893294,F2,STnet
255,TUBGCP4,0.01177597412399034,F2,STnet
256,TP53BP1,0.01207921601608717,F2,STnet
257,SPG11,-0.06780439348738583,F2,STnet
258,MYEF2,0.08657587290080107,F2,STnet
259,TMOD3,0.033940649366778375,F2,STnet
260,LEO1,0.059740987075301406,F2,STnet
261,MYO5C,0.006025161914177294,F2,STnet
262,ARPP19,0.05114654720357352,F2,STnet
263,ADAM10,0.006139307958796046,F2,STnet
264,CCNB2,-0.00977802483489786,F2,STnet
265,GTF2A2,0.02880658911540997,F2,STnet
266,VPS13C,-0.055850462454812025,F2,STnet
267,C2CD4A,-0.09607267142294233,F2,STnet
268,TPM1,0.09480627180465312,F2,STnet
269,FAM96A,-0.03746020805845095,F2,STnet
270,KIAA0101,-0.047680637386553294,F2,STnet
271,CILP,-0.0436591432476635,F2,STnet
272,ITGA11,0.034034539492522685,F2,STnet
273,UACA,-0.031054947399211785,F2,STnet
274,RCN2,0.010637400882577154,F2,STnet
275,PSTPIP1,-0.04793750376222853,F2,STnet
276,LINGO1,-0.025097638734651984,F2,STnet
277,MESDC1,-0.03940678787908406,F2,STnet
278,ISG20,-0.023431035102798904,F2,STnet
279,PRC1,-0.05189583361306366,F2,STnet
280,SNRPA1,-0.045968651116867494,F2,STnet
281,SBK1,-0.003868223997825021,F2,STnet
282,MT1G,-0.018230307519287375,F2,STnet
283,NUP93,0.0005653725853156061,F2,STnet
284,CX3CL1,-0.007867065267020697,F2,STnet
285,CMTM3,-0.040291239920635366,F2,STnet
286,CBFB,0.019348326303484403,F2,STnet
287,PRMT7,0.00949633159771054,F2,STnet
288,CDH1,0.059226454516662246,F2,STnet
289,ZFHX3,0.03517747071208421,F2,STnet
290,CFDP1,-0.04685713544105444,F2,STnet
291,TERF2IP,0.02278530668721757,F2,STnet
292,ITGAE,0.057407249955515244,F2,STnet
293,ALOX15B,-0.010853771815459512,F2,STnet
294,TRPV2,0.06838365747418357,F2,STnet
295,B9D1,0.05039918911165989,F2,STnet
296,UNC119,-0.01786674427423989,F2,STnet
297,PIGS,0.031824456871334006,F2,STnet
298,SPAG5,0.005183199369740705,F2,STnet
299,KIAA0100,-0.0445571961319197,F2,STnet
300,SDF2,0.040328599635252385,F2,STnet
301,SUPT6H,-0.04121941563706404,F2,STnet
302,TRAF4,0.04466249820945806,F2,STnet
303,CPD,0.04137136197967504,F2,STnet
304,GOSR1,-0.03732839868037061,F2,STnet
305,RNF135,-0.01631207193166189,F2,STnet
306,CCL2,-0.07763997525566567,F2,STnet
307,SLFN5,-0.05264679104185536,F2,STnet
308,AP2B1,0.06426178785284478,F2,STnet
309,ZNHIT3,0.01797514141723909,F2,STnet
310,MYO19,0.08834901415838095,F2,STnet
311,GGNBP2,0.0331814939893817,F2,STnet
312,ACACA,0.02329896850485866,F2,STnet
313,DDX52,-0.023156671935517188,F2,STnet
314,MRPL45,-0.045126707508061414,F2,STnet
315,SOCS7,0.05793363213716746,F2,STnet
