,Gene,Pearson correlation,Slide,Method
0,ISG15,-0.1499653586115572,G3,STnet
1,PLA2G2D,-0.11977431570049107,G3,STnet
2,CAMK2N1,0.026708754856286262,G3,STnet
3,USP48,-0.044582031405812815,G3,STnet
4,TCEA3,-0.05470024333227742,G3,STnet
5,PNRC2,0.007880375984337468,G3,STnet
6,LDLRAP1,-0.0042953265953176185,G3,STnet
7,IFI6,0.17509471896008838,G3,STnet
8,ZBTB8OS,0.01473900416617375,G3,STnet
9,RBBP4,0.029677080288014402,G3,STnet
10,PSMB2,0.13413433637526467,G3,STnet
11,GNL2,0.05849563894399006,G3,STnet
12,SF3A3,0.030440682772477013,G3,STnet
13,UTP11,-0.04695792630299243,G3,STnet
14,AKIRIN1,0.08126736570117689,G3,STnet
15,MFSD2A,0.037228208567247206,G3,STnet
16,CAP1,0.07616857672640442,G3,STnet
17,CTPS1,0.0579092994857271,G3,STnet
18,PPCS,-0.017184448267384432,G3,STnet
19,PPIH,0.022083890886665212,G3,STnet
20,YBX1,-0.13498525041838774,G3,STnet
21,EBNA1BP2,0.05726777847590138,G3,STnet
22,CDC20,-0.06987176067679084,G3,STnet
23,PTPRF,-0.24507978180474876,G3,STnet
24,KDM4A,0.09995633772595086,G3,STnet
25,EIF2B3,-0.041145617961056716,G3,STnet
26,NASP,0.17439476316991936,G3,STnet
27,GPBP1L1,-0.034136678940000637,G3,STnet
28,TSPAN1,-0.040491987094810576,G3,STnet
29,RAD54L,-0.06517606570386499,G3,STnet
30,LRRC41,0.16448576237338153,G3,STnet
31,UQCRH,0.16835177780352137,G3,STnet
32,CMPK1,0.1901729838049801,G3,STnet
33,RNF11,-0.0468049212798756,G3,STnet
34,TTC39A,0.07690462217203368,G3,STnet
35,TXNDC12,-0.054359644120765396,G3,STnet
36,PRPF38A,-0.11078783817798407,G3,STnet
37,SCP2,0.08422045879146502,G3,STnet
38,C1orf123,0.048249207022561934,G3,STnet
39,MAGOH,-0.0948016845884574,G3,STnet
40,NDC1,-0.03708491601361564,G3,STnet
41,HSPB11,0.045003469977525475,G3,STnet
42,TMEM59,-0.1961591308515969,G3,STnet
43,SSBP3,0.09515092362896299,G3,STnet
44,TACSTD2,0.08955165451375133,G3,STnet
45,MYSM1,0.05088362138645235,G3,STnet
46,TM2D1,0.051918007121708964,G3,STnet
47,PATJ,-0.010270663541285419,G3,STnet
48,USP1,0.11888814975560964,G3,STnet
49,JAK1,-0.06703533859594875,G3,STnet
50,LEPROT,0.01681432542514094,G3,STnet
51,GNG12,-0.007456629236077316,G3,STnet
52,SRSF11,-0.07635227793461277,G3,STnet
53,USP33,-0.024318386359379284,G3,STnet
54,IFI44L,0.030622461487077295,G3,STnet
55,IFI44,0.07753322866578487,G3,STnet
56,GNG5,0.03000169642611574,G3,STnet
57,SEP15,0.10110501846282263,G3,STnet
58,LMO4,0.14028199523113005,G3,STnet
59,GTF2B,0.07717964867098456,G3,STnet
60,GBP3,-0.10351101787592942,G3,STnet
61,GBP1,-0.08470359959994574,G3,STnet
62,GBP2,-0.07712055362808384,G3,STnet
63,GBP5,0.0005670994102077067,G3,STnet
64,LRRC8B,0.08790969688426419,G3,STnet
65,LRRC8D,-0.003471127376212841,G3,STnet
66,CDC7,-0.10086026606799643,G3,STnet
67,GLMN,0.0905406690847186,G3,STnet
68,MTF2,0.1467842896460538,G3,STnet
69,TMED5,-0.046324987882276916,G3,STnet
70,CCDC18,0.07037279196403788,G3,STnet
71,DR1,-0.11387736269441713,G3,STnet
72,FNBP1L,0.34780813963638446,G3,STnet
73,BCAR3,-0.01829003373595529,G3,STnet
74,DNTTIP2,0.013327373642960778,G3,STnet
75,GCLM,-0.14575663710144043,G3,STnet
76,ARHGAP29,0.08393237221946316,G3,STnet
77,ABCD3,0.013929188096105294,G3,STnet
78,CNN3,0.007285527525470861,G3,STnet
79,ALG14,-0.005875992601098803,G3,STnet
80,TMEM56,-0.02970798600180343,G3,STnet
81,SNX7,-0.020258459773184606,G3,STnet
82,VCAM1,0.062152927179712186,G3,STnet
83,PSMA5,0.0005810459857192959,G3,STnet
84,GSTM3,0.02336695227360757,G3,STnet
85,CD53,0.08090790011327044,G3,STnet
86,ATP5F1,-0.05183582739270571,G3,STnet
87,WDR3,0.07406248004661345,G3,STnet
88,PHGDH,0.04598685342438598,G3,STnet
89,CTSS,0.03048076111080253,G3,STnet
90,CTSK,0.055133648807932166,G3,STnet
91,SCNM1,-0.05494685163145088,G3,STnet
92,S100A8,-0.07477765524142854,G3,STnet
93,S100A14,-0.05037486403621637,G3,STnet
94,S100A1,-0.01595081567471801,G3,STnet
95,CREB3L4,0.1004703104372052,G3,STnet
96,CKS1B,0.028632652471939156,G3,STnet
97,EFNA3,-0.012672239286402556,G3,STnet
98,RIT1,0.06520498809327885,G3,STnet
99,CRABP2,0.21371463079130298,G3,STnet
100,IFI16,-0.08861448450834758,G3,STnet
101,USF1,,G3,STnet
102,OLFML2B,0.13944639481218774,G3,STnet
103,MPC2,0.046002052121189844,G3,STnet
104,ATP1B1,0.02204849661682433,G3,STnet
105,RABGAP1L,0.02489298309628869,G3,STnet
106,CACYBP,-0.04855641099259361,G3,STnet
107,XPR1,0.07751764200048604,G3,STnet
108,LAMC1,0.05492445356908054,G3,STnet
109,C1orf21,0.13665466329229234,G3,STnet
110,TPR,-0.02454361149190956,G3,STnet
111,PTPRC,0.1132530598217044,G3,STnet
112,UBE2T,-0.001983513058036009,G3,STnet
113,NUCKS1,0.1771159529901164,G3,STnet
114,ATF3,-0.022998278416206018,G3,STnet
115,CENPF,-0.08385712257435998,G3,STnet
116,KCTD3,0.036358326079961034,G3,STnet
117,LYPLAL1,-0.057400001519458566,G3,STnet
118,IARS2,0.07081833785287996,G3,STnet
119,CNIH4,0.07987582145692002,G3,STnet
120,NUP133,-0.04498051120875001,G3,STnet
121,ARID4B,0.08382146110176462,G3,STnet
122,CHML,0.04352820380968829,G3,STnet
123,SCCPDH,-0.1065957023431947,G3,STnet
124,ATP5C1,0.049830168979994094,G3,STnet
125,GATA3,-0.04852380635223346,G3,STnet
126,FAM107B,0.03220482032032575,G3,STnet
127,HSPA14,0.1825481681289834,G3,STnet
128,NEBL,-0.05353052813478695,G3,STnet
129,BAMBI,-0.06339658475726563,G3,STnet
130,ARHGAP12,0.0016546300892179549,G3,STnet
131,DKK1,0.031978520831584305,G3,STnet
132,ZWINT,0.09074511108801975,G3,STnet
133,ANK3,0.014139885142278496,G3,STnet
134,CDK1,0.07478903412967912,G3,STnet
135,HERC4,0.05167304037594313,G3,STnet
136,SRGN,-0.06281663984120243,G3,STnet
137,H2AFY2,-0.02590371868476932,G3,STnet
138,ADK,0.11539227690187391,G3,STnet
139,DLG5,-0.09529929265502254,G3,STnet
140,PLAC9,0.04806246573588414,G3,STnet
141,GHITM,0.07531618092490705,G3,STnet
142,SNCG,0.048095814572762574,G3,STnet
143,ADIRF,0.024289491432473373,G3,STnet
144,IFIT3,-0.07244101088397958,G3,STnet
145,FRA10AC1,0.019683435296599678,G3,STnet
146,EXOSC1,-0.021214951397614753,G3,STnet
147,SCD,-0.035882160646234555,G3,STnet
148,ARL3,-0.021086033051465784,G3,STnet
149,ADD3,-0.06438397549493191,G3,STnet
