,Gene,Pearson correlation,Slide,Method
0,ISG15,-0.03542831261295354,H1,STnet
1,PLA2G2D,0.08511075372010482,H1,STnet
2,CAMK2N1,-0.005040299206234143,H1,STnet
3,USP48,0.047570056582855035,H1,STnet
4,TCEA3,0.04610345468825857,H1,STnet
5,PNRC2,-0.026115527066606196,H1,STnet
6,LDLRAP1,-0.08710637996338075,H1,STnet
7,IFI6,0.12257972603889974,H1,STnet
8,ZBTB8OS,-0.053931249747192704,H1,STnet
9,RBBP4,-0.03900314952252853,H1,STnet
10,PSMB2,-0.004900026521482897,H1,STnet
11,GNL2,0.015916871225788495,H1,STnet
12,SF3A3,-0.06883301025450125,H1,STnet
13,UTP11,0.01872319273383435,H1,STnet
14,AKIRIN1,0.06537216840707633,H1,STnet
15,MFSD2A,0.024559711651429412,H1,STnet
16,CAP1,0.07425900900205741,H1,STnet
17,CTPS1,-0.021004348157494343,H1,STnet
18,PPCS,-0.0520404796783781,H1,STnet
19,PPIH,0.12648290848818736,H1,STnet
20,YBX1,0.06876967346083387,H1,STnet
21,EBNA1BP2,0.0858215677166964,H1,STnet
22,CDC20,-0.07258230924774307,H1,STnet
23,PTPRF,0.22743364789461037,H1,STnet
24,KDM4A,-0.05292240013186459,H1,STnet
25,EIF2B3,-0.024608591042174405,H1,STnet
26,NASP,-0.004191356883447363,H1,STnet
27,GPBP1L1,-0.04688497144174193,H1,STnet
28,TSPAN1,0.039484684743902404,H1,STnet
29,RAD54L,-0.12451450503470692,H1,STnet
30,LRRC41,-0.0370708323330044,H1,STnet
31,UQCRH,0.12018679020382035,H1,STnet
32,CMPK1,0.02614177292021889,H1,STnet
33,RNF11,-0.018518960461652023,H1,STnet
34,TTC39A,0.07528429554792038,H1,STnet
35,TXNDC12,0.12293218702839578,H1,STnet
36,PRPF38A,-0.057449342745560565,H1,STnet
37,SCP2,0.024167497679036067,H1,STnet
38,C1orf123,-0.009629480733636104,H1,STnet
39,MAGOH,-0.007480460154567076,H1,STnet
40,NDC1,0.019620696820421817,H1,STnet
41,HSPB11,0.000502604285107114,H1,STnet
42,TMEM59,-0.0032863006073264585,H1,STnet
43,SSBP3,-0.08912208912900946,H1,STnet
44,TACSTD2,-0.05083399823918041,H1,STnet
45,MYSM1,-0.05128977849233877,H1,STnet
46,TM2D1,-0.10634578470909692,H1,STnet
47,PATJ,0.09636424275993138,H1,STnet
48,USP1,0.0002074346389090433,H1,STnet
49,JAK1,0.030862097379892182,H1,STnet
50,LEPROT,-0.018391279876085048,H1,STnet
51,GNG12,0.07967254543122047,H1,STnet
52,SRSF11,-0.1119218248291573,H1,STnet
53,USP33,0.039499111340016914,H1,STnet
54,IFI44L,0.007300145976474567,H1,STnet
55,IFI44,-0.032740414988524105,H1,STnet
56,GNG5,-0.017440146027714692,H1,STnet
57,SEP15,0.07241979547736976,H1,STnet
58,LMO4,0.055243982801366796,H1,STnet
59,GTF2B,-0.01885130119144394,H1,STnet
60,GBP3,0.020886566675296703,H1,STnet
61,GBP1,0.027342654661394964,H1,STnet
62,GBP2,-0.03383044760541967,H1,STnet
63,GBP5,-0.011600825236891387,H1,STnet
64,LRRC8B,-0.04837765424962138,H1,STnet
65,LRRC8D,-0.02600556210106946,H1,STnet
66,CDC7,0.04328784188579289,H1,STnet
67,GLMN,0.04101572544638764,H1,STnet
