,Gene,Method,Pearson correlation,Slide,Kind,Unnamed: 0,level_0,index
0,COX6C,ST-Net,-0.0242424331424642,1160920F,Validation performance,,,
1,TTLL12,ST-Net,0.1283537810766829,1160920F,Validation performance,,,
2,HSP90AB1,ST-Net,0.3466670657441273,1160920F,Validation performance,,,
3,TFF3,ST-Net,0.0355626014614061,1160920F,Validation performance,,,
4,ATP1A1,ST-Net,0.0391665665454154,1160920F,Validation performance,,,
5,B2M,ST-Net,-0.1358534216763808,1160920F,Validation performance,,,
6,FASN,ST-Net,0.0567710543762381,1160920F,Validation performance,,,
7,SPARC,ST-Net,0.0489412631493836,1160920F,Validation performance,,,
8,CD74,ST-Net,0.0028441290769309,1160920F,Validation performance,,,
9,CD63,ST-Net,-0.1047839625038968,1160920F,Validation performance,,,
10,CD24,ST-Net,-0.1053813290889267,1160920F,Validation performance,,,
11,CD81,ST-Net,0.2322334090101192,1160920F,Validation performance,,,
0,COX6C,ST-Net,0.2166413002741145,CID4290,Validation performance,,,
1,TTLL12,ST-Net,-0.0577803920890772,CID4290,Validation performance,,,
2,HSP90AB1,ST-Net,-0.3560731633604576,CID4290,Validation performance,,,
3,TFF3,ST-Net,0.1120300681716961,CID4290,Validation performance,,,
4,ATP1A1,ST-Net,0.2108937274040541,CID4290,Validation performance,,,
5,B2M,ST-Net,-0.2430428661785668,CID4290,Validation performance,,,
6,FASN,ST-Net,-0.2337139590443267,CID4290,Validation performance,,,
7,SPARC,ST-Net,-0.2129235828726803,CID4290,Validation performance,,,
8,CD74,ST-Net,0.120377215589187,CID4290,Validation performance,,,
9,CD63,ST-Net,-0.0256272015472403,CID4290,Validation performance,,,
10,CD24,ST-Net,-0.1254468200296958,CID4290,Validation performance,,,
11,CD81,ST-Net,-0.2264231010994964,CID4290,Validation performance,,,
96,COX6C,ST-Net,-0.1293391140421801,FFPE,Testing performance,,,
97,TTLL12,ST-Net,0.1400045743080993,FFPE,Testing performance,,,
98,HSP90AB1,ST-Net,-0.020636482645447,FFPE,Testing performance,,,
99,TFF3,ST-Net,0.0657463301685994,FFPE,Testing performance,,,
100,ATP1A1,ST-Net,0.18830369393113,FFPE,Testing performance,,,
101,B2M,ST-Net,0.153826198511439,FFPE,Testing performance,,,
102,FASN,ST-Net,0.1030007653101268,FFPE,Testing performance,,,
103,SPARC,ST-Net,-0.1932730557720626,FFPE,Testing performance,,,
104,CD74,ST-Net,0.4185780715775674,FFPE,Testing performance,,,
105,CD63,ST-Net,0.2007998746047547,FFPE,Testing performance,,,
106,CD24,ST-Net,0.148588978122257,FFPE,Testing performance,,,
107,CD81,ST-Net,0.2197356203805324,FFPE,Testing performance,,,
72,COX6C,ST-Net,-0.3396193879962958,block1,Testing performance,,,
73,TTLL12,ST-Net,0.2723565601778722,block1,Testing performance,,,
74,HSP90AB1,ST-Net,-0.0051865895850963,block1,Testing performance,,,
75,TFF3,ST-Net,0.1685255754660841,block1,Testing performance,,,
76,ATP1A1,ST-Net,0.1392096823437074,block1,Testing performance,,,
77,B2M,ST-Net,0.392160504890259,block1,Testing performance,,,
78,FASN,ST-Net,0.2529622568649899,block1,Testing performance,,,
79,SPARC,ST-Net,0.0271589372295243,block1,Testing performance,,,
80,CD74,ST-Net,-0.1565154319565177,block1,Testing performance,,,
81,CD63,ST-Net,0.288671990455667,block1,Testing performance,,,
82,CD24,ST-Net,0.1772602522804912,block1,Testing performance,,,
83,CD81,ST-Net,-0.0940699472072701,block1,Testing performance,,,
84,COX6C,ST-Net,-0.1563371203906664,block2,Testing performance,,,
85,TTLL12,ST-Net,0.16524610687771,block2,Testing performance,,,
86,HSP90AB1,ST-Net,0.2245561168219547,block2,Testing performance,,,
87,TFF3,ST-Net,0.0745923467027005,block2,Testing performance,,,
88,ATP1A1,ST-Net,0.1601280771728847,block2,Testing performance,,,
89,B2M,ST-Net,0.2895558988361871,block2,Testing performance,,,
90,FASN,ST-Net,0.0699729200164949,block2,Testing performance,,,
91,SPARC,ST-Net,-0.047899634286813,block2,Testing performance,,,
92,CD74,ST-Net,-0.0365788364592572,block2,Testing performance,,,
93,CD63,ST-Net,0.0500784587998818,block2,Testing performance,,,
94,CD24,ST-Net,0.143217651173309,block2,Testing performance,,,
95,CD81,ST-Net,0.0664772679020146,block2,Testing performance,,,
COX6C,COX6C,HisToGene,0.2092604279355164,1160920F,Validation performance,0.0,0.0,
TTLL12,TTLL12,HisToGene,0.0659597456070439,1160920F,Validation performance,1.0,1.0,
HSP90AB1,HSP90AB1,HisToGene,0.1464310192655314,1160920F,Validation performance,2.0,2.0,
TFF3,TFF3,HisToGene,-0.0271574166667972,1160920F,Validation performance,3.0,3.0,
ATP1A1,ATP1A1,HisToGene,0.0391310214749817,1160920F,Validation performance,4.0,4.0,
B2M,B2M,HisToGene,-0.1131346466123069,1160920F,Validation performance,5.0,5.0,
FASN,FASN,HisToGene,0.0947404637178403,1160920F,Validation performance,6.0,6.0,
SPARC,SPARC,HisToGene,0.1029027066442269,1160920F,Validation performance,7.0,7.0,
CD74,CD74,HisToGene,0.2866001976705145,1160920F,Validation performance,8.0,8.0,
CD63,CD63,HisToGene,-0.0234721928271146,1160920F,Validation performance,9.0,9.0,
CD24,CD24,HisToGene,0.0178102097633874,1160920F,Validation performance,10.0,10.0,
CD81,CD81,HisToGene,-0.0295920701627046,1160920F,Validation performance,11.0,11.0,
COX6C,COX6C,HisToGene,0.0665870884319717,CID4290,Validation performance,12.0,12.0,
TTLL12,TTLL12,HisToGene,0.1293195393952357,CID4290,Validation performance,13.0,13.0,
HSP90AB1,HSP90AB1,HisToGene,0.0870806202044567,CID4290,Validation performance,14.0,14.0,
TFF3,TFF3,HisToGene,0.0619525880900426,CID4290,Validation performance,15.0,15.0,
ATP1A1,ATP1A1,HisToGene,0.0361622480916,CID4290,Validation performance,16.0,16.0,
B2M,B2M,HisToGene,-0.0070787599288658,CID4290,Validation performance,17.0,17.0,
FASN,FASN,HisToGene,0.1129055689205001,CID4290,Validation performance,18.0,18.0,
SPARC,SPARC,HisToGene,-0.0158519909836195,CID4290,Validation performance,19.0,19.0,
CD74,CD74,HisToGene,0.0186439287263759,CID4290,Validation performance,20.0,20.0,
CD63,CD63,HisToGene,-0.0520959191092254,CID4290,Validation performance,21.0,21.0,
CD24,CD24,HisToGene,-0.0327392202813342,CID4290,Validation performance,22.0,22.0,
CD81,CD81,HisToGene,-0.1305518629557175,CID4290,Validation performance,23.0,23.0,
COX6C,COX6C,HisToGene,0.2347880259470293,block1,Testing performance,24.0,0.0,
TTLL12,TTLL12,HisToGene,0.2744504965215977,block1,Testing performance,25.0,1.0,
HSP90AB1,HSP90AB1,HisToGene,0.2293609241728693,block1,Testing performance,26.0,2.0,
TFF3,TFF3,HisToGene,-0.1891095378982015,block1,Testing performance,27.0,3.0,
ATP1A1,ATP1A1,HisToGene,0.1933365103133505,block1,Testing performance,28.0,4.0,
B2M,B2M,HisToGene,0.20413320596679,block1,Testing performance,29.0,5.0,
FASN,FASN,HisToGene,0.2070050119059173,block1,Testing performance,30.0,6.0,
SPARC,SPARC,HisToGene,0.1788027621268286,block1,Testing performance,31.0,7.0,
CD74,CD74,HisToGene,0.4775283657143839,block1,Testing performance,32.0,8.0,
CD63,CD63,HisToGene,0.0240899237533654,block1,Testing performance,33.0,9.0,
CD24,CD24,HisToGene,0.1271007212546026,block1,Testing performance,34.0,10.0,
CD81,CD81,HisToGene,-0.0034045342619386,block1,Testing performance,35.0,11.0,
COX6C,COX6C,HisToGene,0.1308799047274097,block2,Testing performance,36.0,12.0,
TTLL12,TTLL12,HisToGene,0.2148743862872047,block2,Testing performance,37.0,13.0,
HSP90AB1,HSP90AB1,HisToGene,0.1758980161317575,block2,Testing performance,38.0,14.0,
TFF3,TFF3,HisToGene,-0.2274260064746517,block2,Testing performance,39.0,15.0,
ATP1A1,ATP1A1,HisToGene,0.1884649339308165,block2,Testing performance,40.0,16.0,
B2M,B2M,HisToGene,0.149620569866534,block2,Testing performance,41.0,17.0,
FASN,FASN,HisToGene,0.0942648097546694,block2,Testing performance,42.0,18.0,
SPARC,SPARC,HisToGene,0.227253407189641,block2,Testing performance,43.0,19.0,
CD74,CD74,HisToGene,0.4048720570784068,block2,Testing performance,44.0,20.0,
CD63,CD63,HisToGene,0.0279028833239883,block2,Testing performance,45.0,21.0,
CD24,CD24,HisToGene,0.1636118382324677,block2,Testing performance,46.0,22.0,
CD81,CD81,HisToGene,0.0759486911395941,block2,Testing performance,47.0,23.0,
COX6C,COX6C,HisToGene,0.2723636459499908,FFPE,Testing performance,48.0,24.0,
TTLL12,TTLL12,HisToGene,0.2302413403813981,FFPE,Testing performance,49.0,25.0,
HSP90AB1,HSP90AB1,HisToGene,0.295098709909094,FFPE,Testing performance,50.0,26.0,
TFF3,TFF3,HisToGene,0.1765547726049191,FFPE,Testing performance,51.0,27.0,
ATP1A1,ATP1A1,HisToGene,0.0104083903528974,FFPE,Testing performance,52.0,28.0,
B2M,B2M,HisToGene,-0.0604449749034959,FFPE,Testing performance,53.0,29.0,
FASN,FASN,HisToGene,0.2789273811017885,FFPE,Testing performance,54.0,30.0,
SPARC,SPARC,HisToGene,0.1754168848134479,FFPE,Testing performance,55.0,31.0,
CD74,CD74,HisToGene,0.266003176859249,FFPE,Testing performance,56.0,32.0,
CD63,CD63,HisToGene,0.0029103523586859,FFPE,Testing performance,57.0,33.0,
CD24,CD24,HisToGene,0.1212676134500797,FFPE,Testing performance,58.0,34.0,
CD81,CD81,HisToGene,-0.0176390785434431,FFPE,Testing performance,59.0,35.0,
0,COX6C,Hist2ST,0.1015397094220585,1160920F,Validation performance,,0.0,COX6C
1,TTLL12,Hist2ST,0.0582053785752385,1160920F,Validation performance,,1.0,TTLL12
2,HSP90AB1,Hist2ST,0.0893262384777129,1160920F,Validation performance,,2.0,HSP90AB1
3,TFF3,Hist2ST,-0.0284071534840095,1160920F,Validation performance,,3.0,TFF3
4,ATP1A1,Hist2ST,0.0449614001953022,1160920F,Validation performance,,4.0,ATP1A1
5,B2M,Hist2ST,0.0340005752239782,1160920F,Validation performance,,5.0,B2M
6,FASN,Hist2ST,0.0560428493701564,1160920F,Validation performance,,6.0,FASN
7,SPARC,Hist2ST,-0.0723244259309428,1160920F,Validation performance,,7.0,SPARC
8,CD74,Hist2ST,-0.1263611869645565,1160920F,Validation performance,,8.0,CD74
9,CD63,Hist2ST,0.0613616723988306,1160920F,Validation performance,,9.0,CD63
10,CD24,Hist2ST,0.0447754002770804,1160920F,Validation performance,,10.0,CD24
11,CD81,Hist2ST,0.0372841352674614,1160920F,Validation performance,,11.0,CD81
12,COX6C,Hist2ST,0.7273618856610056,CID4290,Validation performance,,12.0,COX6C
13,TTLL12,Hist2ST,0.1851683980608402,CID4290,Validation performance,,13.0,TTLL12
14,HSP90AB1,Hist2ST,0.7327685754190638,CID4290,Validation performance,,14.0,HSP90AB1
15,TFF3,Hist2ST,0.6209591756139736,CID4290,Validation performance,,15.0,TFF3
16,ATP1A1,Hist2ST,0.4823513292651639,CID4290,Validation performance,,16.0,ATP1A1
17,B2M,Hist2ST,0.8712152270360574,CID4290,Validation performance,,17.0,B2M
18,FASN,Hist2ST,0.6256041912525715,CID4290,Validation performance,,18.0,FASN
19,SPARC,Hist2ST,0.7838335247030689,CID4290,Validation performance,,19.0,SPARC
20,CD74,Hist2ST,0.7379727651559511,CID4290,Validation performance,,20.0,CD74
21,CD63,Hist2ST,0.7471629308883599,CID4290,Validation performance,,21.0,CD63
22,CD24,Hist2ST,0.8765836567568714,CID4290,Validation performance,,22.0,CD24
23,CD81,Hist2ST,0.5631002905643909,CID4290,Validation performance,,23.0,CD81
24,COX6C,Hist2ST,0.0319193100467334,block1,Testing performance,,0.0,COX6C
25,TTLL12,Hist2ST,0.0088314245870238,block1,Testing performance,,1.0,TTLL12
26,HSP90AB1,Hist2ST,-0.0353109898856188,block1,Testing performance,,2.0,HSP90AB1
27,TFF3,Hist2ST,-0.0373527814117924,block1,Testing performance,,3.0,TFF3
28,ATP1A1,Hist2ST,0.0118213388445291,block1,Testing performance,,4.0,ATP1A1
29,B2M,Hist2ST,0.0068128482131108,block1,Testing performance,,5.0,B2M
30,FASN,Hist2ST,0.0036530001054667,block1,Testing performance,,6.0,FASN
31,SPARC,Hist2ST,0.0470175789968445,block1,Testing performance,,7.0,SPARC
32,CD74,Hist2ST,0.1662928342916358,block1,Testing performance,,8.0,CD74
33,CD63,Hist2ST,-0.0312963547313365,block1,Testing performance,,9.0,CD63
34,CD24,Hist2ST,-0.0067498355708032,block1,Testing performance,,10.0,CD24
35,CD81,Hist2ST,-0.0198302553199287,block1,Testing performance,,11.0,CD81
36,COX6C,Hist2ST,-0.0928280846543743,block2,Testing performance,,12.0,COX6C
37,TTLL12,Hist2ST,0.0793579738434539,block2,Testing performance,,13.0,TTLL12
38,HSP90AB1,Hist2ST,0.0629555264204117,block2,Testing performance,,14.0,HSP90AB1
39,TFF3,Hist2ST,-0.0858695251264046,block2,Testing performance,,15.0,TFF3
40,ATP1A1,Hist2ST,0.1146472805791722,block2,Testing performance,,16.0,ATP1A1
41,B2M,Hist2ST,0.0890811773610173,block2,Testing performance,,17.0,B2M
42,FASN,Hist2ST,0.0675029036601144,block2,Testing performance,,18.0,FASN
43,SPARC,Hist2ST,0.153663718649031,block2,Testing performance,,19.0,SPARC
44,CD74,Hist2ST,0.1443329605354393,block2,Testing performance,,20.0,CD74
45,CD63,Hist2ST,0.0885384730878303,block2,Testing performance,,21.0,CD63
46,CD24,Hist2ST,0.093663648535987,block2,Testing performance,,22.0,CD24
47,CD81,Hist2ST,0.0957975904690609,block2,Testing performance,,23.0,CD81
48,COX6C,Hist2ST,-0.0018960861557039,FFPE,Testing performance,,24.0,COX6C
49,TTLL12,Hist2ST,0.0199814370312969,FFPE,Testing performance,,25.0,TTLL12
50,HSP90AB1,Hist2ST,0.0220087704355157,FFPE,Testing performance,,26.0,HSP90AB1
51,TFF3,Hist2ST,0.0488659413164327,FFPE,Testing performance,,27.0,TFF3
52,ATP1A1,Hist2ST,0.0136527692499483,FFPE,Testing performance,,28.0,ATP1A1
53,B2M,Hist2ST,0.0314408518609214,FFPE,Testing performance,,29.0,B2M
54,FASN,Hist2ST,0.0080267833815086,FFPE,Testing performance,,30.0,FASN
55,SPARC,Hist2ST,0.0392679924711599,FFPE,Testing performance,,31.0,SPARC
56,CD74,Hist2ST,0.0097608734887145,FFPE,Testing performance,,32.0,CD74
